catanalysis             ; CATAnalysis             ; TDM_CATIA_ANAL
catalog                 ; catalog                 ; TDM_CATIA_CATALOG
catdrawing              ; CATDrawing              ; TDM_CATIA_DRAWING
catmaterial             ; CATMaterial             ; TDM_CATIA_MATERIAL
model                   ; model                   ; TDM_CATIA_MODEL
catpart                 ; CATPart                 ; TDM_CATIA_PART
catproduct              ; CATProduct              ; TDM_CATIA_PRODUCT
catproduct_2d           ; CATProduct              ; TDM_CATIA_PRODUCT
catprocess              ; CATProcess              ; TDM_CATIA_PROCESS
catshape                ; CATShape                ; TDM_CATIA_REPRESENT
cgr                     ; cgr                     ; TDM_CATIA_REPRESENT
ncgm                    ; NCGM                    ; TDM_CATIA_REPRESENT
catproduct_asmproduct   ; CATProduct_ASMPRODUCT   ; TDM_CATIA_INTCOM
catdrawing_sheet        ; CATDrawing_Sheet        ; TDM_CATIA_SHEET
catsystem               ; CATSystem               ; TDM_CATIA_SYSTEM
lib                     ; lib                     ; TDM_CATIA_DOCUMENT
act                     ; act                     ; TDM_CATIA_PROCESS_LIB
catfct                  ; CATFct                  ; TDM_CATIA_FEATURE_DIC
txt                     ; Text                    ; TDM_CATIA_DESIGN_TABLE
text                    ; Text                    ; TDM_CATIA_DESIGN_TABLE
xls                     ; Microsoft Excel         ; TDM_CATIA_DESIGN_TABLE
xlsx                    ; Microsoft Excel         ; TDM_CATIA_DESIGN_TABLE
xlsm                    ; Microsoft Excel         ; TDM_CATIA_DESIGN_TABLE
doc                     ; Microsoft Word          ; TDM_WORD_DOCUMENT
docx                    ; Microsoft Word          ; TDM_WORD_DOCUMENT
docm                    ; Microsoft Word          ; TDM_WORD_DOCUMENT
ppt                     ; Microsoft PowerPoint    ; TDM_POWERPOINT_DOCUMENT
pptx                    ; Microsoft PowerPoint    ; TDM_POWERPOINT_DOCUMENT
pptm                    ; Microsoft PowerPoint    ; TDM_POWERPOINT_DOCUMENT
htm                     ; HTML                    ; TDM_HTML_DOCUMENT
html                    ; HTML                    ; TDM_HTML_DOCUMENT
xml                     ; HTML                    ; TDM_HTML_DOCUMENT
catanalysiscomputations ; CATAnalysisComputations ; TDM_CATIA_ANALCOMP
catanalysisinput        ; CATAnalysisInput        ; TDM_CATIA_ANALINPUT
catanalysisresults      ; CATAnalysisResults      ; TDM_CATIA_ANALRESULT
wpc                     ; wpc                     ; TDM_NC_DOCUMENT
aptsource               ; aptsource               ; TDM_NC_DOCUMENT
clfile                  ; clfile                  ; TDM_NC_DOCUMENT
nccode                  ; CATNCCode               ; TDM_NC_DOCUMENT
catnccode               ; CATNCCode               ; TDM_NC_DOCUMENT
tlp                     ; tlp                     ; TDM_NC_DOCUMENT
jpeg                    ; image                   ; TDM_IMAGE_DOCUMENT
jpg                     ; image                   ; TDM_IMAGE_DOCUMENT
bmp                     ; image                   ; TDM_IMAGE_DOCUMENT
gif                     ; image                   ; TDM_IMAGE_DOCUMENT
tif                     ; image                   ; TDM_IMAGE_DOCUMENT
igs                     ; igs                     ; TDM_CAD_DOCUMENT
stp                     ; stp                     ; TDM_CAD_DOCUMENT
mf                      ; mf                      ; TDM_CAD_DOCUMENT
sldprt                  ; SolidWorks Part         ; TDM_SW_PART 
sldasm                  ; SolidWorks Assembly     ; TDM_SW_ASSEMBLY
par                     ; Solid Edge Part         ; TDM_SE_PART 
asm                     ; Solid Edge Assembly     ; TDM_SE_ASSEMBLY 
catswl                  ; CATSwl                  ; TDM_CATIA_HUMAN_DATA_LIB
