CATProduct           ; 3DXML          ; 3D XML                 ; 3dxml                 ; TDM_3D_XML
CATProduct           ; CGR            ; cgr                    ; cgr                   ; TDM_CATIA_REPRESENT
CATProduct           ; HSF            ; HOOPS HSF              ; hsf                   ; TDM_CAD_HOOPSHSF
CATProduct           ; IGES           ; IGES                   ; igs                   ; TDM_CAD_IGES
CATProduct           ; NavRep         ; NavRep                 ; NavRep                ; TDM_NAVREP
CATProduct           ; Session        ; Session                ; session               ; TDM_CATIA_V4_SESSION
CATProduct           ; STEP           ; STEP                   ; stp                   ; TDM_CAD_STEP
CATProduct           ; TXT            ; Text                   ; txt                   ; TDM_CAD_DOCUMENT
CATProduct           ; WRL            ; VRML                   ; wrl                   ; TDM_CAD_VRML
CATPart              ; 3DMAP          ; 3DMAP                  ; 3dmap                 ; TDM_3D_MAP
CATPart              ; 3DXML          ; 3D XML                 ; 3dxml                 ; TDM_3D_XML
CATPart              ; CATIA V4 Model ; model                  ; model                 ; TDM_CATIA_MODEL
CATPart              ; CGR            ; cgr                    ; cgr                   ; TDM_CATIA_REPRESENT
CATPart              ; HSG            ; HSG                    ; hcg                   ; TDM_HSG
CATPart              ; IGES           ; IGES                   ; igs                   ; TDM_CAD_IGES
CATPart              ; NavRep         ; NavRep                 ; Navrep                ; TDM_NAVREP
CATPart              ; STEP           ; STEP                   ; stp                   ; TDM_CAD_STEP
CATPart              ; Stl            ; STL                    ; stl                   ; TDM_CAD_STL
CATPart              ; VPS            ; VPS                    ; vps                   ; TDM_VPS
CATPart              ; WRL            ; VRML                   ; wrl                   ; TDM_CAD_VRML
CATDrawing           ; DXF            ; DXF                    ; dxf                   ; TDM_CAD_DXF
CATDrawing           ; DWG            ; AutoCAD                ; dwg                   ; TDM_ACAD_DOCUMENT
CATDrawing           ; CGM            ; CGM                    ; cgm                   ; TDM_CGM
CATDrawing           ; SVG            ; SVG                    ; svg                   ; TDM_SVG
CATDrawing           ; GL2            ; GL2                    ; gl2                   ; TDM_GL2
CATDrawing           ; PS             ; PS                     ; ps                    ; TDM_PS
CATDrawing           ; PDF            ; PDF                    ; pdf                   ; TDM_DOCUMENT_PDF
CATDrawing           ; TIF            ; image                  ; tif                   ; TDM_IMAGE_DOCUMENT
CATDrawing           ; JPEG           ; image                  ; jpg                   ; TDM_IMAGE_DOCUMENT
CATDrawing           ; IG2            ; IGES                   ; ig2                   ; TDM_CAD_IGES
CATDrawing           ; 3DXML          ; 3D XML                 ; 3dxml                 ; TDM_3D_XML
CATShape             ; stl            ; STL                    ; stl                   ; TDM_CAD_STL
CATShape             ; IGES           ; IGES                   ; igs                   ; TDM_CAD_IGES
CATShape             ; CATIA V4 Model ; model                  ; model                 ; TDM_CATIA_MODEL
CATShape             ; STEP           ; STEP                   ; stp                   ; TDM_CAD_STEP
CATShape             ; 3DMAP          ; 3DMAP                  ; 3dmap                 ; TDM_3D_MAP
CATShape             ; CGR            ; cgr                    ; cgr                   ; TDM_CATIA_REPRESENT
CATShape             ; WRL            ; VRML                   ; wrl                   ; TDM_CAD_VRML

