TDM_CATIA_PRODUCT          ; TDM_CAT_PRODUCT_LNK
TDM_CATIA_PRODUCT          ; TDM_CAT_DESIGN_LNK
TDM_CATIA_PRODUCT          ; TDM_CAT_RULEBASE_LNK
TDM_CATIA_PRODUCT          ; TDM_CAT_REF_LNK
TDM_CATIA_PRODUCT          ; TDM_CAT_DESIGNTABLE_LNK
TDM_CATIA_INTCOM           ; TDM_CAT_PRODUCT_LNK
TDM_CATIA_INTCOM           ; TDM_CAT_DESIGN_LNK
TDM_CATIA_INTCOM           ; TDM_CAT_REF_LNK
TDM_CATIA_PART             ; TDM_CAT_REF_LNK
TDM_CATIA_PART             ; TDM_CAT_DESIGN_LNK
TDM_CATIA_PART             ; TDM_CAT_RULEBASE_LNK
TDM_CATIA_PART             ; TDM_CAT_CONTXT_LNK
TDM_CATIA_PART             ; TDM_CAT_DESIGNTABLE_LNK
TDM_CATIA_PART             ; TDM_CAT_PRODUCT_LNK
TDM_CATIA_ANAL             ; TDM_CAT_DNSTR_LNK
TDM_CATIA_ANAL             ; TDM_CAT_RESULT_LNK
TDM_CATIA_ANAL             ; TDM_CAT_DESIGNTABLE_LNK
TDM_CATIA_ANAL             ; TDM_CAT_DESIGN_LNK
TDM_CATIA_CATALOG          ; TDM_CATIA_COMPOSEDOF
TDM_CATIA_CATALOG          ; TDM_CAT_REF_LNK
TDM_CATIA_DRAWING          ; TDM_CAT_DNSTR_LNK
TDM_CATIA_DRAWING          ; TDM_CAT_REF_LNK
TDM_CATIA_DRAWING          ; TDM_CAT_DESIGNTABLE_LNK
TDM_CATIA_DRAWING          ; TDM_CAT_DESIGN_LNK
TDM_CATIA_DRAWING          ; TDM_CAT_RULEBASE_LNK
TDM_CATIA_DRAWING          ; TDM_CATIA_COMPOSEDOF
TDM_CATIA_SHEET            ; TDM_CAT_DNSTR_LNK
TDM_CATIA_SHEET            ; TDM_CAT_REF_LNK
TDM_CATIA_SHEET            ; TDM_CAT_DESIGNTABLE_LNK
TDM_CATIA_SHEET            ; TDM_CAT_DESIGN_LNK
TDM_CATIA_MATERIAL         ; TDM_CAT_REF_LNK
TDM_CATIA_PROCESS          ; TDM_CAT_DNSTR_LNK
TDM_CATIA_PROCESS          ; TDM_CAT_DESIGN_LNK
TDM_CATIA_PROCESS          ; TDM_CAT_RULEBASE_LNK
TDM_CATIA_PROCESS          ; TDM_CAT_RESULT_LNK
TDM_CATIA_PROCESS          ; TDM_CAT_DESIGNTABLE_LNK
TDM_CATIA_PROCESS          ; TDM_CAT_REF_LNK
TDM_CATIA_DOCUMENT         ; TDM_CAT_DESIGNTABLE_LNK
TDM_CATIA_DOCUMENT         ; TDM_CAT_DESIGN_LNK
TDM_CATIA_DOCUMENT         ; TDM_CAT_REF_LNK
TDM_TLB_DOCUMENT           ; TDM_CAT_DESIGNTABLE_LNK
TDM_TLB_DOCUMENT           ; TDM_CAT_RESULT_LNK
TDM_APTSOURCE_DOCUMENT     ; TDM_CAT_DESIGNTABLE_LNK
TDM_APTSOURCE_DOCUMENT     ; TDM_CAT_RESULT_LNK
TDM_CATNCCODE_DOCUMENT     ; TDM_CAT_DESIGNTABLE_LNK
TDM_CATNCCODE_DOCUMENT     ; TDM_CAT_RESULT_LNK
TDM_CLFILE_DOCUMENT        ; TDM_CAT_DESIGNTABLE_LNK
TDM_CLFILE_DOCUMENT        ; TDM_CAT_RESULT_LNK
TDM_CATIA_CGR              ; TDM_CAT_DESIGN_LNK
TDM_CATIA_CGR              ; TDM_CAT_REF_LNK
TDM_CATIA_CGR              ; TDM_CAT_DESIGNTABLE_LNK
TDM_CATIA_CGR              ; TDM_CAT_RESULT_LNK
TDM_CATIA_NCGM             ; TDM_CAT_DESIGN_LNK
TDM_CATIA_NCGM             ; TDM_CAT_REF_LNK
TDM_CATIA_NCGM             ; TDM_CAT_DESIGNTABLE_LNK
TDM_CATIA_NCGM             ; TDM_CAT_RESULT_LNK
TDM_CATIA_SHAPE            ; TDM_CAT_DESIGN_LNK
TDM_CATIA_SHAPE            ; TDM_CAT_REF_LNK
TDM_CATIA_SHAPE            ; TDM_CAT_DESIGNTABLE_LNK
TDM_CATIA_SHAPE            ; TDM_CAT_RESULT_LNK
TDM_CATIA_ANALYSIS_RESULT  ; TDM_CAT_DESIGNTABLE_LNK
TDM_CATIA_ANALYSIS_RESULT  ; TDM_CAT_RESULT_LNK
TDM_CATIA_ANALCOMP         ; TDM_CAT_DESIGNTABLE_LNK
TDM_CATIA_ANALCOMP         ; TDM_CAT_RESULT_LNK
TDM_CATIA_ANALINPUT        ; TDM_CAT_DESIGNTABLE_LNK
TDM_CATIA_ANALINPUT        ; TDM_CAT_RESULT_LNK
TDM_CATIA_FEATURE_DIC      ; TDM_CAT_REF_LNK
TDM_CATIA_PROCESS_LIB      ; TDM_CAT_REF_LNK
TDM_CATIA_ANAL             ; TDM_CAT_REF_LNK
