PartNumber	ClearOpeningWidth (in)	ClearOpeningHeight (in)	Hand	NumberOfDogs	MaxPressure (psi)	
DOOR-WTID-18X36-L4-6	18	36	L	4	6	
DOOR-WTID-18X36-R4-6	18	36	R	4	6	
DOOR-WTID-18X36-L6-19	18	36	L	6	19	
DOOR-WTID-18X36-R6-19	18	36	R	6	19	
DOOR-WTID-18X36-L6-26	18	36	L	6	26	
DOOR-WTID-18X36-R6-26	18	36	R	6	26	
DOOR-WTID-26X45-L6-10	26	45	L	6	10	
DOOR-WTID-26X45-R6-10	26	45	R	6	10	
DOOR-WTID-26X45-L8-21	26	45	L	8	21	
DOOR-WTID-26X45-R8-21	26	45	R	8	21	
DOOR-WTID-26X45-L10-32	26	45	L	10	32	
DOOR-WTID-26X45-R10-32	26	45	R	10	32	
DOOR-WTID-26X45-L12-37	26	45	L	12	37	
DOOR-WTID-26X45-R12-37	26	45	R	12	37	
DOOR-WTID-26X54-L6-7	26	54	L	6	7	
DOOR-WTID-26X54-R6-7	26	54	R	6	7	
DOOR-WTID-26X54-L8-16	26	54	L	8	16	
DOOR-WTID-26X54-R8-16	26	54	R	8	16	
DOOR-WTID-26X54-L10-22	26	54	L	10	22	
DOOR-WTID-26X54-R10-22	26	54	R	10	22	
DOOR-WTID-26X54-L10-28	26	54	L	10	28	
DOOR-WTID-26X54-R10-28	26	54	R	10	28	
DOOR-WTID-26X57-L6-6	26	57	L	6	6	
DOOR-WTID-26X57-R6-6	26	57	R	6	6	
DOOR-WTID-26X57-L8-9.5	26	57	L	8	9.5	
DOOR-WTID-26X57-R8-9.5	26	57	R	8	9.5	
DOOR-WTID-26X57-L10-12.5	26	57	L	10	12.5	
DOOR-WTID-26X57-R10-12.5	26	57	R	10	12.5	
DOOR-WTID-26X66-L8-10	26	66	L	8	10	
DOOR-WTID-26X66-R8-10	26	66	R	8	10	
DOOR-WTID-26X66-L10-15	26	66	L	10	15	
DOOR-WTID-26X66-R10-15	26	66	R	10	15	
DOOR-WTID-26X66-L10-10	26	66	L	10	10	
DOOR-WTID-26X66-R10-10	26	66	R	10	10	
DOOR-WTID-30X66-L8-5	30	66	L	8	5	
DOOR-WTID-30X66-R8-5	30	66	R	8	5	
DOOR-WTID-30X66-L10-15	30	66	L	10	15	
DOOR-WTID-30X66-R10-15	30	66	R	10	15	
DOOR-WTID-30X66-L10-10	30	66	L	10	10	
DOOR-WTID-30X66-R10-10	30	66	R	10	10	
