PartNumber	ClearOpeningHeight (in)	ClearOpeningWidth (in)	RoughOpeningHeight (in)	RoughOpeningWidth (in)	RingHeight (in)	RingWidth (in)
RCT-HATCH-H-18x24-AL	18	24	20.5	26.5	26.9	30.5
RCT-HATCH-H-20x20-AL	20.3	20.3	22.8	22.8	29.2	26.8
RCT-HATCH-H-20x20-ST	20.3	20.3	25.1	22.8	25.1	22.8
RCT-HATCH-H-22x22-AL	22	22	24.5	24.5	31	28.5
RCT-HATCH-H-24x24-AL	24.5	24.5	27	27	33.4	31
RCT-HATCH-H-24x24-ST	24.5	24.5	29.3	27	29.3	27
RCT-HATCH-H-30x30-AL	30	30	32.5	32.5	38.9	36.5
RCT-HATCH-H-30x30-ST	30	30	34.8	32.5	34.8	32.5
RCT-HATCH-H-36x36-AL	36.4	36.4	39.3	39.3	42.2	42.2
RCT-HATCH-H-36x36-ST	36.7	36.7	39.3	39.3	39.3	39.3
