PartNumber	NominalSize	OutsideDiameter (in)	Length (in)	InsideDiameter (in)	
CONDUIT_NIPPLE_00.50in_L1.5	1/2in	0.84	1.5	0.5	
CONDUIT_NIPPLE_00.50in_L2	1/2in	0.84	2	0.5	
CONDUIT_NIPPLE_00.50in_L2.5	1/2in	0.84	2.5	0.5	
CONDUIT_NIPPLE_00.50in_L3	1/2in	0.84	3	0.5	
CONDUIT_NIPPLE_00.50in_L3.5	1/2in	0.84	3.5	0.5	
CONDUIT_NIPPLE_00.50in_L4	1/2in	0.84	4	0.5	
CONDUIT_NIPPLE_00.50in_L5	1/2in	0.84	5	0.5	
CONDUIT_NIPPLE_00.50in_L6	1/2in	0.84	6	0.5	
CONDUIT_NIPPLE_00.50in_L8	1/2in	0.84	8	0.5	
CONDUIT_NIPPLE_00.50in_L10	1/2in	0.84	10	0.5	
CONDUIT_NIPPLE_00.50in_L12	1/2in	0.84	12	0.5	
CONDUIT_NIPPLE_00.75in_L1.5	3/4in	1.05	1.5	0.75	
CONDUIT_NIPPLE_00.75in_L2	3/4in	1.05	2	0.75	
CONDUIT_NIPPLE_00.75in_L2.5	3/4in	1.05	2.5	0.75	
CONDUIT_NIPPLE_00.75in_L3	3/4in	1.05	3	0.75	
CONDUIT_NIPPLE_00.75in_L3.5	3/4in	1.05	3.5	0.75	
CONDUIT_NIPPLE_00.75in_L4	3/4in	1.05	4	0.75	
CONDUIT_NIPPLE_00.75in_L5	3/4in	1.05	5	0.75	
CONDUIT_NIPPLE_00.75in_L6	3/4in	1.05	6	0.75	
CONDUIT_NIPPLE_00.75in_L8	3/4in	1.05	8	0.75	
CONDUIT_NIPPLE_00.75in_L10	3/4in	1.05	10	0.75	
CONDUIT_NIPPLE_00.75in_L12	3/4in	1.05	12	0.75	
CONDUIT_NIPPLE_01.00in_L2	1in	1.315	2	1	
CONDUIT_NIPPLE_01.00in_L2.5	1in	1.315	2.5	1	
CONDUIT_NIPPLE_01.00in_L3	1in	1.315	3	1	
CONDUIT_NIPPLE_01.00in_L3.5	1in	1.315	3.5	1	
CONDUIT_NIPPLE_01.00in_L4	1in	1.315	4	1	
CONDUIT_NIPPLE_01.00in_L5	1in	1.315	5	1	
CONDUIT_NIPPLE_01.00in_L6	1in	1.315	6	1	
CONDUIT_NIPPLE_01.00in_L8	1in	1.315	8	1	
CONDUIT_NIPPLE_01.00in_L10	1in	1.315	10	1	
CONDUIT_NIPPLE_01.00in_L12	1in	1.315	12	1	
CONDUIT_NIPPLE_01.25in_L2	1 1/4in	1.66	2	1.25	
CONDUIT_NIPPLE_01.25in_L2.5	1 1/4in	1.66	2.5	1.25	
CONDUIT_NIPPLE_01.25in_L3	1 1/4in	1.66	3	1.25	
CONDUIT_NIPPLE_01.25in_L3.5	1 1/4in	1.66	3.5	1.25	
CONDUIT_NIPPLE_01.25in_L4	1 1/4in	1.66	4	1.25	
CONDUIT_NIPPLE_01.25in_L5	1 1/4in	1.66	5	1.25	
CONDUIT_NIPPLE_01.25in_L6	1 1/4in	1.66	6	1.25	
CONDUIT_NIPPLE_01.25in_L8	1 1/4in	1.66	8	1.25	
CONDUIT_NIPPLE_01.25in_L10	1 1/4in	1.66	10	1.25	
CONDUIT_NIPPLE_01.25in_L12	1 1/4in	1.66	12	1.25	
CONDUIT_NIPPLE_01.50in_L2	1 1/2in	1.9	2	1.5	
CONDUIT_NIPPLE_01.50in_L2.5	1 1/2in	1.9	2.5	1.5	
CONDUIT_NIPPLE_01.50in_L3	1 1/2in	1.9	3	1.5	
CONDUIT_NIPPLE_01.50in_L3.5	1 1/2in	1.9	3.5	1.5	
CONDUIT_NIPPLE_01.50in_L4	1 1/2in	1.9	4	1.5	
CONDUIT_NIPPLE_01.50in_L5	1 1/2in	1.9	5	1.5	
CONDUIT_NIPPLE_01.50in_L6	1 1/2in	1.9	6	1.5	
CONDUIT_NIPPLE_01.50in_L8	1 1/2in	1.9	8	1.5	
CONDUIT_NIPPLE_01.50in_L10	1 1/2in	1.9	10	1.5	
CONDUIT_NIPPLE_01.50in_L12	1 1/2in	1.9	12	1.5	
CONDUIT_NIPPLE_02.00in_L2.5	2in	2.375	2.5	2	
CONDUIT_NIPPLE_02.00in_L3	2in	2.375	3	2	
CONDUIT_NIPPLE_02.00in_L3.5	2in	2.375	3.5	2	
CONDUIT_NIPPLE_02.00in_L4	2in	2.375	4	2	
CONDUIT_NIPPLE_02.00in_L5	2in	2.375	5	2	
CONDUIT_NIPPLE_02.00in_L6	2in	2.375	6	2	
CONDUIT_NIPPLE_02.00in_L8	2in	2.375	8	2	
CONDUIT_NIPPLE_02.00in_L10	2in	2.375	10	2	
CONDUIT_NIPPLE_02.00in_L12	2in	2.375	12	2	
CONDUIT_NIPPLE_02.50in_L3	2 1/2in	2.875	3	2.5	
CONDUIT_NIPPLE_02.50in_L3.5	2 1/2in	2.875	3.5	2.5	
CONDUIT_NIPPLE_02.50in_L4	2 1/2in	2.875	4	2.5	
CONDUIT_NIPPLE_02.50in_L5	2 1/2in	2.875	5	2.5	
CONDUIT_NIPPLE_02.50in_L6	2 1/2in	2.875	6	2.5	
CONDUIT_NIPPLE_02.50in_L8	2 1/2in	2.875	8	2.5	
CONDUIT_NIPPLE_02.50in_L10	2 1/2in	2.875	10	2.5	
CONDUIT_NIPPLE_02.50in_L12	2 1/2in	2.875	12	2.5	
CONDUIT_NIPPLE_03.00in_L3	3in	3.5	3	3	
CONDUIT_NIPPLE_03.00in_L3.5	3in	3.5	3.5	3	
CONDUIT_NIPPLE_03.00in_L4	3in	3.5	4	3	
CONDUIT_NIPPLE_03.00in_L5	3in	3.5	5	3	
CONDUIT_NIPPLE_03.00in_L6	3in	3.5	6	3	
CONDUIT_NIPPLE_03.00in_L8	3in	3.5	8	3	
CONDUIT_NIPPLE_03.00in_L10	3in	3.5	10	3	
CONDUIT_NIPPLE_03.00in_L12	3in	3.5	12	3	
CONDUIT_NIPPLE_03.50in_L4	3 1/2in	4	4	3.5	
CONDUIT_NIPPLE_03.50in_L5	3 1/2in	4	5	3.5	
CONDUIT_NIPPLE_03.50in_L6	3 1/2in	4	6	3.5	
CONDUIT_NIPPLE_03.50in_L8	3 1/2in	4	8	3.5	
CONDUIT_NIPPLE_03.50in_L10	3 1/2in	4	10	3.5	
CONDUIT_NIPPLE_03.50in_L12	3 1/2in	4	12	3.5	
CONDUIT_NIPPLE_04.00in_L4	4in	4.5	4	4	
CONDUIT_NIPPLE_04.00in_L5	4in	4.5	5	4	
CONDUIT_NIPPLE_04.00in_L6	4in	4.5	6	4	
CONDUIT_NIPPLE_04.00in_L8	4in	4.5	8	4	
CONDUIT_NIPPLE_04.00in_L10	4in	4.5	10	4	
CONDUIT_NIPPLE_04.00in_L12	4in	4.5	12	4	
CONDUIT_NIPPLE_05.00in_L5	5in	5.563	5	5	
CONDUIT_NIPPLE_05.00in_L6	5in	5.563	6	5	
CONDUIT_NIPPLE_05.00in_L8	5in	5.563	8	5	
CONDUIT_NIPPLE_05.00in_L10	5in	5.563	10	5	
