GATE	GATE VALVE
GATE_HW	GATE VALVE. HAND WHEEL
GATE_GR	GATE VALVE. GEAR
GATEX	GATE-EXT-BODY
GATEX_HW	GATE-EXT-BODY. HAND WHEEL
GATE_FS	GATE VALVE. FORGED
GATEF	GATE VALVE. FULL BODY
GATE_BS	GATE VALVE. BELLOWS SEAL
GATEA	GATE ANGLE VALVE
GATEA_HW	GATE ANGLE VALVE. HAND WHEEL
PSV	PRESSURE SAFETY VALVE
CGAT	CONTROL VALVE. GATE BODY
CGAT_DM	CONTROL VALVE. GATE BODY. DIAPHRAGM
CBLG	CONTROL VALVE. GLOBE BODY
CGLB_DM	CONTROL VALVE. GLOBE BODY. DIAPHRAGM
GLBE	GLOBE VALVE
GLBE_HW	GLOBE VALVE. HAND WHEEL
GLBE_GR	GLOBE VALVE. GEAR
GLBX	GLOBE-EXT-BODY
GLBX_HW	GLOBE-EXT-BODY. HAND WHEEL
GLBE_FS	GLOBE VALVE. FORGED
GLBEF	GLOBE VALVE. FULL BODY
GLBX_HY	Y PATTERN GLOBE. HAND WHEEL
GLBEA	GLOBE ANGLE VALVE
GLBEA_HW	GLOBE ANGLE VALVE. HAND WHEEL
BFLYL	BUTTERFLY VALVE (LUG TYPE)
BFLYL_LR	BUTTERFLY VALVE (LUG TYPE). LEVER
BFLYL_GR	BUTTERFLY VALVE (LUG TYPE). GEAR
BFLYW	BUTTERFLY VALVE (WAFER TYPE)
BFLYW_LR	BUTTERFLY VALVE (WAFER TYPE). LEVER
BFLYW_GR	BUTTERFLY VALVE (WAFER TYPE). GEAR
CHECK	CHECK VALVE
CHK_PSTN	CHECK VALVE. PISTON
CHK_SWNG	CHECK VALVE. SWING
CHK_WAFR	CHECK VALVE. WAFER
CHK_LUG	CHECK VALVE. LUG
DIAP	DIAPHRAGM VALVE
DIAP_HW	DIAPHRAGM VALVE. HAND WHEEL
BALL	BALL VALVE
BALL_LR	BALL VALVE. LEVER
BALL_GR	BALL VALVE. GEAR
PLUG	PLUG VALVE
PLUG_LR	PLUG VALVE. LEVER
PLUG3	PLUG-3-WAY VALVE
PLUG3_LR	PLUG-3-WAY VALVE. LEVER
PLUG4	PLUG-4-WAY VALVE
PLUG4_LR	PLUG-4-WAY VALVE. LEVER
SCHK	STOP CHECK VALVE
SCHK_HY	STOP CHECK VALVE.  Y PATTERN
NEDL	NEEDLE VALVE
NEDL_HW	NEEDLE VALVE. HAND WHEEL
MITRE_BEND	MITRE BEND BUTT WELD
MITRE_BEND_PE	MITRE BEND PLANE END
FL_LOOSE_BACKING	FLANGE LOOSE BACKING
FL_SLIP_ON	FLANGE SLIP ON
FL_SCREWED	FLANGE SCREWED
FL_SOCKET_WELD	FLANGE SOCKET WELD
FL_BLIND	FLANGE BLIND
CO_PF	COUPLING PUSH FIT
CL_VI_GROOVED	CLAMP Victaulic
FL_GL-FE	FLANNGE GLUED	
EL_45_90_RD_AN	REDUCING ANGLE ELBOW
VALVE_GR_CNTRL	GRADUATED CONTROL VALVE
ORIFICE-PLATE	ORIFICE PLATE
EXPN-BELLOWS	EXPANSION ELBOW
FLEXIBLE-HOSE	FLEXIBLE HOSE
EL_45-90_IE_CP	ELBOW TEED COMPRESSION
EL_45-90_IE_SC	ELBOW TEED SCREWED
EL_45-90_IE_SW	ELBOE TEED SOCKET WELD
