FunctionName	PhysicalPart
EquipCoolerFunc_Sample	EquipBlower
EquipCompressorFunc_Sample	EquipCentriCompressor
EquipCompressorFunc_Sample	EquipRadialCompressor
EquipCompressorFunc_Sample	EquipReciprCompressor
EquipCompressorFunc_Sample	EquipRotaryCompressor
EquipDriverFunc_Sample	EquipElectricalMotor
EquipDriverFunc_Sample	EquipGasDieselEngine
EquipDriverFunc_Sample	EquipGasTurbine
EquipDriverFunc_Sample	EquipSteamCylinder
EquipDriverFunc_Sample	EquipSteamTurbine
EquipFanFunc_Sample	EquipFan
EquipFurnaceFunc_Sample	EquipFurnace
EquipHeatExchFunc_Sample	EquipHeatExchanger
EquipHeatExchFunc_Sample	EquipFurnace
EquipMiscFunc_Sample	EquipMiscellaneous
EquipMixerFunc_Sample	EquipMixer
EquipPumpFunc_Sample	EquipCentriPump
EquipPumpFunc_Sample	EquipPump
EquipPumpFunc_Sample	EquipReciprPump
EquipPumpFunc_Sample	EquipRotaryPump
EquipSeparatorFunc_Sample	EquipMixerSeparator
EquipStorageFunc_Sample	EquipVessel
EquipVesselFunc_Sample	EquipVessel
EquipNozzleFunc	EquipNozzle
EquipPipingNozzleFunc	EquipPipingNozzle
EquipTubingNozzleFunc	EquipTubingNozzle
EquipHVACNozzleFunc	EquipHVACNozzle
EquipWvgNozzleFunc	EquipWaveguideNozzle
EquipAntennaFunc	EquipAntenna
EquipAmplifierFunc	EquipAmplifier
EquipTransmitterFunc	EquipTransmitter
EquipReceiverFunc	EquipReceiver
Elec3PACPowerFunc	ElecGenerator
Elec3PACGeneratorFunc	ElecGenerator
Elec3PACUPSFunc	ElecGenerator
Elec3PACLoadFunc	ElecMotor
Elec3PACMotorFunc	ElecMotor
Elec3PACMotorFunc	ElecSynchronousMotor
Elec3PACCapacitorFunc	ElecCapacitor
Elec3PACBrCapFunc	ElecCapacitor
Elec3PACZigZag	ElecCapacitor
Elec3PACTransfmrFunc	ElecTransformer
Elec3PACTransfmrFunc	ElecShiftingTransfmr
Elec3PACTransfmrFunc	ElecAutoTransformer
Elec3PACSyncMotorFunc	ElecSynchronousMotor
Elec3PACWTransfmrFunc	ElecTransformer
Elec3PACShiftTranFunc	ElecShiftingTransfmr
Elec3PACReactorFunc	ElecReactor
Elec3PACDupReactrFunc	ElecDuplexReactor
Elec3PACAutoTranFunc	ElecAutoTransformer
Elec1PACPowerFunc	ElecGenerator
Elec1PACGeneratorFunc	ElecGenerator
Elec1PACMotorFunc	ElecMotor
Elec1PACMotorFunc	ElecSynchronousMotor
Elec1PACCapacitorFunc	ElecCapacitor
Elec1PACBrCapFunc	ElecCapacitor
Elec1PACTransfmrFunc	ElecTransformer
Elec1PACTransfmrFunc	ElecShiftingTransfmr
Elec1PACReactorFunc	ElecReactor
ElecDCGeneratorFunc	ElecGenerator
ElecDCLoadFunc	ElecMotor
ElecDCMotorFunc	ElecMotor
ElecDCBatteryFunc	ElecBattery
Elec3PRectifierFunc	ElecRectifier
ElecSwitchPanelFunc	ElecControlPanel
ElecSwitchPanelFunc	ElecPowerPanel
ElecPlugFunction	ElecPlug
ElecJunctionBoxFunc	ElecJunctionBox
ElecTerminalBoardFunc	ElecTerminalBoard
ElecSocketFunction	ElecSocket
ElecSwitchFunction	ElecSwitch
Elec3PACSwitchFunc	ElecSwitch
Elec3PACSwitchFunc	ElecRockerSwitch
Elec3PACSwitchFunc	ElecEnclosedSwitch
Elec1PACSwitchFunc	ElecSwitch
Elec1PACSwitchFunc	ElecRockerSwitch
Elec1PACSwitchFunc	ElecEnclosedSwitch
ElecDCSwitchFunc	ElecSwitch
ElecDCSwitchFunc	ElecRockerSwitch
ElecDCSwitchFunc	ElecEnclosedSwitch
ElecFuseFunction	ElecFuse
Elec3PACFuseFunc	ElecFuse
Elec3PACFuseFunc	ElecLClassFuse
Elec1PACFuseFunc	ElecFuse
Elec1PACFuseFunc	ElecLClassFuse
ElecDCFuseFunc	ElecFuse
ElecDCFuseFunc	ElecLClassFuse
ElecCircuitBrkrFunc	ElecCircuitBreaker
Elec3PACCirctBrkrFunc	ElecCircuitBreaker
Elec1PACCirctBrkrFunc	ElecCircuitBreaker
ElecDCCirctBrkrFunc	ElecCircuitBreaker
ElecLightingFunc 	ElecDeckLighting 
ElecLightingFunc 	ElecOverheadLighting 
ElecLightingFunc 	ElecSpecialLighting 
