FunctionName	PhysicalPart
EquipCoolerFunc_Sample	EquipBlower
EquipCompressorFunc_Sample	EquipCentriCompressor
EquipCompressorFunc_Sample	EquipRadialCompressor
EquipCompressorFunc_Sample	EquipReciprCompressor
EquipCompressorFunc_Sample	EquipRotaryCompressor
EquipDriverFunc_Sample	EquipElectricalMotor
EquipFanFunc_Sample	EquipFan
EquipFurnaceFunc_Sample	EquipFurnace
EquipHeatExchFunc_Sample	EquipHeatExchanger
EquipHeatExchFunc_Sample	EquipFurnace
EquipMiscFunc_Sample	EquipMiscellaneous
EquipPumpFunc_Sample	EquipPump
EquipHVACNozzleFunc	EquipHVACNozzle


 

