FunctionName	PhysicalPart
EquipCoolerFunc_Sample	EquipBlower
EquipCompressorFunc_Sample	EquipCentriCompressor
EquipCompressorFunc_Sample	EquipRadialCompressor
EquipCompressorFunc_Sample	EquipReciprCompressor
EquipCompressorFunc_Sample	EquipRotaryCompressor
EquipDriverFunc_Sample	EquipElectricalMotor
EquipDriverFunc_Sample	EquipGasDieselEngine
EquipDriverFunc_Sample	EquipGasTurbine
EquipDriverFunc_Sample	EquipSteamCylinder
EquipDriverFunc_Sample	EquipSteamTurbine
EquipFanFunc_Sample	EquipFan
EquipFurnaceFunc_Sample	EquipFurnace
EquipHeatExchFunc_Sample	EquipHeatExchanger
EquipHeatExchFunc_Sample	EquipFurnace
EquipMiscFunc_Sample	EquipMiscellaneous
EquipMixerFunc_Sample	EquipMixer
EquipPumpFunc_Sample	EquipCentriPump
EquipPumpFunc_Sample	EquipPump
EquipPumpFunc_Sample	EquipReciprPump
EquipPumpFunc_Sample	EquipRotaryPump
EquipSeparatorFunc_Sample	EquipMixerSeparator
EquipStorageFunc_Sample	EquipVessel
EquipVesselFunc_Sample	EquipVessel
EquipTubingNozzleFunc	EquipTubingNozzle


 

