PartNumber	NominalSize	OutsideDiameter (in)	FaceToFaceLength (in)	OverallLength (in)	ThreadDiameter (in)	ThreadLength (in)	InsideDiameter (in)	FlareAngle (deg)	FlareDiameter (in)	FlareLength (in)	HexNutDiameter (in)
SWIVEL-ADAPTOR-TFSW-03	3/16in	0.1875	1.25	1.43	0.375	0.2	0.12	37	0.27	0.155	0.688
SWIVEL-ADAPTOR-TFSW-04	1/4in	0.25	1.25	1.43	0.4375	0.275	0.17	37	0.35	0.165	0.688
SWIVEL-ADAPTOR-TFSW-05	5/16in	0.3125	1.31	1.51	0.5	0.294	0.23	37	0.41	0.176	0.875
SWIVEL-ADAPTOR-TFSW-06	3/8in	0.375	1.31	1.51	0.5625	0.319	0.3	37	0.47	0.191	0.875
SWIVEL-ADAPTOR-TFSW-08	1/2in	0.5	1.62	1.91	0.75	0.375	0.4	37	0.62	0.225	0.875
SWIVEL-ADAPTOR-TFSW-10	5/8in	0.625	1.69	2.04	0.875	0.431	0.51	37	0.85	0.259	1.25
SWIVEL-ADAPTOR-TFSW-12	3/4in	0.75	1.69	2.04	1.0625	0.45	0.61	37	0.95	0.271	1.25
SWIVEL-ADAPTOR-TFWS-14	7/8in	0.875	2	2.37	1.1875	0.45	0.73	37	1	0.28	1.5
SWIVEL-ADAPTOR-TFSW-16	1in	1	2	2.37	1.3125	0.5	0.84	37	1.1	0.3	1.5
SWIVEL-ADAPTOR-TFSW-20	1 1/4in	1.25	2.09	2.47	1.625	0.544	1.08	37	1.5	0.327	2
SWIVEL-ADAPTOR-TFSW-24	1 1/2in	1.5	2.19	2.61	1.875	0.625	1.31	37	1.75	0.375	2.25
SWIVEL-ADAPTOR-TFSW-32	2in	2	2.37	2.8	2.5	0.75	1.78	37	2.3	0.43	2.625
