Shape	PartType1	Standard1	EndStyle1	PartType2	Standard2	EndStyle2	AutomaticPartType	
Round	Not-HVACRndGasket	ASHRAE92	FLANGED	Not-HVACRndGasket	ASHRAE92	FLANGED	HVACRndGasket	
Round	HVACRndExpJoint 	ASHRAE92	FLEX CONNECTION	Not-HVACRndLFlange	ASHRAE92	PLAIN END	HVACRndLFlange	
Round	All	ASHRAE92	PLAIN END	All	ASHRAE92	FLANGED	HVACRndLFlange	
Round	Not-HVACRndLFlange	ASHRAE92	PLAIN END	Not-HVACRndLFlange	ASHRAE92	PLAIN END	HVACRndLFlange	
Rectangular	Not-HVACRectGasket	ASHRAE92	FLANGED	Not-HVACRectGasket	ASHRAE92	FLANGED	HVACRectGasket	
Rectangular	HVACRectExpJoint 	ASHRAE92	FLEX CONNECTION	Not-HVACRectLFlange	ASHRAE92	PLAIN END	HVACRectLFlange	
Rectangular	All	ASHRAE92	PLAIN END	All	ASHRAE92	FLANGED	HVACRectLFlange	
Rectangular	Not-HVACRectLFlange	ASHRAE92	PLAIN END	Not-HVACRectLFlange	ASHRAE92	PLAIN END	HVACRectLFlange	
Radius Corner	Not-HVACRectRCGasket	ASHRAE92	FLANGED	Not-HVACRectRCGasket	ASHRAE92	FLANGED	HVACRectRCGasket	
Radius Corner	HVACRectRCExpJoint 	ASHRAE92	FLEX CONNECTION	Not-HVACRectRCLFlange	ASHRAE92	PLAIN END	HVACRectRCLFlange	
Radius Corner	All	ASHRAE92	PLAIN END	All	ASHRAE92	FLANGED	HVACRectRCLFlange	
Radius Corner	Not-HVACRectRCLFlange	ASHRAE92	PLAIN END	Not-HVACRectRCLFlange	ASHRAE92	PLAIN END	HVACRectRCLFlange	
Flat Oval	Not-HVACFltOvlGasket	ASHRAE92	FLANGED	Not-HVACFltOvlGasket	ASHRAE92	FLANGED	HVACFltOvlGasket	
Flat Oval	All	ASHRAE92	PLAIN END	All	ASHRAE92	FLANGED	HVACFltOvlLFlange	
Flat Oval	Not-HVACFltOvlLFlange	ASHRAE92	PLAIN END	Not-HVACFltOvlLFlange	ASHRAE92	PLAIN END	HVACFltOvlLFlange	
