FunctionName	MinSize	MaxSize	PhysicalPart
HVACDuctFunc	1in	48in	HVACRectRCStrtDuct
HVACDuctFunc	1in	48in	HVACRectRCNoRedElbow
HVACDuctFunc	1in	48in	HVACRectRCRedElbow
HVACDuctFunc	1in	48in	HVACRectRCKnee
HVACDuctFunc	1in	48in	HVACRectRCRedKnee
HVACDuctFunc	1in	48in	HVACRectRCMtdElbow
HVACDuctFunc	1in	48in	HVACRectRCCollar
HVACDuctFunc	1in	48in	HVACRectRCCoupling
HVACDuctFunc	1in	48in	HVACRectRCEndPlate
HVACDuctFunc	1in	48in	HVACRectRCExpJoint
HVACDuctFunc	1in	48in	HVACRectRCOutlet
HVACDuctFunc	1in	48in	HVACRectRCLFlange
HVACDuctFunc	1in	48in	HVACRectRCIFlange
HVACDuctFunc	1in	48in	HVACRectRCGasket
HVACDuctFunc	1in	48in	HVACRectRCToRecOffset
HVACDuctFunc	1in	48in	HVACRectRCRedOffset
HVACDuctFunc	1in	48in	HVACRectRCOgee
HVACDuctFunc	1in	48in	HVACRectRCAccCvrRect
HVACDuctFunc	1in	48in	HVACRectRCAccCvrRnd
HVACDuctFunc	1in	48in	CATHvaHVACRectToRectRCTransition
HVACDuctFunc	1in	48in	CATHvaHVACRectRoundRCTransition
