FunctionName	MinSize	MaxSize	PhysicalPart
HVACDuctFunc	1in	48in	HVACRectStDuct
HVACDuctFunc	1in	48in	HVACRectNReducElbow
HVACDuctFunc	1in	48in	HVACRectReduceElbow
HVACDuctFunc	1in	48in	HVACRectKnee
HVACDuctFunc	1in	48in	HVACRectReduceKnee
HVACDuctFunc	1in	48in	HVACRectMiteredElbow
HVACDuctFunc	1in	48in	HVACRectCollar
HVACDuctFunc	1in	48in	HVACRectCoupling
HVACDuctFunc	1in	48in	HVACRectEndPlate
HVACDuctFunc	1in	48in	HVACRectExpJoint
HVACDuctFunc	1in	48in	HVACRectOutlet
HVACDuctFunc	1in	48in	HVACRectLFlange
HVACDuctFunc	1in	48in	HVACRectIFlange
HVACDuctFunc	1in	48in	HVACRectGasket
HVACDuctFunc	1in	48in	HVACRectToRectOffset
HVACDuctFunc	1in	48in	HVACRectReduceOffset
HVACDuctFunc	1in	48in	HVACRectOgee
HVACDuctFunc	1in	48in	HVACRectAccessCvrRect
HVACDuctFunc	1in	48in	HVACRectAccessCvrRnd
HVACDuctFunc	1in	48in	HVACRectToRect
HVACDuctFunc	1in	48in	HVACRectToRnd
