PartNumber	SymbolNumberFixture	HoleSpacing (in)	LegDiameter (in)	BaseLength (in)	BaseWidth (in)	BaseThickness (in)	BoltHoleDiameter (in)
EFWS-338.1	_338.1	4.75	1.315	6	1.5	0.125	0.406
EFWS-70.3	_70.3	4.75	1.315	6	1.5	0.125	0.406
EFWS-331.1	_331.1	4.75	1.315	6	1.5	0.125	0.406
EFWS-347	_347	4.75	1.315	6	1.5	0.125	0.406
EFWS-79.1	_79.1	4.75	1.315	6	1.5	0.125	0.406
EFWS-80.1	_80.1	4.75	1.315	6	1.5	0.125	0.406
EFWS-149.2	_149.2	7.25	1.315	8.5	1.5	0.125	0.406
EFWS-73.3.346	_73.3.346	7.25	1.315	8.5	1.5	0.125	0.406
EFWS-145.2	_145.2	7.25	1.315	8.5	1.5	0.125	0.406
EFWS-77.4	_77.4	7.25	1.315	8.5	1.5	0.125	0.406
EFWS-344	_344	7.25	1.315	8.5	1.5	0.125	0.406
EFWS-33.1	_33.1	9.25	1.315	10.5	1.5	0.125	0.406
EFWS-341.1	_341.1	9.25	1.315	10.5	1.5	0.125	0.406
EFWS-342	_342	9.25	1.315	10.5	1.5	0.125	0.406
EFWS-348	_348	11	1.315	12.25	1.5	0.125	0.406
EFWS-74	_74	13	1.315	14.25	1.5	0.125	0.406
EFWS-75	_75	13	1.315	14.25	1.5	0.125	0.406
EFWS-349	_349	15.5	1.315	16.75	1.5	0.125	0.406
EFWS-350	_35	15.5	1.315	16.75	1.5	0.125	0.406
