PartNumber	NominalSize	Diameter (in)	UpperThickness (in)	LowerThickness (in)	ClevisWidth (in)	RodSize (in)	CenterToTopHeight (in)	OverallHeight (in)	BoltDiameter (in)	BoltHeadDiameter (in)	BoltHeadHeight (in)	Adjustment (in)
CLEVIS-00.375in	3/8in	0.675	0.0625	0.0625	0.75	0.3125	1.406	1.75	0.19	0.359	0.137	0.313
CLEVIS-00.50in	1/2in	0.84	0.0625	0.0625	0.75	0.3125	1.625	2.063	0.19	0.359	0.137	0.5
CLEVIS-00.75in	3/4in	1.05	0.0625	0.0625	0.875	0.3125	1.844	2.375	0.216	0.408	0.153	0.563
CLEVIS-01.00in	1in	1.315	0.0625	0.0625	0.875	0.3125	2.063	2.656	0.216	0.408	0.153	0.563
CLEVIS-01.25in	1 1/4in	1.66	0.0625	0.0625	0.875	0.3125	2.563	3.406	0.216	0.408	0.153	0.875
CLEVIS-01.50in	1 1/2in	1.9	0.0625	0.0625	0.875	0.3125	2.938	3.906	0.216	0.408	0.153	1.063
CLEVIS-02.00in	2in	2.375	0.0625	0.0625	0.875	0.3125	3.625	4.813	0.216	0.408	0.153	1.563
CLEVIS-02.50in	2 1/2in	2.875	0.125	0.125	1.25	0.5	4.563	6	0.313	0.577	0.219	2.125
CLEVIS-03.00in	3in	3.5	0.125	0.125	1.25	0.5	4.656	6.813	0.313	0.577	0.219	1.875
CLEVIS-03.50in	3 1/2in	4	0.125	0.125	1.25	0.5	4.813	6.813	0.313	0.577	0.219	1.813
CLEVIS-04.00in	4in	4.5	0.1875	0.125	1.25	0.5	5.5	7.75	0.313	0.577	0.219	2.063
