PartNumber	NominalSize	Diameter (in)	PipeRingGap (in)	PipeRingWidth (in)	PipeRingThickness (in)	RodTakeOut (in)	BoltDiameter (in)	BoltHeadDiameter (in)	BoltHeadHeight (in)
PIPE-RING-00.375in	3/8in	0.675	0.75	0.5	0.125	0.75	0.19	0.359	0.137
PIPE-RING-00.50in	1/2in	0.84	0.75	0.5	0.125	0.9375	0.25	0.505	0.21875
PIPE-RING-00.75in	3/4in	1.05	0.75	0.5	0.125	1.125	0.25	0.505	0.21875
PIPE-RING-01.00in	1in	1.315	0.75	0.5	0.125	1.25	0.25	0.505	0.21875
PIPE-RING-01.25in	1 1/4in	1.66	0.75	0.5	0.125	1.5625	0.25	0.505	0.21875
PIPE-RING-01.50in	1 1/2in	1.9	0.75	0.5	0.125	1.6875	0.25	0.505	0.21875
PIPE-RING-02.00in	2in	2.375	0.75	0.625	0.25	2.0625	0.25	0.505	0.21875
PIPE-RING-02.50in	2 1/ 2in	2.875	0.75	0.625	0.25	2.25	0.25	0.505	0.21875
PIPE-RING-03.00in	3in	3.5	0.75	0.625	0.25	2.75	0.25	0.505	0.21875
PIPE-RING-03.50in	3 1/2in	4	0.75	0.625	0.25	3.125	0.25	0.505	0.21875
PIPE-RING-04.00in	4in	4.5	0.75	0.75	0.25	3.625	0.375	0.65	0.328125
PIPE-RING-05.00in	5in	5.563	0.75	0.75	0.25	4.5	0.375	0.65	0.328125
PIPE-RING-06.00in	6in	6.625	1	0.875	0.375	5.4375	0.5	0.866	0.4375
PIPE-RING-08.00in	8in	8.625	1	0.875	0.375	6.375	0.5	0.866	0.4375
