TierPartNumber	TierMaterial	TierLength (in)	TierHeight (in)	TierDepth (in)
STB-S-06	Steel	6	0.75	0.75
STB-S-07	Steel	7	0.75	0.75
STB-S-08	Steel	8	0.75	0.75
STB-S-09	Steel	9	0.75	0.75
STB-S-10	Steel	10	0.75	0.75
STB-S-11	Steel	11	0.75	0.75
STB-S-12	Steel	12	0.75	0.75
STB-S-13	Steel	13	0.75	0.75
STB-S-14	Steel	14	0.75	0.75
STB-S-15	Steel	15	0.75	0.75
STB-S-16	Steel	16	0.75	0.75
STB-S-17	Steel	17	0.75	0.75
STB-S-18	Steel	18	0.75	0.75
STB-S-19	Steel	19	0.75	0.75
STB-S-20	Steel	20	0.75	0.75
STB-S-21	Steel	21	0.75	0.75
STB-S-22	Steel	22	0.75	0.75
STB-S-23	Steel	23	0.75	0.75
STB-S-24	Steel	24	0.75	0.75
STB-S-25	Steel	25	0.75	0.75
STB-S-26	Steel	26	0.75	0.75
