PartNumber	NominalSize	PipeDiameter (in)	PipeClampGap (in)	PipeClampWidth (in)	PipeClampThickness (in)	CenterToTopHeight (in)	ClampRodTakeOut (in)	BoltDiameter (in)	BoltHeadDiameter (in)	BoltHeadHeight (in)
PIPE-CLAMP-00.50in	1/2in	0.84	0.75	1	0.125	1.656	1.125	0.313	0.577	0.266
PIPE-CLAMP-00.75in	3/4in	1.05	0.75	1	0.125	1.719	1.188	0.313	0.577	0.266
PIPE-CLAMP-01.00in	1in	1.315	0.75	1	0.125	1.781	1.25	0.313	0.577	0.266
PIPE-CLAMP-01.25in	1 1/4in	1.66	0.75	1	0.125	1.844	1.313	0.313	0.577	0.266
PIPE-CLAMP-01.50in	1 1/2in	1.9	0.75	1	0.125	2.156	1.625	0.313	0.577	0.266
PIPE-CLAMP-02.00in	2in	2.375	0.75	1	0.25	2.75	2.125	0.5	0.866	0.438
PIPE-CLAMP-02.50in	2 1/2in	2.875	0.75	1	0.25	3.25	2.625	0.5	0.866	0.438
PIPE-CLAMP-03.00in	3in	3.5	0.75	1	0.25	3.563	2.938	0.5	0.866	0.438
PIPE-CLAMP-03.50in	3 1/2in	4	0.75	1	0.25	3.813	3.188	0.5	0.866	0.438
PIPE-CLAMP-04.00in	4in	4.5	0.75	1.25	0.25	4.375	3.625	0.5	0.866	0.438
PIPE-CLAMP-05.00in	5in	5.563	0.75	1.25	0.25	4.938	4.188	0.5	0.866	0.438
PIPE-CLAMP-06.00in	6in	6.625	1	1.5	0.375	5.875	5	0.5	0.866	0.438
PIPE-CLAMP-08.00in	8in	8.625	1	1.5	0.375	7	6.125	0.75	1.299	0.641
PIPE-CLAMP-10.00in	10in	10.75	1.25	2	0.5	8.563	7.438	0.875	1.516	0.75
PIPE-CLAMP-12.00in	12in	12.75	1.25	2	0.5	9.563	8.438	0.875	1.516	0.75
PIPE-CLAMP-14.00in	14in	14	1.25	2.5	0.5	10.625	9.25	0.875	1.516	0.75
PIPE-CLAMP-16.00in	16in	16	1.25	2.5	0.5	11.625	10.25	0.875	1.516	0.75
PIPE-CLAMP-18.00in	18in	18	1.25	2.5	0.625	13	11.625	1	1.732	0.859
PIPE-CLAMP-20.00in	20in	20	1.5	2.5	0.625	14.125	12.75	1.125	1.949	0.969
PIPE-CLAMP-24.00in	24in	24	1.5	3	0.625	16.875	15.25	1.25	2.165	1.063
PIPE-CLAMP-30.00in	30in	30	2	4	0.75	21.125	19	1.75	3.175	1.719
