PartNumber	NominalSize	OutsideDiameter (in)	ExtensionPieceMinimumLength (in)	ExtensionPieceWeld (in)	ExtensionPieceRodEndDiameter (in)	ExtensionPiecePipeDiameter (in)	PivotJointRadius (in)	PivotToExtensionPieceLength (in)	PivotHoleDiameter (in)	PivotOffset (in)	JamNutDiameter (in)	JamNutHeight (in)	BracketHeight (in)	BracketLength (in)	BracketWidth (in)	PipeClampCenterToOutsideLength (in)	PipeClampGap (in)	PipeClampThickness (in)	RodTakeOut (in)	PipeClampCenterToClampBoltLength (in)	HexHeadDiameter (in)	HexHeadHeight (in)	
SWAY-STRUT-00.75in	3/4in	1.05	12	0.1875	0.75	1	0.625	2.6875	0.374	1	1.299	0.421875	2.875	0.25	1.25	1.375	0.625	0.1875	2.4375	0.9375	0.65	0.328125	
SWAY-STRUT-01.00in	1in	1.315	12	0.1875	0.75	1	0.625	2.6875	0.374	1	1.299	0.421875	2.875	0.25	1.25	1.5	0.625	0.1875	2.5625	1.0625	0.65	0.328125	
SWAY-STRUT-01.25in	1 1/4in	1.66	12	0.1875	0.75	1	0.625	2.6875	0.374	1	1.299	0.421875	2.875	0.25	1.25	1.6875	0.625	0.1875	2.6875	1.25	0.65	0.328125	
SWAY-STRUT-01.50in	1 1/2in	1.9	12	0.1875	0.75	1	0.625	2.6875	0.374	1	1.299	0.421875	2.875	0.25	1.25	2.375	1	0.25	4.125	1.8125	0.65	0.328125	
SWAY-STRUT-02.00in	2in	2.375	16.875	0.3125	1.5	2.5	1.5	4.25	0.999	2.5	2.598	0.84375	4.5	0.75	3	2.6875	1	0.25	6.375	2.125	1.732	0.859375	
SWAY-STRUT-02.50in	2 1/2in	2.875	20.5	0.375	2	3	2	5.25	1.249	3.25	3.608	1.09375	5.375	1	3.5625	2.9375	1	0.25	8.125	2.3125	2.165	1.0625	
SWAY-STRUT-03.00in	3in	3.5	20.5	0.375	2	3	2	5.25	1.249	3.25	3.608	1.09375	5.375	1	3.5625	3.5	1	0.25	8.125	2.75	2.165	1.0625	
SWAY-STRUT-03.50in	3 1/2in	4	20.5	0.375	2	3	2	5.25	1.249	3.25	3.608	1.09375	5.375	1	3.5625	4	1	0.25	8.125	3.0625	2.165	1.0625	
SWAY-STRUT-04.00in	4in	4.5	20.5	0.375	2	3	2	5.25	1.249	3.25	3.608	1.09375	5.375	1	3.5625	4.5	1	0.3125	8.375	3.375	2.165	1.0625	
SWAY-STRUT-05.00in	5in	5.563	20.5	0.375	2	3	2	5.25	1.249	3.25	3.608	1.09375	5.375	1	3.5625	5	1	0.3125	9.125	3.9375	2.165	1.0625	
SWAY-STRUT-06.00in	6in	6.625	23.75	0.375	2.5	4	3	6.875	1.749	5	4.474	1.453125	7.875	1.75	5.375	6	1.75	0.375	11.875	4.75	3.175	1.71875	
SWAY-STRUT-08.00in	8in	8.625	23.75	0.375	2.5	4	3	6.875	1.749	5	4.474	1.453125	7.875	1.75	5.375	7.125	1.25	0.5	12.625	6	3.175	1.71875	
SWAY-STRUT-10.00in	10in	10.75	32.25	0.75	4	6	4.75	9.25	2.499	7.25	7.073	2.1875	14	2.25	8.75	9	2.25	0.5	16.25	7.25	4.474	2.453125	
SWAY-STRUT-12.00in	12in	12.75	32.25	0.75	4	6	4.75	9.25	2.499	7.25	7.073	2.1875	14	2.25	8.75	10.375	2.5	0.625	17.25	8.625	4.474	2.453125	
SWAY-STRUT-14.00in	14in	14	32.25	0.75	4	6	4.75	9.25	2.499	7.25	7.073	2.1875	14	2.25	8.75	11.625	2.5	0.75	18	9.625	4.474	2.453125	
SWAY-STRUT-16.00in	16in	16	32.25	0.75	4	6	4.75	9.25	2.499	7.25	7.073	2.1875	14	2.25	8.75	13.125	3	0.75	19	10.875	4.474	2.453125	
SWAY-STRUT-18.00in	18in	18	32.25	0.75	4	6	4.75	9.25	2.499	7.25	7.073	2.1875	14	2.25	8.75	14.5	3.5	1	20.25	12.5	4.474	2.453125	
SWAY-STRUT-20.00in	20in	20	32.25	0.75	4	6	4.75	9.25	2.499	7.25	7.073	2.1875	14	2.25	8.75	16	3.5	1	21.5	13.5	4.474	2.453125	
SWAY-STRUT-24.00in	24in	24	32.25	0.75	4	6	4.75	9.25	2.499	7.25	7.073	2.1875	14	2.25	8.75	18.5	3.5	1	24	15.5	4.474	2.453125	
SWAY-STRUT-30.00in	30in	30	32.25	0.75	4	6	4.75	9.25	2.499	7.25	7.073	2.1875	14	2.25	8.75	24.375	4.25	1	31.5	19.875	4.474	2.453125	
SWAY-STRUT-36.00in	36in	36	32.25	0.75	4	6	4.75	9.25	2.499	7.25	7.073	2.1875	14	2.25	8.75	30.125	4.5	1.5	34.75	24.625	4.474	2.453125	
