PartNumber	NominalSize	OutsideDiameter (in)	RodSize (in)	InsideDiameter (in)	CenterToTopHeight (in)	TopToPipeHeight (in)	HexNutHeight (in)	HexNutOuterDiameter (in)	HexNutInnerDiameter (in)	
U-BOLT-00.50in	1/2in	0.84	0.25	0.9375	2.75	2.3125	0.21875	0.505	0.4375	
U-BOLT-00.75in	3/4in	1.05	0.25	1.125	2.75	2.21875	0.21875	0.505	0.4375	
U-BOLT-01.00in	1in	1.315	0.25	1.375	2.75	2.09375	0.21875	0.505	0.4375	
U-BOLT-01.25in	1 1/4in	1.66	0.375	1.6875	2.875	2.03125	0.328125	0.65	0.5625	
U-BOLT-01.50in	1 1/2in	1.9	0.375	2	3	2.0625	0.328125	0.65	0.5625	
U-BOLT-02.00in	2in	2.375	0.375	2.4375	3.25	2.0625	0.328125	0.65	0.5625	
U-BOLT-02.50in	2 1/2in	2.875	0.5	2.9375	3.75	2.3125	0.4375	0.866	0.75	
U-BOLT-03.00in	3in	3.5	0.5	3.5625	4	2.25	0.4375	0.866	0.75	
U-BOLT-03.50in	3 1/2in	4	0.5	4.0625	4.25	2.25	0.4375	0.866	0.75	
U-BOLT-04.00in	4in	4.5	0.5	4.5625	4.5	2.25	0.4375	0.866	0.75	
U-BOLT-05.00in	5in	5.563	0.5	5.625	5	2.21875	0.4375	0.866	0.75	
U-BOLT-06.00in	6in	6.625	0.625	6.75	6.125	2.8125	0.546875	1.083	0.9375	
U-BOLT-08.00in	8in	8.625	0.625	8.75	7.125	2.8125	0.546875	1.083	0.9375	
U-BOLT-10.00in	10in	10.75	0.75	10.875	8.375	3	0.640625	1.299	1.125	
U-BOLT-12.00in	12in	12.75	0.875	12.875	9.625	3.25	0.75	1.516	1.3125	
U-BOLT-14.00in	14in	14	0.875	14.125	10.25	3.25	0.75	1.516	1.3125	
U-BOLT-16.00in	16in	16	0.875	16.125	11.25	3.25	0.75	1.516	1.3125	
U-BOLT-18.00in	18in	18	1	18.125	12.625	3.625	0.859375	1.732	1.5	
U-BOLT-20.00in	20in	20	1	20.125	13.625	3.625	0.859375	1.732	1.5	
U-BOLT-24.00in	24in	24	1	24.125	15.625	3.625	0.859375	1.732	1.5	
U-BOLT-28.00in	28in	28	1	28.125	17.625	3.625	0.859375	1.732	1.5	
U-BOLT-30.00in	30in	30	1	30.125	18.625	3.625	0.859375	1.732	1.5	
U-BOLT-36.00in	36in	36	1	36.125	21.625	3.625	0.859375	1.732	1.5	
