DownComerPartNumber	DownComerMaterial	DownComerLength (in)	DownComerWidth (in)	DownComerDepth (in)	DownComerThickness (in)	
3CDA-03	Aluminum	3.375	1.64	0.625	0.188	
3CDA-04	Aluminum	4.375	1.64	0.625	0.188	
3CDA-06	Aluminum	6.375	1.64	0.625	0.188	
3CDA-08	Aluminum	8.375	1.64	0.625	0.188	
3CDA-10	Aluminum	10.375	1.64	0.625	0.188	
3CDA-12	Aluminum	12.375	1.64	0.625	0.188	
3CDA-14	Aluminum	14.375	1.64	0.625	0.188	
3CDA-16	Aluminum	16.375	1.64	0.625	0.188	
3CDA-18	Aluminum	18.375	1.64	0.625	0.188	
3CDA-20	Aluminum	20.375	1.64	0.625	0.188	
3CDA-22	Aluminum	22.375	1.64	0.625	0.188	
3CDA-24	Aluminum	24.375	1.64	0.625	0.188	
3CDA-26	Aluminum	26.375	1.64	0.625	0.188	
3CDA-28	Aluminum	28.375	1.64	0.625	0.188	
3CDA-30	Aluminum	30.375	1.64	0.625	0.188	
3CDA-32	Aluminum	32.375	1.64	0.625	0.188	
3CDA-34	Aluminum	34.375	1.64	0.625	0.188	
3CDA-36	Aluminum	36.375	1.64	0.625	0.188	
3CDS-03	Steel	3	1.64	0.625	0.188	
3CDS-04	Steel	4	1.64	0.625	0.188	
3CDS-06	Steel	6	1.64	0.625	0.188	
3CDS-08	Steel	8	1.64	0.625	0.188	
3CDS-10	Steel	10	1.64	0.625	0.188	
3CDS-12	Steel	12	1.64	0.625	0.188	
3CDS-14	Steel	14	1.64	0.625	0.188	
3CDS-16	Steel	16	1.64	0.625	0.188	
3CDS-18	Steel	18	1.64	0.625	0.188	
3CDS-20	Steel	20	1.64	0.625	0.188	
3CDS-22	Steel	22	1.64	0.625	0.188	
3CDS-24	Steel	24	1.64	0.625	0.188	
3CDS-26	Steel	26	1.64	0.625	0.188	
3CDS-28	Steel	28	1.64	0.625	0.188	
3CDS-30	Steel	30	1.64	0.625	0.188	
3CDS-32	Steel	32	1.64	0.625	0.188	
3CDS-34	Steel	34	1.64	0.625	0.188	
3CDS-36	Steel	36	1.64	0.625	0.188	
