PartNumber	Size1	Size2	MCT_InternalHeight1 (mm)	MCT_InternalHeight2 (mm)	No_Of_Rows	No_Of_Columns	MCT_FrameThickness (mm)	MCT_Frame_Depth (mm)	MCT_InternalWidth (mm)
MCT_RGS_2+2x4	2	2	60	60	2	4	10	60	120
MCT_RGS_2+4x4	2	4	60	120	2	4	10	60	120
MCT_RGS_2+6x4	2	6	60	180	2	4	10	60	120
MCT_RGS_2+8x4	2	8	60	240	2	4	10	60	120
MCT_RGS_4+4x4	4	4	120	120	2	4	10	60	120
MCT_RGS_4+6x4	4	6	120	180	2	4	10	60	120
MCT_RGS_4+8x4	4	8	120	240	2	4	10	60	120
MCT_RGS_6+6x4	6	6	180	180	2	4	10	60	120
MCT_RGS_6+8x4	6	8	180	240	2	4	10	60	120
MCT_RGS_8+8x4	8	8	240	240	2	4	10	60	120
