PartNumber	Size1	Size2	MCT_InternalHeight1 (mm)	MCT_InternalHeight2 (mm)	No_Of_Rows	No_Of_Columns	MCT_FrameThickness (mm)	MCT_InternalWidth (mm)	EndPackingHeight (mm)	MCT_Frame_depth (mm)
MCT_RGS_2+2x1	2	2	60	60	2	1	10	120	40	60
MCT_RGS_2+4x1	2	4	60	120	2	1	10	120	40	60
MCT_RGS_2+6x1	2	6	60	180	2	1	10	120	40	60
MCT_RGS_2+8x1	2	8	60	240	2	1	10	120	40	60
MCT_RGS_4+4x1	4	4	120	120	2	1	10	120	40	60
MCT_RGS_4+6x1	4	6	120	180	2	1	10	120	40	60
MCT_RGS_4+8x1	4	8	120	240	2	1	10	120	40	60
MCT_RGS_6+6x1	6	6	180	180	2	1	10	120	40	60
MCT_RGS_6+8x1	6	8	180	240	2	1	10	120	40	60
MCT_RGS_8+8x1	8	8	240	240	2	1	10	120	40	60
