PartNumber	Size1	Size2	MCT_InternalHeight1 (mm)	MCT_InternalHeight2 (mm)	MCT_FrameThickness (mm)	No_Of_Rows	No_Of_Columns	MCT_Frame_Depth (mm)	MCT_InternalWidth (mm)
MCT_RGS_2+2x2	2	2	60	60	10	2	2	60	120
MCT_RGS_2+4x2	2	4	60	120	10	2	2	60	120
MCT_RGS_2+6x2	2	6	60	180	10	2	2	60	120
MCT_RGS_2+8x2	2	8	60	240	10	2	2	60	120
MCT_RGS_4+4x2	4	4	120	120	10	2	2	60	120
MCT_RGS_4+6x2	4	6	120	180	10	2	2	60	120
MCT_RGS_4+8x2	4	8	120	240	10	2	2	60	120
MCT_RGS_6+6x2	6	6	180	180	10	2	2	60	120
MCT_RGS_6+8x2	6	8	180	240	10	2	2	60	120
MCT_RGS_8+8x2	8	8	240	240	10	2	2	60	120
