V4 Class,V4 Parent Class,V4 Attribute,V5 Class,V5 Parent Class ,V5 Attribute,Domain
180 Degree Elbow,Elbows,*,PipingNonReduceElbow,PipingElbow,*,PIP
2D Drawing Extraction Connector Graphics,Hull Steelwork 2D Drawing Extraction Graphics,*,No Mapping,,*,
2D Drawing Extraction Hidden Graphics,Hull Steelwork 2D Drawing Extraction Graphics,*,No Mapping,,*,
2D Drawing Extraction Visible Graphics,Hull Steelwork 2D Drawing Extraction Graphics,*,No Mapping,,*,
2D geometry,Physical Graphic,*,No Mapping,,*,
3 Way Valve,Valve,*,Piping3WayValve,PipingValve,*,PIP
3D Design Workset,Workset object,*,No Mapping,,*,
4 Way Valve,Valve,*,Piping4WayValve,PipingValve,*,PIP
45 Degree Elbow,Elbows,*,PipingNonReduceElbow,PipingElbow,*,PIP
90 Degree Elbow,Elbows,*,PipingNonReduceElbow,PipingElbow,*,PIP
Accessory,Piping Part,*,PipingAccessory,PipingPart,*,PIP
Adaptor,Fittings,*,PipingAdaptor,PipingFitting,*,PIP
Adaptor Function,Piping Function Part,*,PipingAdaptorFunc_Sample,PipingPartFunc,*,PIP
AEC Drawing Dummy graphics representation,Grouping Graphic,*,No Mapping,,*,
Air Cooler,Heat Exchanger,*,No Mapping,,*,
Alarm Function,Instrument Function Part,*,No Mapping,,*,
Analyse Element Handler,Generic Bag      Object,*,No Mapping,,*,
Analyzer Function,Instrument Function Part,*,No Mapping,,*,
Angle Check,Angle Valve,*,PipingAngleCheck,PipingAngleValve,*,PIP
Angle Cut Connector,Fluidic Connector,*,No Mapping,,*,
Angle Diaphragm,Angle Valve,*,PipingAngleDiaphragm,PipingAngleValve,*,PIP
Angle Globe,Angle Valve,*,PipingAngleGlobe,PipingAngleValve,*,PIP
Angle Needle,Angle Valve,*,PipingAngleNeedle,PipingAngleValve,*,PIP
Angle Shape,Structural Member,*,No Mapping,,*,
Angle Stop Check,Angle Valve,*,PipingAngleStopCheck,PipingAngleValve,*,PIP
Angle Valve,Valve,*,PipingAngleValve,PipingValve,*,PIP
Annotaion Text Style Graphics,Generic Graphic  Object,*,No Mapping,,*,
Annotation Datum,Datum Connector,*,No Mapping,,*,
Assembly Plate,Structural Planar-Type,*,No Mapping,,*,
Assembly Plate,Structural Planar-Type,*,No Mapping,,*,
Attached Part Connection,Master-Slave Connection,*,No Mapping,,*,
Attachment Connector,Conveyor Connector,*,No Mapping,,*,
Axial Compressor,Compressor,*,EquipAxialCompressor,EquipCompressor,*,EQT
Axis Graphic,Generic Graphic  Object,*,No Mapping,,*,
Ball Valve,Valve,*,PipingBallValve,PipingValve,*,PIP
Base Plate,Structural Planar-Type,*,No Mapping,,*,
Basic Query Operator,Generic Bag      Object,*,No Mapping,,*,
Beam,Structural Member-Type,*,No Mapping,,*,
Bend Segment,Pipe Segment,*,PipingBendablePipe,PipingPipe,*,PIP
Bend Segment,Pipe Segment,Bend diameter multiplier,No Mapping,,,
Bend Segment,Pipe Segment,Bend radius,No Mapping,,,
BendingLine,Stiffener Profile type,*,No Mapping,,*,
Bill of Materials Workset,Extracted Document Workset,*,No Mapping,,*,
Bite Change,Quick Rise,*,No Mapping,,*,
Blind,Miscellaneous,*,PipingBlind,PipingMiscellaneous,*,PIP
Blind flange,Flanges,*,PipingBlindFlange,PipingFlange,*,PIP
Block Valve Function,Process Control Function Part,*,PipingBlockValveFunc_Sample,PipingValveFunc,*,PIP
Blower,Compressor,*,EquipBlower,EquipAirHandler,*,EQT
Bolted Connection,Fluidic Connection,*,No Mapping,,*,
Boss,Branches,*,PipingBoss,PipingBranch,*,PIP
Boundary,Logical Part,*,No Mapping,,*,
Boundary Connection,Logical Connection,*,No Mapping,,*,
Boundary Connector,Logical Connector,*,No Mapping,,*,
Bounded Group,Generic Group    Object,*,No Mapping,,*,
Bracket Reference Limit 1,Constraint Graphic,*,No Mapping,,*,
Bracket Reference Limit 2,Constraint Graphic,*,No Mapping,,*,
Bracket Reference Limit 3,Constraint Graphic,*,No Mapping,,*,
Bracket Reference Limit 4,Constraint Graphic,*,No Mapping,,*,
Bracket Type,Hull Steelwork Plate Type,*,No Mapping,,*,
Branch Connection,Logical Connection,*,No Mapping,,*,
Branch Connector,Fluidic Connector,*,No Mapping,,*,
Branch Function,Piping Function Part,*,PipingBranchFunc,PipingPartFunc,*,PIP
