FunctionName	MinSize	MaxSize	PhysicalPart
HVACDuctFunc	1in	100in	HVACRectStDuct
HVACDuctFunc	1in	100in	HVACRectNReducElbow
HVACDuctFunc	1in	100in	HVACRectReduceElbow
HVACDuctFunc	1in	100in	HVACRectKnee
HVACDuctFunc	1in	100in	HVACRectReduceKnee
HVACDuctFunc	1in	100in	HVACRectMiteredElbow
HVACDuctFunc	1in	100in	HVACRectCollar
HVACDuctFunc	1in	100in	HVACRectCoupling
HVACDuctFunc	1in	100in	HVACRectEndPlate
HVACDuctFunc	1in	100in	HVACRectExpJoint
HVACDuctFunc	1in	100in	HVACRectOutlet
HVACDuctFunc	1in	100in	HVACRectLFlange
HVACDuctFunc	1in	100in	HVACRectIFlange
HVACDuctFunc	1in	100in	HVACRectGasket
HVACDuctFunc	1in	100in	HVACRectToRectOffset
HVACDuctFunc	1in	100in	HVACRectReduceOffset
HVACDuctFunc	1in	100in	HVACRectOgee
HVACDuctFunc	1in	100in	HVACRectAccessCvrRect
HVACDuctFunc	1in	100in	HVACRectAccessCvrRnd
HVACDuctFunc	1in	100in	HVACRectToRect
HVACDuctFunc	1in	100in	HVACRectToRnd
