Function	MinSize(in)	MaxSize(in)	PhysicalPart
HVACDuctFunc	1in	80in	HVACRndStDuct
HVACDuctFunc	1in	80in	HVACRndSmoothElbow
HVACDuctFunc	1in	80in	HVACRndMiteredElbow
HVACDuctFunc	1in	80in	HVACRndCollar
HVACDuctFunc	1in	80in	HVACRndCoupling
HVACDuctFunc	1in	80in	HVACRndEndCap
HVACDuctFunc	1in	80in	HVACRndExpJoint
HVACDuctFunc	1in	80in	HVACRndOutlet
HVACDuctFunc	1in	80in	HVACRndLFlange
HVACDuctFunc	1in	80in	HVACRndIFlange
HVACDuctFunc	1in	80in	HVACRndGasket
HVACDuctFunc	1in	80in	HVACRndNReducOffset
HVACDuctFunc	1in	80in	HVACRndOgee
HVACDuctFunc	1in	80in	HVACRndToRnd
HVACDuctFunc	1in	80in	HVACRndAccessCvrRnd
HVACDuctFunc	1in	80in	HVACRndAccessCvrRect
