FunctionName	MinSize	MaxSize	PhysicalPart
HVACDuctFunc	1in	100in	HVACFltOvlStDuct
HVACDuctFunc	1in	100in	HVACFltOvlNReducElbow
HVACDuctFunc	1in	100in	HVACFltOvlCollar
HVACDuctFunc	1in	100in	HVACFltOvlCoupling
HVACDuctFunc	1in	100in	HVACFltOvlEndPlate
HVACDuctFunc	1in	100in	HVACFltOvlLFlange
HVACDuctFunc	1in	100in	HVACFltOvlIFlange
HVACDuctFunc	1in	100in	HVACFltOvlGasket
HVACDuctFunc	1in	100in	HVACFltOvlToOvlOffset
HVACDuctFunc	1in	100in	HVACFltOvlOgee
HVACDuctFunc	1in	100in	HVACFltOvlToOvl
HVACDuctFunc	1in	100in	HVACFltOvlToRnd
HVACDuctFunc	1in	100in	HVACFltOvlToRect
