FunctionName	MinSize	MaxSize	PhysicalPart
HVACDuctFunc	100mm	8000mm	HVACFltOvlStDuct
HVACDuctFunc	100mm	8000mm	HVACFltOvlNReducElbow
HVACDuctFunc	100mm	8000mm	HVACFltOvlCollar
HVACDuctFunc	100mm	8000mm	HVACFltOvlCoupling
HVACDuctFunc	100mm	8000mm	HVACFltOvlEndPlate
HVACDuctFunc	100mm	8000mm	HVACFltOvlLFlange
HVACDuctFunc	100mm	8000mm	HVACFltOvlIFlange
HVACDuctFunc	100mm	8000mm	HVACFltOvlGasket
HVACDuctFunc	100mm	8000mm	HVACFltOvlToOvlOffset
HVACDuctFunc	100mm	8000mm	HVACFltOvlOgee
HVACDuctFunc	100mm	8000mm	HVACFltOvlToOvl
HVACDuctFunc	100mm	8000mm	HVACFltOvlToRnd
HVACDuctFunc	100mm	8000mm	HVACFltOvlToRect
