FunctionName	MinSize	MaxSize	PhysicalPart
HVACDuctFunc	100mm	8000mm	HVACRectStDuct
HVACDuctFunc	100mm	8000mm	HVACRectNReducElbow
HVACDuctFunc	100mm	8000mm	HVACRectReduceElbow
HVACDuctFunc	100mm	8000mm	HVACRectKnee
HVACDuctFunc	100mm	8000mm	HVACRectReduceKnee
HVACDuctFunc	100mm	8000mm	HVACRectMiteredElbow
HVACDuctFunc	100mm	8000mm	HVACRectCollar
HVACDuctFunc	100mm	8000mm	HVACRectCoupling
HVACDuctFunc	100mm	8000mm	HVACRectEndPlate
HVACDuctFunc	100mm	8000mm	HVACRectExpJoint
HVACDuctFunc	100mm	8000mm	HVACRectOutlet
HVACDuctFunc	100mm	8000mm	HVACRectLFlange
HVACDuctFunc	100mm	8000mm	HVACRectIFlange
HVACDuctFunc	100mm	8000mm	HVACRectGasket
HVACDuctFunc	100mm	8000mm	HVACRectToRectOffset
HVACDuctFunc	100mm	8000mm	HVACRectReduceOffset
HVACDuctFunc	100mm	8000mm	HVACRectOgee
HVACDuctFunc	100mm	8000mm	HVACRectAccessCvrRect
HVACDuctFunc	100mm	8000mm	HVACRectAccessCvrRnd
HVACDuctFunc	100mm	8000mm	HVACRectToRect
HVACDuctFunc	100mm	8000mm	HVACRectToRnd
