FunctionName	MinSize	MaxSize	PhysicalPart
HVACDuctFunc	100mm	10000mm	HVACFltOvlStDuct
HVACDuctFunc	100mm	10000mm	HVACFltOvlNReducElbow
HVACDuctFunc	100mm	10000mm	HVACFltOvlCollar
HVACDuctFunc	100mm	10000mm	HVACFltOvlCoupling
HVACDuctFunc	100mm	10000mm	HVACFltOvlEndPlate
HVACDuctFunc	100mm	10000mm	HVACFltOvlLFlange
HVACDuctFunc	100mm	10000mm	HVACFltOvlIFlange
HVACDuctFunc	100mm	10000mm	HVACFltOvlGasket
HVACDuctFunc	100mm	10000mm	HVACFltOvlToOvlOffset
HVACDuctFunc	100mm	10000mm	HVACFltOvlOgee
HVACDuctFunc	100mm	10000mm	HVACFltOvlToOvl
HVACDuctFunc	100mm	10000mm	HVACFltOvlToRnd
HVACDuctFunc	100mm	10000mm	HVACFltOvlToRect
