FunctionName	MinSize	MaxSize	PhysicalPart
HVACDuctFunc	100mm	10000mm	HVACRectStDuct
HVACDuctFunc	100mm	10000mm	HVACRectNReducElbow
HVACDuctFunc	100mm	10000mm	HVACRectReduceElbow
HVACDuctFunc	100mm	10000mm	HVACRectKnee
HVACDuctFunc	100mm	10000mm	HVACRectReduceKnee
HVACDuctFunc	100mm	10000mm	HVACRectMiteredElbow
HVACDuctFunc	100mm	10000mm	HVACRectCollar
HVACDuctFunc	100mm	10000mm	HVACRectCoupling
HVACDuctFunc	100mm	10000mm	HVACRectEndPlate
HVACDuctFunc	100mm	10000mm	HVACRectExpJoint
HVACDuctFunc	100mm	10000mm	HVACRectOutlet
HVACDuctFunc	100mm	10000mm	HVACRectLFlange
HVACDuctFunc	100mm	10000mm	HVACRectIFlange
HVACDuctFunc	100mm	10000mm	HVACRectGasket
HVACDuctFunc	100mm	10000mm	HVACRectToRectOffset
HVACDuctFunc	100mm	10000mm	HVACRectReduceOffset
HVACDuctFunc	100mm	10000mm	HVACRectOgee
HVACDuctFunc	100mm	10000mm	HVACRectAccessCvrRect
HVACDuctFunc	100mm	10000mm	HVACRectAccessCvrRnd
HVACDuctFunc	100mm	10000mm	HVACRectToRect
HVACDuctFunc	100mm	10000mm	HVACRectToRnd
