Function	MinSize	MaxSize	PhysicalPart
HVACDuctFunc	71mm	2000mm	HVACRndStDuct
HVACDuctFunc	71mm	2000mm	HVACRndSmoothElbow
HVACDuctFunc	71mm	2000mm	HVACRndMiteredElbow
HVACDuctFunc	71mm	2000mm	HVACRndCollar
HVACDuctFunc	71mm	2000mm	HVACRndCoupling
HVACDuctFunc	71mm	2000mm	HVACRndEndCap
HVACDuctFunc	71mm	2000mm	HVACRndExpJoint
HVACDuctFunc	71mm	2000mm	HVACRndOutlet
HVACDuctFunc	71mm	2000mm	HVACRndLFlange
HVACDuctFunc	71mm	2000mm	HVACRndIFlange
HVACDuctFunc	71mm	2000mm	HVACRndGasket
HVACDuctFunc	71mm	2000mm	HVACRndNReducOffset
HVACDuctFunc	71mm	2000mm	HVACRndOgee
HVACDuctFunc	71mm	2000mm	HVACRndToRnd
HVACDuctFunc	71mm	2000mm	HVACRndAccessCvrRnd
HVACDuctFunc	71mm	2000mm	HVACRndAccessCvrRect
