AttributeName1	Standard1	AttributeValue1	AttributeName2	Standard2	AttributeValue2
EndStyle	ASTL	WELD SET ON	EndStyle	ASTL	BRANCH CONNECTION
EndStyle	ASTL	WELD SET IN	EndStyle	ASTL	BRANCH CONNECTION
EndStyle	AIRN	RAISED FACE	EndStyle	AIRN	RAISED FACE
EndStyle	ASTL	BUTT WELD	EndStyle	ASTL	BUTT WELD
EndStyle	ASTL	BUTT WELD	EndStyle	ASTL	SLIP ON
EndStyle	ASTL	PLAIN END	EndStyle	ASTL	SOCKET WELD
EndStyle	ASTL	PLAIN END	EndStyle	ASTL	SLIP ON
EndStyle	ASTL	PLAIN END	EndStyle	ASTL	BRANCH CONNECTION
EndStyle	ASTL	LAP JOINT	EndStyle	ASTL	LAP JOINT
EndStyle	AIRN	THREADED MALE	EndStyle	AIRN	THREADED
EndStyle	ASTL	RING JOINT	EndStyle	ASTL	RING JOINT
EndStyle	ASTL	THREADED MALE	EndStyle	ASTL	THREADED
EndStyle	ASTL	RAISED FACE	EndStyle	ASTL	RAISED FACE
Rating	ASTL	=	Rating	ASTL	=
Rating	ASTL	300	Rating	AIRN	250
Rating	ASTL	150	Rating	AIRN	125
Rating	AIRN	=	Rating	AIRN	=
Schedule	AIRN	=	Schedule	AIRN	=
Schedule	ASTL	=	Schedule	ASTL	=
NominalSize	ASTL	=	NominalSize	ASTL	=
NominalSize	AIRN	=	NominalSize	AIRN	=
WallThickness	ASTL	=	WallThickness	ASTL	=
