FunctionName	MinNominalSize	MaxNominalSize	PhysicalName
PipingPipeFunc	1/2in	24in	PipingBendablePipe
PipingPipeFunc	1/2in	24in	PipingNonReduceElbow
PipingPipeFunc	1/2in	24in	PipingNonReduceFlange
PipingPipeFunc	1/2in	24in	PipingGasket
PipingPipeFunc	1/2in	1 1/2in	PipingUnion
PipingPipeFunc	1/2in	1 1/2in	PipingCoupling
PipingPipeFunc	1/2in	1 1/2in	PipingHalfCoupling
PipingPipeFunc	1/2in	1 1/2in	PipingNipple
PipingPipeFunc	1/2in	6in	PipingStubEnd
PipingPipeFunc	6in	24in	PipingExpansion
PipingPipeFunc	2in	24in	MldWeld
