FunctionName	MinNominalSize	MaxNominalSize	PhysicalName
PipingBlockValveFunc_Sample	1/2in	24in	PipingGateValve
PipingBlockValveFunc_Sample	1/2in	24in	PipingBallValve
PipingBlockValveFunc_Sample	6in	24in	PipingButterflyValve
PipingContrlValveFunc_Sample	2in	24in	PipingControlValve
PipingContrlValveFunc_Sample	2in	24in	PipingGateValve
PipingContrlValveFunc_Sample	2in	24in	PipingGlobeValve
PipingCheckValveFunc_Sample	1/2in	24in	PipingCheckValve 
PipingIsolatValveFunc_Sample	1/2in	24in	PipingGateValve
PipingIsolatValveFunc_Sample	1/2in	24in	PipingBallValve
PipingThrotValveFunc_Sample	1/2in	6in	PipingGlobeValve
