NominalSize	Schedule	BendDiameter(in)	OutsideDiameter(in)	WallThickness(in)
1/8in		0.125	0.4050	0.1250
1/4in		0.25	0.5400	0.2500
3/8in		0.375	0.6750	0.3750
1/2in		0.5	0.8400	0.5000
3/4in		0.75	1.0500	0.7500
1in		1	1.3150	1.0000
1 1/4in		1.25	1.6600	1.2500
1 1/2in		1.5	1.9000	1.5000
2in		2	2.3750	2.0000
2 1/2in		2.5	2.8750	2.5000
3in		3	3.5000	3.0000
3 1/2in		3.5	4.0000	3.5000
4in		4	4.5000	4.0000
5in		5	5.5630	5.0000
6in		6	6.6250	6.0000
8in		8	8.6250	8.0000
10in		10	10.7500	10.0000
12in		12	12.7500	12.0000
14in		14	14.0000	14.0000
16in		16	16.0000	16.0000
18in		18	18.0000	18.0000
20in		20	20.0000	20.0000
22in		22	22.0000	22.0000
24in		24	24.0000	24.0000
26in		26	26.0000	26.0000
28in		28	28.0000	28.0000
30in		30	30.0000	30.0000
32in		32	32.0000	32.0000
34in		34	34.0000	34.0000
36in		36	36.0000	36.0000
38in		38	38.0000	38.0000
40in		40	40.0000	40.0000
42in		42	42.0000	42.0000
1/8in	SCHEDULE 40	0.125	0.4050	0.0680
1/4in	SCHEDULE 40	0.25	0.5400	0.0880
3/8in	SCHEDULE 40	0.375	0.6750	0.0910
1/2in	SCHEDULE 40	0.5	0.8400	0.1090
3/4in	SCHEDULE 40	0.75	1.0500	0.1130
1in	SCHEDULE 40	1	1.3150	0.1330
1 1/4in	SCHEDULE 40	1.25	1.6600	0.1400
1 1/2in	SCHEDULE 40	1.5	1.9000	0.1450
2in	SCHEDULE 40	2	2.3750	0.1540
2 1/2in	SCHEDULE 40	2.5	2.8750	0.2030
3in	SCHEDULE 40	3	3.5000	0.2160
3 1/2in	SCHEDULE 40	3.5	4.0000	0.2260
4in	SCHEDULE 40	4	4.5000	0.2370
5in	SCHEDULE 40	5	5.5630	0.2580
6in	SCHEDULE 40	6	6.6250	0.2800
8in	SCHEDULE 40	8	8.6250	0.3220
10in	SCHEDULE 40	10	10.7500	0.3650
12in	SCHEDULE 40	12	12.7500	0.4060
14in	SCHEDULE 40	14	14.0000	0.4380
16in	SCHEDULE 40	16	16.0000	0.5000
18in	SCHEDULE 40	18	18.0000	0.5620
20in	SCHEDULE 40	20	20.0000	0.5940
24in	SCHEDULE 40	24	24.0000	0.6880
32in	SCHEDULE 40	32	32.0000	0.6880
34in	SCHEDULE 40	34	34.0000	0.6880
36in	SCHEDULE 40	36	36.0000	0.7500
1/8in	EXTRA STRONG	0.125	0.4050	0.0950
1/4in	EXTRA STRONG	0.25	0.5400	0.1190
3/8in	EXTRA STRONG	0.375	0.6750	0.1260
1/2in	EXTRA STRONG	0.5	0.8400	0.1470
3/4in	EXTRA STRONG	0.75	1.0500	0.1540
1in	EXTRA STRONG	1	1.3150	0.1790
1 1/4in	EXTRA STRONG	1.25	1.6600	0.1910
1 1/2in	EXTRA STRONG	1.5	1.9000	0.2000
2in	EXTRA STRONG	2	2.3750	0.2180
2 1/2in	EXTRA STRONG	2.5	2.8750	0.2760
3in	EXTRA STRONG	3	3.5000	0.3000
3 1/2in	EXTRA STRONG	3.5	4.0000	0.3180
4in	EXTRA STRONG	4	4.5000	0.3370
5in	EXTRA STRONG	5	5.5630	0.3750
6in	EXTRA STRONG	6	6.6250	0.4320
8in	EXTRA STRONG	8	8.6250	0.5000
10in	EXTRA STRONG	10	10.7500	0.5000
12in	EXTRA STRONG	12	12.7500	0.5000
14in	EXTRA STRONG	14	14.0000	0.5000
16in	EXTRA STRONG	16	16.0000	0.5000
18in	EXTRA STRONG	18	18.0000	0.5000
20in	EXTRA STRONG	20	20.0000	0.5000
22in	EXTRA STRONG	22	22.0000	0.5000
24in	EXTRA STRONG	24	24.0000	0.5000
26in	EXTRA STRONG	26	26.0000	0.5000
28in	EXTRA STRONG	28	28.0000	0.5000
30in	EXTRA STRONG	30	30.0000	0.5000
32in	EXTRA STRONG	32	32.0000	0.5000
34in	EXTRA STRONG	34	34.0000	0.5000
36in	EXTRA STRONG	36	36.0000	0.5000
38in	EXTRA STRONG	38	38.0000	0.5000
40in	EXTRA STRONG	40	40.0000	0.5000
42in	EXTRA STRONG	42	42.0000	0.5000
44in	EXTRA STRONG	44	44.0000	0.5000
46in	EXTRA STRONG	46	46.0000	0.5000
48in	EXTRA STRONG	48	48.0000	0.5000
1/8in	SCHEDULE 80	0.125	0.4050	0.0950
1/4in	SCHEDULE 80	0.25	0.5400	0.1190
3/8in	SCHEDULE 80	0.375	0.6750	0.1260
1/2in	SCHEDULE 80	0.5	0.8400	0.1470
3/4in	SCHEDULE 80	0.75	1.0500	0.1540
1in	SCHEDULE 80	1	1.3150	0.1790
1 1/4in	SCHEDULE 80	1.25	1.6600	0.1910
1 1/2in	SCHEDULE 80	1.5	1.9000	0.2000
2in	SCHEDULE 80	2	2.3750	0.2180
2 1/2in	SCHEDULE 80	2.5	2.8750	0.2760
3in	SCHEDULE 80	3	3.5000	0.3000
3 1/2in	SCHEDULE 80	3.5	4.0000	0.3180
4in	SCHEDULE 80	4	4.5000	0.3370
5in	SCHEDULE 80	5	5.5630	0.3750
6in	SCHEDULE 80	6	6.6250	0.4320
8in	SCHEDULE 80	8	8.6250	0.5000
10in	SCHEDULE 80	10	10.7500	0.5940
12in	SCHEDULE 80	12	12.7500	0.6880
14in	SCHEDULE 80	14	14.0000	0.7500
16in	SCHEDULE 80	16	16.0000	0.8440
18in	SCHEDULE 80	18	18.0000	0.9380
20in	SCHEDULE 80	20	20.0000	1.0310
22in	SCHEDULE 80	22	22.0000	1.1250
24in	SCHEDULE 80	24	24.0000	1.2190
1/2in	SCHEDULE 160	0.5	0.8400	0.1880
3/4in	SCHEDULE 160	0.75	1.0500	0.2190
1in	SCHEDULE 160	1	1.3150	0.2500
1 1/4in	SCHEDULE 160	1.25	1.6600	0.2500
1 1/2in	SCHEDULE 160	1.5	1.9000	0.2810
2in	SCHEDULE 160	2	2.3750	0.3440
2 1/2in	SCHEDULE 160	2.5	2.8750	0.3750
3in	SCHEDULE 160	3	3.5000	0.4380
4in	SCHEDULE 160	4	4.5000	0.5310
5in	SCHEDULE 160	5	5.5630	0.6250
6in	SCHEDULE 160	6	6.6250	0.7190
8in	SCHEDULE 160	8	8.6250	0.9060
10in	SCHEDULE 160	10	10.7500	1.1250
12in	SCHEDULE 160	12	12.7500	1.3120
14in	SCHEDULE 160	14	14.0000	1.4060
16in	SCHEDULE 160	16	16.0000	1.5940
