V4 Table Type,V4 Table Name,V5 Folder Name
Nominal OD,ASTL-Nominal_OD,ASTL
Schedule,ASTL-Schedule,ASTL
Wall Thickness,ASTL-Wall_Thickness,ASTL
End Style,ASTL-End_Style,ASTL
Rating,ASTL-Rating,ASTL
Material Category,ASTL-Material_Category,ASTL
Part Name - Pipe,ASTL-Part_Name_-_Pipe,ASTL
Part Name - Branches,ASTL-Part_Name_-_Branches,ASTL
Part Name - Elbows,ASTL-Part_Name_-_Elbows,ASTL
Part Name - Fittings,ASTL-Part_Name_-_Fittings    ,ASTL
Part Name - Flanges,ASTL-Part_Name_-_Flanges ,ASTL
Part Name - Gasket,ASTL-Part_Name_-_Gasket   ,ASTL
Part Name - Miscellaneous,ASTL-Part_Name_-_Miscellaneous    ,ASTL
Part Name - Accessory,ASTL-Part_Name_-_Accessory  ,ASTL
Part Name - In-line Instrument,ASTL-Part_Name_-_In-line_Instrument    ,ASTL
Part Name - Valve Operator,ASTL-Part_Name_-_Valve_Operator  ,ASTL
Part Name - Valve,ASTL-Part_Name_-_Valve,ASTL
Material Code - Pipe,ASTL-Material_Code_-_Pipe    ,ASTL
Material Code - Branches,ASTL-Material_Code_-_Branches ,ASTL
Material Code - Elbows,ASTL-Material_Code_-_Elbows,ASTL
Material Code - Fittings,ASTL-Material_Code_-_Fittings ,ASTL
Material Code - Flanges,ASTL-Material_Code_-_Flanges   ,ASTL
Material Code - Gasket,ASTL-Material_Code_-_Gasket,ASTL
Material Code - Miscellaneous,ASTL-Material_Code_-_Miscellaneous ,ASTL
Material Code - Accessory,ASTL-Material_Code_-_Accessory    ,ASTL
Material Code - In-line Instrument,ASTL-Material_Code_-_In-line_Instrument ,ASTL
Material Code - Valve Operator,ASTL-Material_Code_-_Valve_Operator    ,ASTL
Material Code - Valve,ASTL-Material_Code_-_Valve  ,ASTL
Pipe Dimension,ASTL-Pipe_Dimension ,ASTL
3D Part Function - Branches,FUNCTION_TABLE_BRANCHES_CS150R  ,CS150R
3D Part Function - Branches,FUNCTION_TABLE_BRANCHES_CS300R  ,CS300R
3D Part Function - Branches,FUNCTION_TABLE_BRANCHES_CS600R  ,CS600R
3D Part Function - Branches,FUNCTION_TABLE_BRANCHES_SS150R  ,SS150R
3D Part Function - Elbows,FUNCTION_TABLE_ELBOWS_CS150R ,CS150R
3D Part Function - Elbows,FUNCTION_TABLE_ELBOWS_CS300R ,CS300R
3D Part Function - Elbows,FUNCTION_TABLE_ELBOWS_CS600R ,CS600R
3D Part Function - Elbows,FUNCTION_TABLE_ELBOWS_SS150R ,SS150R
3D Part Function - Fittings,FUNCTION_TABLE_FITTINGS_CS150R  ,CS150R
3D Part Function - Fittings,FUNCTION_TABLE_FITTINGS_CS300R  ,CS300R
3D Part Function - Fittings,FUNCTION_TABLE_FITTINGS_CS600R  ,CS600R
3D Part Function - Fittings,FUNCTION_TABLE_FITTINGS_SS150R  ,SS150R
3D Part Function - Flanges,FUNCTION_TABLE_FLANGES_CS150R    ,CS150R
3D Part Function - Flanges,FUNCTION_TABLE_FLANGES_CS300R    ,CS300R
3D Part Function - Flanges,FUNCTION_TABLE_FLANGES_CS600R    ,CS600R
3D Part Function - Flanges,FUNCTION_TABLE_FLANGES_SS150R    ,SS150R
3D Part Function - Gasket,FUNCTION_TABLE_GASKETS_CS150R,CS150R
3D Part Function - Gasket,FUNCTION_TABLE_GASKETS_CS300R,CS300R
3D Part Function - Gasket,FUNCTION_TABLE_GASKETS_CS600R,CS600R
