AttributeName1	Standard1	AttributeValue1	AttributeName2	Standard2	AttributeValue2
EndStyle	ASTL	WELD SET ON	EndStyle	ASTL	WELD SET ON
EndStyle	ASTL	WELD SET ON	EndStyle	ASTL	BRANCH CONNECTION
EndStyle	IRON	RAISED FACE	EndStyle	IRON	RAISED FACE
EndStyle	IRON	RAISED FACE	EndStyle	IRON	RAISED FACE
EndStyle	ASTL	BUTT WELD	EndStyle	ASTL	BUTT WELD
EndStyle	ASTL	BUTT WELD	EndStyle	ASTL	SLIP ON W
EndStyle	ASTL	PLAIN END	EndStyle	ASTL	SOCKET WELD
EndStyle	ASTL	PLAIN END	EndStyle	ASTL	SLIP ON W
EndStyle	ASTL	PLAIN END	EndStyle	ASTL	BRANCH CONNECTION
EndStyle	ASTL	LAP JOINT	EndStyle	ASTL	LAP JOINT
EndStyle	IRON	THREADED MALE	EndStyle	IRON	THREADED
EndStyle	ASTL	RING JOIN	EndStyle	ASTL	RING JOIN
EndStyle	ASTL	THREADED MALE	EndStyle	ASTL	THREADED
EndStyle	ASTL	RAISED FACE	EndStyle	ASTL	RAISED FACE
EndStyle	IRON	RAISED FACE	EndStyle	IRON	RAISED FACE
EndStyle	ASTL	BUTT WELD	EndStyle	ASTL	WELD NONE
EndStyle	ASTL	BUTT WELD	EndStyle	ASTL	WELD LINEAR
Rating	ASTL	=	Rating	ASTL	=
Rating	ASTL	300	Rating	IRON	250
Rating	ASTL	150	Rating	IRON	125
Rating	IRON	=	Rating	IRON	=
Schedule	IRON	=	Schedule	IRON	=
Schedule	ASTL	=	Schedule	ASTL	=
NominalSize	ASTL	=	NominalSize	ASTL	=
NominalSize	IRON	=	NominalSize	IRON	=
Wallthickness	ASTL	=	Wallthickness	ASTL	=
