FunctionName	PhysicalPart
PipingPipeFunc	PipingBendablePipe
PipingPipeFunc	PipingStraightPipe
PipingPipeFunc	PipingNonReduceFlange
PipingPipeFunc	PipingReducingFlange
PipingPipeFunc	PipingUnion
PipingPipeFunc	PipingCoupling
PipingPipeFunc	PipingHalfCoupling
PipingPipeFunc	PipingNipple
PipingPipeFunc	PipingStubEnd
PipingPipeFunc	PipingExpansion
PipingPipeFunc	PipingGasket
PipingPipeFunc	PipingSleeve
PipingPipeFunc	PipingNonReduceElbow
PipingPipeFunc	MldInLineWeld
PipingAdaptorFunc_Sample	PipingAdaptor
PipingBlockValveFunc_Sample	PipingBallValve
PipingBlockValveFunc_Sample	PipingButterflyValve
PipingBlockValveFunc_Sample	PipingGateValve
PipingBlockValveFunc_Sample	PipingPlugValve
PipingBranchFunc	PipingBoss
PipingBranchFunc	MldBranchWeld
PipingBranchFunc	PipingCross
PipingBranchFunc	PipingElbowOlet
PipingBranchFunc	PipingHalfCoupling
PipingBranchFunc	PipingLateral
PipingBranchFunc	PipingLateralOlet
PipingBranchFunc	PipingNippleOlet
PipingBranchFunc	PipingOlet
PipingBranchFunc	PipingReducingCross
PipingBranchFunc	PipingReducingLateral
PipingBranchFunc	PipingReducingTee
PipingBranchFunc	PipingTee
PipingBranchFunc	PipingWye
Branch_Connection	PipingBoss
Branch_Connection	MldBranchWeld
Branch_Connection	PipingCross
Branch_Connection	PipingElbowOlet
Branch_Connection	PipingHalfCoupling
Branch_Connection	PipingLateral
Branch_Connection	PipingLateralOlet
Branch_Connection	PipingNippleOlet
Branch_Connection	PipingOlet
Branch_Connection	PipingReducingCross
Branch_Connection	PipingReducingLateral
Branch_Connection	PipingReducingTee
Branch_Connection	PipingTee
Branch_Connection	PipingWye
PipingCheckValveFunc_Sample	PipingAngleCheck
PipingCheckValveFunc_Sample	PipingCheckValve
PipingContrlValveFunc_Sample	PipingControlValve
PipingContrlValveFunc_Sample	PipingGateValve
PipingContrlValveFunc_Sample	PipingGlobeValve
PipingExpanderFunc_Sample	PipingExpansion
PipingInlineInstrFunc	PipingInLineInstrt
PipingInlineInstrFunc	PipingOrificePlate
PipingIsolatValveFunc_Sample	PipingButterflyValve
PipingIsolatValveFunc_Sample	PipingGateValve
PipingIsolatValveFunc_Sample	PipingPlugValve
PipingReducerFunc	PipingCncntricReducer
PipingReducerFunc	PipingEcentricReducer
PipingReliefValveFunc_Sample	PipingSafetyValve
PipingSafetyValveFunc_Sample	PipingSafetyValve
PipingSwitchValveFunc_Sample	Piping3WayValve
PipingSwitchValveFunc_Sample	Piping4WayValve
PipingTerminatorFunc_Sample	PipingBlindFlange
PipingTerminatorFunc_Sample	PipingCap
PipingTerminatorFunc_Sample	PipingPlug
PipingThrotValveFunc_Sample	PipingAngleDiaphragm
PipingThrotValveFunc_Sample	PipingAngleGlobe
PipingThrotValveFunc_Sample	PipingAngleNeedle
PipingThrotValveFunc_Sample	PipingButterflyValve
PipingThrotValveFunc_Sample	PipingDiaphragmValve
PipingThrotValveFunc_Sample	PipingGlobeValve
PipingThrotValveFunc_Sample	PipingNeedleValve
PipingValveOperFunc_Sample	PipingDiaphrmActuator
PipingValveOperFunc_Sample	PipingManualActuator
PipingValveOperFunc_Sample	PipingMotorActuator
PipingValveOperFunc_Sample	PipingPistonActuator

