Type	AttributeName	ISOGenAttributeName
Pipeline	Insulation  specification	INSULATION-SPEC
Pipeline	PaintingSpec	PAINTING-SPEC
Pipeline	Pipe specification	PIPING-SPEC
Pipeline	TracingOn	TRACING-ON
Pipeline	Heat tracing	TRACING-SPEC
Pipeline	Name	NAME
Pipeline	PlantArea	PLANT-AREA
Pipeline	Design pressure	PIPELINE-TEMP
Pipeline	FluidDensity	FLUID-DENSITY
Component	USER-DEFINED	DETAIL-SKETCH-IDENTIFIER
Component	USER-DEFINED	SPECIAL-STATUS
Component	USER-DEFINED	SPOOL-IDENTIFIER
Component	PartCode	NAME
Component	PartCode	TAG
Component	Pipe specification	PIPING-SPEC
Component	USER-DEFINED	UNIQUE-COMPONENT-IDENTIFIER
Component	USER-DEFINED	SUPPORT-WELD-PREFIX-ERECTION
Component	USER-DEFINED	SUPPORT-WELD-PREFIX-FABRICATION
Component	USER-DEFINED	SUPPORT-WELD-PREFIX-OFFSHORE
Component	USER-DEFINED	WELD-PREFIX-ERECTION
Component	USER-DEFINED	WELD-PREFIX-FARICATION
Component	USER-DEFINED	WELD-PREFIX-GENERAL
Component	USER-DEFINED	WELD-PREFIX-OFFSHORE
Component	USER-DEFINED	WELD-REMARK-NUMBER
Component	USER-DEFINED	REPEAT-WELD-IDENTIFIER
Component	USER-DEFINED	WELD-SPEC
Component	USER-DEFINED	WELD-ATTRIBUTE1
Component	USER-DEFINED	WELD-ATTRIBUTE2
Component	USER-DEFINED	WELD-ATTRIBUTE3
Component	USER-DEFINED	WELD-ATTRIBUTE4
Component	USER-DEFINED	WELD-ATTRIBUTE5
Component	USER-DEFINED	WELD-ATTRIBUTE6
Component	USER-DEFINED	WELD-ATTRIBUTE7
Component	USER-DEFINED	WELD-ATTRIBUTE8
Component	USER-DEFINED	WELD-ATTRIBUTE9
Component	USER-DEFINED	WELD-ATTRIBUTE10
Component	MaterialCategory	DESCRIPTION
Component	PartCode	ITEM-CODE
Component	WeightWet	WEIGHT
Component	USER-DEFINED	CATEGORY
Component	USER-DEFINED	CONNECTION-REFERENCE
Component	USER-DEFINED	MISC-SPEC1
Component	USER-DEFINED	MISC-SPEC2
Component	USER-DEFINED	MISC-SPEC3
Component	USER-DEFINED	MISC-SPEC4
Component	USER-DEFINED	MISC-SPEC5
Component	USER-DEFINED	REPEAT-PART-NUMBER
Component	USER-DEFINED	END-CONNECTION
Component	USER-DEFINED	END-POSITION
Component	USER-DEFINED	TAP-CONNECTION
Component	USER-DEFINED	CONTINUATION
Component	USER-DEFINED	INSULATION-ON
Component	USER-DEFINED	ADDITIONAL-ITEM
Component	USER-DEFINED	COMPONENT-REMARK-NUMBER
Component	USER-DEFINED	DOMAIN-TYPE
Component	PartCode	COMPONENT-ATTRIBUTE1
Component	PartName	COMPONENT-ATTRIBUTE2
Component	SymbolName	COMPONENT-ATTRIBUTE3
Component	USER-DEFINED	COMPONENT-ATTRIBUTE4
Component	USER-DEFINED	COMPONENT-ATTRIBUTE5
Component	USER-DEFINED	COMPONENT-ATTRIBUTE6
Component	USER-DEFINED	COMPONENT-ATTRIBUTE7
Component	USER-DEFINED	COMPONENT-ATTRIBUTE8
Component	USER-DEFINED	COMPONENT-ATTRIBUTE9
Component	USER-DEFINED	COMPONENT-ATTRIBUTE10
Component	USER-DEFINED	SPOOL-ATTRIBUTE1
Component	USER-DEFINED	SPOOL-ATTRIBUTE2
Component	USER-DEFINED	SPOOL-ATTRIBUTE3
Component	USER-DEFINED	SPOOL-ATTRIBUTE4
Component	USER-DEFINED	SPOOL-ATTRIBUTE5
Component	USER-DEFINED	SPOOL-ATTRIBUTE6
Component	USER-DEFINED	SPOOL-ATTRIBUTE7
Component	USER-DEFINED	SPOOL-ATTRIBUTE8
Component	USER-DEFINED	SPOOL-ATTRIBUTE9
Component	USER-DEFINED	SPOOL-ATTRIBUTE10
DESCRIPTION	PartName	PARTNAME
DESCRIPTION	Standard	STANDARD
DESCRIPTION	Rating	RATING	
DESCRIPTION	MaterialCategory	MATERIAL
ATTR-CATEGORY01	OutsideDiameter	OUTSIDE-DIAMETER
ATTR-CATEGORY02	WallThickness	WALL-THICKNESS
ATTR-CATEGORY03	Rating	RATING
ATTR-CATEGORY04	BendRadius	BENDRADIUS
ATTR-CATEGORY05	CutAngle	ANGLE
ATTR-CATEGORY06	Schedule	SCHEDULE
ATTR-CATEGORY07 USER-DEFINED	USER-DEFINED
ATTR-CATEGORY08 USER-DEFINED	USER-DEFINED
ATTR-CATEGORY09 USER-DEFINED	USER-DEFINED
ATTR-CATEGORY10 USER-DEFINED	USER-DEFINED
ATTR-CATEGORY11 USER-DEFINED	USER-DEFINED
ATTR-CATEGORY12 USER-DEFINED	USER-DEFINED
ATTR-CATEGORY13 USER-DEFINED	USER-DEFINED
ATTR-CATEGORY14 USER-DEFINED	USER-DEFINED
ATTR-CATEGORY15 USER-DEFINED	USER-DEFINED
ATTR-CATEGORY16 USER-DEFINED	USER-DEFINED
ATTR-CATEGORY17 USER-DEFINED	USER-DEFINED
ATTR-CATEGORY18 USER-DEFINED	USER-DEFINED
ATTR-CATEGORY19 USER-DEFINED	USER-DEFINED
ATTR-CATEGORY20 USER-DEFINED	USER-DEFINED


