Piping-Symbol	Iso-Symbol	Iso-Component	Comments
USER-DEFINED	BE	ANGLE_BEND	OK
USER-DEFINED	L@	ANGLE_BEND	OK
MITRE_BEND	MI	ANGLE_BEND	OK
USER-DEFINED	PB	ANGLE_BEND	OK
USER-DEFINED	PB+D	ANGLE_BEND	OK
PIPE_BEND	PBBW	ANGLE_BEND	OK
USER-DEFINED	BU	RETURN_BEND	NOT SUPPORTED
USER-DEFINED	BU+D	RETURN_BEND	NOT SUPPORTED
USER-DEFINED	MTBW	FABRICATED_BEND	OK
USER-DEFINED	T@BW	FABRICATED_BEND	OK
USER-DEFINED	TB+D	FABRICATED_BEND	OK
MITRE_BEND_PE	MTPL	FABRICATED_BEND	OK	
USER-DEFINED	T@PL	FABRICATED_BEND	OK
USER-DEFINED	TB	FABRICATED_BEND	OK
USER-DEFINED	BTFL	FLANGED_BEND	OK	
USER-DEFINED	MTFL	FLANGED_BEND	OK
USER-DEFINED	T@FL	FLANGED_BEND	OK
F_CAP_WM	KA	CAP	OK
USER-DEFINED	CLMP	CLAMP	OK	
CL_VI_GROOVED	CLVT	CLAMP	OK	
USER-DEFINED	LNEX	EXPANDED_CONNECTOR	NOT SUPPORTED
USER-DEFINED	LCEX	EXPANDED_CONNECTOR	NOT SUPPORTED
USER-DEFINED	LREX	EXPANDED_CONNECTOR	NOT SUPPORTED
USER-DEFINED	MPEX	EXPANDED_CONNECTOR	NOT SUPPORTED
USER-DEFINED	LNBW	WELDED_CONNECTOR	NOT SUPPORTED
USER-DEFINED	LCBW	WELDED_CONNECTOR	NOT SUPPORTED
USER-DEFINED	LRBW	WELDED_CONNECTOR	NOT SUPPORTED
USER-DEFINED	MPBW	WELDED_CONNECTOR	NOT SUPPORTED
USER-DEFINED	COCP	COUPLING	OK
USER-DEFINED	COSC	COUPLING	OK
USER-DEFINED	COSW	COUPLING	OK
USER-DEFINED	NBSC	COUPLING	OK
USER-DEFINED	NRSC	COUPLING	OK	
CO_PF	CO	COUPLING	OK	
B_CROSS	CR	CROSS	OK
USER-DEFINED	CY	CROSS	OK
USER-DEFINED	CRSO	CROSS-SET-ON	NOT SUPPORTED
USER-DEFINED	CRRF	CROSS-SET-ON	NOT SUPPORTED
USER-DEFINED	CYSO	CROSS-SET-ON	NOT SUPPORTED
USER-DEFINED	CSSO	CROSS-SET-ON	NOT SUPPORTED
USER-DEFINED	CSRF	CROSS-SET-ON	NOT SUPPORTED
USER-DEFINED	CRSO	CROSS-STUB	NOT SUPPORTED
USER-DEFINED	CRRF	CROSS-STUB	NOT SUPPORTED
USER-DEFINED	CYSO	CROSS-STUB	NOT SUPPORTED
USER-DEFINED	CSSO	CROSS-STUB	NOT SUPPORTED
USER-DEFINED	CSRF	CROSS-STUB	NOT SUPPORTED
USER-DEFINED	CEBW	ELBOLET	OK
USER-DEFINED	CESC	ELBOLET	OK
USER-DEFINED	CESW	ELBOLET	OK
EL_90_WM-BWLR	EL	ANGLE_ELBOW	OK
EL_90_WM-BWSR	EL	ANGLE_ELBOW	OK
EL_45_WM-BWLR	EL	ANGLE_ELBOW	OK
EL_45_WM-BWSR	EL	ANGLE_ELBOW	OK
USER-DEFINED	EBSC	ANGLE_ELBOW	OK
USER-DEFINED	EUBW	RETURN_ELBOW	NOT SUPPORTED
USER-DEFINED	EUPL	RETURN_ELBOW	NOT SUPPORTED
USER-DEFINED	EUSC	RETURN_ELBOW	NOT SUPPORTED
USER-DEFINED	EUSW	RETURN_ELBOW	NOT SUPPORTED
USER-DEFINED	EUCP	RETURN_ELBOW	NOT SUPPORTED
USER-DEFINED	EUMP	RETURN_ELBOW	NOT SUPPORTED
USER-DEFINED	EULN	RETURN_ELBOW	NOT SUPPORTED
USER-DEFINED	EULC	RETURN_ELBOW	NOT SUPPORTED
USER-DEFINED	EULR	RETURN_ELBOW	NOT SUPPORTED
EL_45_90_RD_AN	ER	REDUCING_ANGLE_ELBOW	OK
USER-DEFINED	ET	FABRICATED_ELBOW	NOT SUPPORTED
EL_45-90_IE_CP	ETCP	ELBOW_TEED	OK
EL_45-90_IE_SC	ETSC	ELBOW_TEED	OK
EL_45-90_IE_SW	ETSW	ELBOW_TEED	OK
USER-DEFINED	ETLN	ELBOW_TEED	OK
USER-DEFINED	ETLR	ELBOW_TEED	OK
USER-DEFINED	ETLC	ELBOW_TEED	OK
USER-DEFINED	ETMP	ELBOW_TEED	OK
USER-DEFINED	ETPL	ELBOW_TEED	OK
USER-DEFINED	FI	FILTER	NOT SUPPORTED
USER-DEFINED	FA	FILTER-ANGLE	NOT SUPPORTED
USER-DEFINED	FO	FILTER-OFFSET	NOT SUPPORTED
USER-DEFINED	FR	FILTER-RETURN	NOT SUPPORTED
USER-DEFINED	FLFL	FLANGE	OK
FL_LOOSE_BACKING	FLLB	FLANGE	OK
FL_SCREWED	FLSC	FLANGE	OK
FL_SLIP_ON	FLSO	FLANGE	OK
FL_SOCKET_WELD	FLSW	FLANGE	OK
FL_WN-RFBW	FLWN	FLANGE	OK
FL_WN-RJBW	FLWN	FLANGE	OK
FL_GL-FE	FL	FLANGE	OK
USER-DEFINED	FLSJ	FLANGE	OK
USER-DEFINED	FOSO	FLANGE	OK
USER-DEFINED	FOWN	FLANGE	OK
USER-DEFINED	FBSE	FLANGE	OK
FL_BLIND	FLBL	FLANGE-BLIND	OK
USER-DEFINED	FLRC	FLANGE-REDUCING-CONCENTRIC	NOT SUPPORTED
USER-DEFINED	FLRE	FLANGE-REDUCING-ECCENTRIC	NOT SUPPORTED
G_GASKET-RF	GASKET	GASKET	OK
G_GASKET-RJ	GASKET	GASKET	OK
USER-DEFINED	CV	INSTRUMENT	NOT SUPPORTED
USER-DEFINED	HV	INSTRUMENT	NOT SUPPORTED
VALVE_GR_CNTRL	IG	INSTRUMENT	OK
USER-DEFINED	II	INSTRUMENT	NOT SUPPORTED
USER-DEFINED	MV	INSTRUMENT	NOT SUPPORTED
USER-DEFINED	RV	INSTRUMENT	NOT SUPPORTED
USER-DEFINED	SV	INSTRUMENT	NOT SUPPORTED
USER-DEFINED	XV	INSTRUMENT	NOT SUPPORTED
USER-DEFINED	ZV	INSTRUMENT	NOT SUPPORTED
ORIFICE-PLATE	OP	INSTRUMENT	OK
USER-DEFINED	C3	INSTRUMENT-3WAY	NOT SUPPORTED
USER-DEFINED	H3	INSTRUMENT-3WAY	NOT SUPPORTED
USER-DEFINED	M3	INSTRUMENT-3WAY	NOT SUPPORTED
USER-DEFINED	S3	INSTRUMENT-3WAY	NOT SUPPORTED
USER-DEFINED	C4	INSTRUMENT-4WAY	NOT SUPPORTED
USER-DEFINED	H4	INSTRUMENT-4WAY	NOT SUPPORTED
USER-DEFINED	M4	INSTRUMENT-4WAY	NOT SUPPORTED
USER-DEFINED	S4	INSTRUMENT-4WAY	NOT SUPPORTED
USER-DEFINED	CA	INSTRUMENT-ANGLE	NOT SUPPORTED
USER-DEFINED	HA	INSTRUMENT-ANGLE	NOT SUPPORTED
USER-DEFINED	IA	INSTRUMENT-ANGLE	NOT SUPPORTED
USER-DEFINED	MA	INSTRUMENT-ANGLE	NOT SUPPORTED
USER-DEFINED	RA	INSTRUMENT-ANGLE	NOT SUPPORTED
USER-DEFINED	SA	INSTRUMENT-ANGLE	NOT SUPPORTED
USER-DEFINED	XA	INSTRUMENT-ANGLE	NOT SUPPORTED
USER-DEFINED	C4	INSTRUMENT-DIAL	NOT SUPPORTED
USER-DEFINED	H4	INSTRUMENT-DIAL	NOT SUPPORTED
USER-DEFINED	IDFL	INSTRUMENT-DIAL	NOT SUPPORTED
USER-DEFINED	IDPL	INSTRUMENT-DIAL	NOT SUPPORTED
USER-DEFINED	C4	INSTRUMENT-OFFSET	NOT SUPPORTED
USER-DEFINED	H4	INSTRUMENT-OFFSET	NOT SUPPORTED
USER-DEFINED	IO	INSTRUMENT-OFFSET	NOT SUPPORTED
USER-DEFINED	C4	INSTRUMENT-RETURN	NOT SUPPORTED
USER-DEFINED	H4	INSTRUMENT-RETURN	NOT SUPPORTED
USER-DEFINED	IR	INSTRUMENT-RETURN	NOT SUPPORTED
USER-DEFINED	ITFL	INSTRUMENT-TEE	NOT SUPPORTED
USER-DEFINED	FLSE	LAPJOINT-STUBEND	OK
USER-DEFINED	FLRG	LAPJOINT-RING	OK
USER-DEFINED	CH	MISC-COMPONENT	NOT SUPPORTED
EXPN-BELLOWS	EX	MISC-COMPONENT	OK
USER-DEFINED	FT	MISC-COMPONENT	NOT SUPPORTED
FLEXIBLE-HOSE	FX	MISC-COMPONENT	OK
USER-DEFINED	NC	MISC-COMPONENT	NOT SUPPORTED
USER-DEFINED	SG	MISC-COMPONENT	NOT SUPPORTED
USER-DEFINED	TU	MISC-COMPONENT	NOT SUPPORTED
USER-DEFINED	PL	MISC-COMPONENT	NOT SUPPORTED
USER-DEFINED	SB	MISC-COMPONENT	NOT SUPPORTED
USER-DEFINED	SP	MISC-COMPONENT	NOT SUPPORTED
USER-DEFINED	SR	MISC-COMPONENT	NOT SUPPORTED
USER-DEFINED	LPIN	MISC-COMPONENT	NOT SUPPORTED
USER-DEFINED	BA	MISC-COMPONENT-ANGLE	NOT SUPPORTED
USER-DEFINED	BO	MISC-COMPONENT-OFFSET	NOT SUPPORTED
USER-DEFINED	BR	MISC-COMPONENT-RETURN	NOT SUPPORTED
USER-DEFINED	ADMF	MISC-HYGENIC	NOT SUPPORTED
USER-DEFINED	ADMM	MISC-HYGENIC	NOT SUPPORTED
USER-DEFINED	BBC	MISC-HYGENIC	NOT SUPPORTED
USER-DEFINED	BBE	MISC-HYGENIC	NOT SUPPORTED
USER-DEFINED	BM	MISC-HYGENIC	NOT SUPPORTED
