NominalSize	MinTemperature(Fdeg)	MaxTemperature(Fdeg)	Thickness(in)	
2in	50	100	0.0625	
4in	50	100	0.0625	
6in	50	100	0.0625	
8in	50	100	0.125	
10in	50	100	0.125	
12in	50	100	0.1875	
14in	50	100	0.1875	
16in	50	100	0.1875	
18in	50	100	0.1875	
20in	50	100	0.1875	
22in	50	100	0.1875	
24in	50	100	0.1875	
26in	50	100	0.1875	
28in	50	100	0.1875	
30in	50	100	0.1875	
32in	50	100	0.25	
34in	50	100	0.25	
36in	50	100	0.25	
38in	50	100	0.25	
40in	50	100	0.25	
42in	50	100	0.25	
44in	50	100	0.25	
46in	50	100	0.25	
48in	50	100	0.25	
