PartNumber	NominalSize	Rating	OutsideDiameter (in)	FaceToFaceLength (in)	EndDiameter (in)	EndThickness (in)	
FLANGE-WN-RFBW-150-0.5in	1/2in	150#	0.84	1.875	3.5	0.44	
FLANGE-WN-RFBW-150-0.75in	3/4in	150#	1.05	2.062	3.88	0.5	
FLANGE-WN-RFBW-150-1in	1in	150#	1.315	2.187	4.25	0.56	
FLANGE-WN-RFBW-150-1.25in	1 1/4in	150#	1.66	2.25	4.62	0.62	
FLANGE-WN-RFBW-150-1.5in	1 1/2in	150#	1.9	2.437	5	0.69	
FLANGE-WN-RFBW-150-2in	2in	150#	2.375	2.5	6	0.75	
FLANGE-WN-RFBW-150-2.5in	2 1/2in	150#	2.875	2.75	7	0.88	
FLANGE-WN-RFBW-150-3in	3in	150#	3.5	2.75	7.5	0.94	
FLANGE-WN-RFBW-150-4in	4in	150#	4.5	3	9	0.94	
FLANGE-WN-RFBW-150-5in	5in	150#	5.563	3.5	10	0.94	
FLANGE-WN-RFBW-150-6in	6in	150#	6.625	3.5	11	1	
FLANGE-WN-RFBW-150-8in	8in	150#	8.625	4	13.5	1.12	
FLANGE-WN-RFBW-150-10in	10in	150#	10.75	4	16	1.19	
FLANGE-WN-RFBW-150-12in	12in	150#	12.75	4.5	19	1.25	
FLANGE-WN-RFBW-150-14in	14in	150#	14	5	21	1.38	
FLANGE-WN-RFBW-150-16in	16in	150#	16	5	23.5	1.44	
FLANGE-WN-RFBW-150-18in	18in	150#	18	5.5	25	1.56	
FLANGE-WN-RFBW-150-20in	20in	150#	20	5.687	27.5	1.69	
FLANGE-WN-RFBW-150-24in	24in	150#	24	6	32	1.88	
FLANGE-WN-RFBW-300-0.5in	1/2in	300#	0.84	2.062	3.75	0.56	
FLANGE-WN-RFBW-300-0.75in	3/4in	300#	1.05	2.25	4.62	0.62	
FLANGE-WN-RFBW-300-1in	1in	300#	1.315	2.437	4.88	0.69	
FLANGE-WN-RFBW-300-1.25in	1 1/4in	300#	1.66	2.562	5.25	0.75	
FLANGE-WN-RFBW-300-1.5in	1 1/2in	300#	1.9	2.687	6.12	0.81	
FLANGE-WN-RFBW-300-2in	2in	300#	2.375	2.75	6.5	0.88	
FLANGE-WN-RFBW-300-2.5in	2 1/2in	300#	2.875	3	7.5	1	
FLANGE-WN-RFBW-300-3in	3in	300#	3.5	3.125	8.25	1.12	
FLANGE-WN-RFBW-300-3.5in	3 1/2in	300#	4	3.187	9	1.19	
