PartNumber	NominalSize	NominalSize2	OutsideDiameter (in)	OutsideDiameter2 (in)	FaceToFaceLength (in)	WallThickness(in)	WallThickness2(in)
REDCON-WM-BW-0.75in-0.375in	3/4in	3/8in	1.05	0.675	1.5	0.154	0.126
REDCON-WM-BW-0.75in-0.5in	3/4in	1/2in	1.05	0.84	1.5	0.154	0.147
REDCON-WM-BW-1in-0.375in	1in	3/8in	1.315	0.675	2	0.179	0.126
REDCON-WM-BW-1in-0.5in	1in	1/2in	1.315	0.84	2	0.179	0.147
REDCON-WM-BW-1in-0.75in	1in	3/4in	1.315	1.05	2	0.179	0.154
REDCON-WM-BW-1.25in-0.5in	1 1/4in	1/2in	1.66	0.84	2	0.191	0.147
REDCON-WM-BW-1.25in-0.75in	1 1/4in	3/4in	1.66	1.05	2	0.191	0.154
REDCON-WM-BW-1.25in-1in	1 1/4in	1in	1.66	1.315	2	0.191	0.179
REDCON-WM-BW-1.5in-0.5in	1 1/2in	1/2in	1.9	0.84	2.5	0.2	0.147
REDCON-WM-BW-1.5in-0.75in	1 1/2in	3/4in	1.9	1.05	2.5	0.2	0.154
REDCON-WM-BW-1.5in-1in	1 1/2in	1in	1.9	1.315	2.5	0.2	0.179
REDCON-WM-BW-1.5in-1.25in	1 1/2in	1 1/4in	1.9	1.66	2.5	0.2	0.191
REDCON-WM-BW-2in-0.75in	2in	3/4in	2.375	1.05	3	0.218	0.154
REDCON-WM-BW-2in-1in	2in	1in	2.375	1.315	3	0.218	0.179
REDCON-WM-BW-2in-1.25in	2in	1 1/4in	2.375	1.66	3	0.218	0.191
REDCON-WM-BW-2in-1.5in	2in	1 1/2in	2.375	1.9	3	0.218	0.2
REDCON-WM-BW-2.5in-1in	2 1/2in	1in	2.875	1.315	3.5	0.276	0.179
REDCON-WM-BW-2.5in-1.25in	2 1/2in	1 1/4in	2.875	1.66	3.5	0.276	0.191
REDCON-WM-BW-2.5in-1.5in	2 1/2in	1 1/2in	2.875	1.9	3.5	0.276	0.2
REDCON-WM-BW-2.5in-2in	2 1/2in	2in	2.875	2.375	3.5	0.276	0.218
REDCON-WM-BW-3in-1.25in	3in	1 1/4in	3.5	1.66	3.5	0.3	0.191
