PartNumber	NominalSize	Rating	EndDiameter (in)	FaceToFaceLength (in)	
GASKET-RJ-150-1in	1in	150#	4.25	0.16	
GASKET-RJ-150-1.25in	1 1/4in	150#	4.62	0.16	
GASKET-RJ-150-1.5in	1 1/2in	150#	5	0.16	
GASKET-RJ-150-2in	2in	150#	6	0.16	
GASKET-RJ-150-2.5in	2 1/2in	150#	7	0.16	
GASKET-RJ-150-3in	3in	150#	7.5	0.16	
GASKET-RJ-150-3.5in	3 1/2in	150#	8.5	0.16	
GASKET-RJ-150-4in	4in	150#	9	0.16	
GASKET-RJ-150-5in	5in	150#	10	0.16	
GASKET-RJ-150-6in	6in	150#	11	0.16	
GASKET-RJ-150-8in	8in	150#	13.5	0.16	
GASKET-RJ-150-10in	10in	150#	16	0.16	
GASKET-RJ-150-12in	12in	150#	19	0.16	
GASKET-RJ-150-14in	14in	150#	21	0.12	
GASKET-RJ-150-16in	16in	150#	23.5	0.12	
GASKET-RJ-150-18in	18in	150#	25	0.12	
GASKET-RJ-150-20in	20in	150#	27.5	0.12	
GASKET-RJ-150-24in	24in	150#	32	0.12	
GASKET-RJ-300-0.5in	1/2in	300#	3.75	0.12	
GASKET-RJ-300-0.75in	3/4in	300#	4.62	0.16	
GASKET-RJ-300-1in	1in	300#	4.88	0.16	
GASKET-RJ-300-1.25in	1 1/4in	300#	5.25	0.16	
GASKET-RJ-300-1.5in	1 1/2in	300#	6.12	0.16	
GASKET-RJ-300-2in	2in	300#	6.5	0.22	
GASKET-RJ-300-2.5in	2 1/2in	300#	7.5	0.22	
GASKET-RJ-300-3in	3in	300#	8.25	0.22	
GASKET-RJ-300-3.5in	3 1/2in	300#	9	0.22	
GASKET-RJ-300-4in	4in	300#	10	0.22	
GASKET-RJ-300-5in	5in	300#	11	0.22	
GASKET-RJ-300-6in	6in	300#	12.5	0.22	
GASKET-RJ-300-8in	8in	300#	15	0.22	
GASKET-RJ-300-10in	10in	300#	17.5	0.22	
GASKET-RJ-300-12in	12in	300#	20.5	0.22	
GASKET-RJ-300-14in	14in	300#	23	0.22	
GASKET-RJ-300-16in	16in	300#	25.5	0.22	
GASKET-RJ-300-18in	18in	300#	28	0.22	
GASKET-RJ-300-20in	20in	300#	30.5	0.22	
GASKET-RJ-300-24in	24in	300#	36	0.25	
GASKET-RJ-400-0.5in	1/2in	400#	3.75	0.12	
GASKET-RJ-400-0.75in	3/4in	400#	4.62	0.16	
GASKET-RJ-400-1in	1in	400#	4.88	0.16	
GASKET-RJ-400-1.25in	1 1/4in	400#	5.25	0.16	
GASKET-RJ-400-1.5in	1 1/2in	400#	6.12	0.16	
GASKET-RJ-400-2in	2in	400#	6.5	0.19	
GASKET-RJ-400-2.5in	2 1/2in	400#	7.5	0.19	
GASKET-RJ-400-3in	3in	400#	8.25	0.19	
GASKET-RJ-400-3.5in	3 1/2in	400#	9	0.19	
GASKET-RJ-400-4in	4in	400#	10	0.22	
GASKET-RJ-400-5in	5in	400#	11	0.22	
GASKET-RJ-400-6in	6in	400#	12.5	0.22	
GASKET-RJ-400-8in	8in	400#	15	0.22	
GASKET-RJ-400-10in	10in	400#	17.5	0.22	
GASKET-RJ-400-12in	12in	400#	20.5	0.22	
GASKET-RJ-400-14in	14in	400#	23	0.22	
GASKET-RJ-400-16in	16in	400#	25.5	0.22	
GASKET-RJ-400-18in	18in	400#	28	0.22	
GASKET-RJ-400-20in	20in	400#	30.5	0.22	
GASKET-RJ-400-24in	24in	400#	36	0.25	
GASKET-RJ-600-0.5in	1/2in	600#	3.75	0.12	
GASKET-RJ-600-0.75in	3/4in	600#	4.62	0.16	
GASKET-RJ-600-1in	1in	600#	4.88	0.16	
GASKET-RJ-600-1.25in	1 1/4in	600#	5.25	0.16	
GASKET-RJ-600-1.5in	1 1/2in	600#	6.12	0.16	
