PartNumber	NominalSize	Schedule	OutsideDiameter (in)
PIPE-BW-0.125in	1/8in		0.405
PIPE-BW-0.25in	1/4in		0.54
PIPE-BW-0.375in	3/8in		0.675
PIPE-BW-0.5in	1/2in		0.84
PIPE-BW-0.75in	3/4in		1.05
PIPE-BW-1in	1in		1.315
PIPE-BW-1.25in	1 1/4in		1.66
PIPE-BW-1.5in	1 1/2in		1.9
PIPE-BW-2in	2in		2.375
PIPE-BW-2.5in	2 1/2in		2.875
PIPE-BW-3in	3in		3.5
PIPE-BW-3.5in	3 1/2in		4
PIPE-BW-4in	4in		4.5
PIPE-BW-5in	5in		5.563
PIPE-BW-6in	6in		6.625
PIPE-BW-8in	8in		8.625
PIPE-BW-10in	10in		10.75
PIPE-BW-12in	12in		12.75
PIPE-BW-14in	14in		14
PIPE-BW-16in	16in		16
PIPE-BW-18in	18in		18
PIPE-BW-20in	20in		20
PIPE-BW-22in	22in		22
PIPE-BW-24in	24in		24
PIPE-BW-26in	26in		26
PIPE-BW-28in	28in		28
PIPE-BW-30in	30in		30
PIPE-BW-32in	32in		32
PIPE-BW-34in	34in		34
PIPE-BW-36in	36in		36
PIPE-BW-38in	38in		38
PIPE-BW-40in	40in		40
PIPE-BW-42in	42in		42
PIPE-BW-0.125in-40	1/8in	SCHEDULE 40	0.405
PIPE-BW-0.25in-40	1/4in	SCHEDULE 40	0.54
PIPE-BW-0.375in-40	3/8in	SCHEDULE 40	0.675
PIPE-BW-0.5in-40	1/2in	SCHEDULE 40	0.84
PIPE-BW-0.75in-40	3/4in	SCHEDULE 40	1.05
PIPE-BW-1in-40	1in	SCHEDULE 40	1.315
PIPE-BW-1.25in-40	1 1/4in	SCHEDULE 40	1.66
PIPE-BW-1.5in-40	1 1/2in	SCHEDULE 40	1.9
PIPE-BW-2in-40	2in	SCHEDULE 40	2.375
PIPE-BW-2.5in-40	2 1/2in	SCHEDULE 40	2.875
PIPE-BW-3in-40	3in	SCHEDULE 40	3.5
PIPE-BW-3.5in-40	3 1/2in	SCHEDULE 40	4
PIPE-BW-4in-40	4in	SCHEDULE 40	4.5
PIPE-BW-5in-40	5in	SCHEDULE 40	5.563
PIPE-BW-6in-40	6in	SCHEDULE 40	6.625
PIPE-BW-8in-40	8in	SCHEDULE 40	8.625
PIPE-BW-10in-40	10in	SCHEDULE 40	10.75
PIPE-BW-12in-40	12in	SCHEDULE 40	12.75
PIPE-BW-14in-40	14in	SCHEDULE 40	14
PIPE-BW-16in-40	16in	SCHEDULE 40	16
PIPE-BW-18in-40	18in	SCHEDULE 40	18
PIPE-BW-20in-40	20in	SCHEDULE 40	20
PIPE-BW-24in-40	24in	SCHEDULE 40	24
PIPE-BW-32in-40	32in	SCHEDULE 40	32
PIPE-BW-34in-40	34in	SCHEDULE 40	34
PIPE-BW-36in-40	36in	SCHEDULE 40	36
PIPE-BW-0.125in-XS	1/8in	EXTRA STRONG	0.405
PIPE-BW-0.25in-XS	1/4in	EXTRA STRONG	0.54
PIPE-BW-0.375in-XS	3/8in	EXTRA STRONG	0.675
PIPE-BW-0.5in-XS	1/2in	EXTRA STRONG	0.84
PIPE-BW-0.75in-XS	3/4in	EXTRA STRONG	1.05
PIPE-BW-1in-XS	1in	EXTRA STRONG	1.315
PIPE-BW-1.25in-XS	1 1/4in	EXTRA STRONG	1.66
PIPE-BW-1.5in-XS	1 1/2in	EXTRA STRONG	1.9
PIPE-BW-2in-XS	2in	EXTRA STRONG	2.375
PIPE-BW-2.5in-XS	2 1/2in	EXTRA STRONG	2.875
PIPE-BW-3in-XS	3in	EXTRA STRONG	3.5
PIPE-BW-3.5in-XS	3 1/2in	EXTRA STRONG	4
PIPE-BW-4in-XS	4in	EXTRA STRONG	4.5
PIPE-BW-5in-XS	5in	EXTRA STRONG	5.563
PIPE-BW-6in-XS	6in	EXTRA STRONG	6.625
PIPE-BW-8in-XS	8in	EXTRA STRONG	8.625
PIPE-BW-10in-XS	10in	EXTRA STRONG	10.75
PIPE-BW-12in-XS	12in	EXTRA STRONG	12.75
PIPE-BW-14in-XS	14in	EXTRA STRONG	14
PIPE-BW-16in-XS	16in	EXTRA STRONG	16
PIPE-BW-18in-XS	18in	EXTRA STRONG	18
PIPE-BW-20in-XS	20in	EXTRA STRONG	20
PIPE-BW-22in-XS	22in	EXTRA STRONG	22
PIPE-BW-24in-XS	24in	EXTRA STRONG	24
PIPE-BW-26in-XS	26in	EXTRA STRONG	26
PIPE-BW-28in-XS	28in	EXTRA STRONG	28
PIPE-BW-30in-XS	30in	EXTRA STRONG	30
PIPE-BW-32in-XS	32in	EXTRA STRONG	32
PIPE-BW-34in-XS	34in	EXTRA STRONG	34
PIPE-BW-36in-XS	36in	EXTRA STRONG	36
PIPE-BW-38.00in-XS	38in	EXTRA STRONG	38
PIPE-BW-40in-XS	40in	EXTRA STRONG	40
PIPE-BW-42in-XS	42in	EXTRA STRONG	42
PIPE-BW-44in-XS	44in	EXTRA STRONG	44
PIPE-BW-46in-XS	46in	EXTRA STRONG	46
PIPE-BW-48in-XS	48in	EXTRA STRONG	48
PIPE-BW-0.125in-80	1/8in	SCHEDULE 80	0.405
PIPE-BW-0.25in-80	1/4in	SCHEDULE 80	0.54
PIPE-BW-0.375in-80	3/8in	SCHEDULE 80	0.675
PIPE-BW-0.5in-80	1/2in	SCHEDULE 80	0.84
PIPE-BW-0.75in-80	3/4in	SCHEDULE 80	1.05
PIPE-BW-1in-80	1in	SCHEDULE 80	1.315
PIPE-BW-1.25in-80	1 1/4in	SCHEDULE 80	1.66
PIPE-BW-1.5in-80	1 1/2in	SCHEDULE 80	1.9
PIPE-BW-2in-80	2in	SCHEDULE 80	2.375
PIPE-BW-2.5in-80	2 1/2in	SCHEDULE 80	2.875
PIPE-BW-3in-80	3in	SCHEDULE 80	3.5
PIPE-BW-3.5in-80	3 1/2in	SCHEDULE 80	4
PIPE-BW-4in-80	4in	SCHEDULE 80	4.5
PIPE-BW-5in-80	5in	SCHEDULE 80	5.563
PIPE-BW-6in-80	6in	SCHEDULE 80	6.625
PIPE-BW-8in-80	8in	SCHEDULE 80	8.625
PIPE-BW-10in-80	10in	SCHEDULE 80	10.75
PIPE-BW-12in-80	12in	SCHEDULE 80	12.75
PIPE-BW-14in-80	14in	SCHEDULE 80	14
PIPE-BW-16in-80	16in	SCHEDULE 80	16
PIPE-BW-18in-80	18in	SCHEDULE 80	18
PIPE-BW-20in-80	20in	SCHEDULE 80	20
PIPE-BW-22in-80	22in	SCHEDULE 80	22
PIPE-BW-24in-80	24in	SCHEDULE 80	24
PIPE-BW-0.5in-160	1/2in	SCHEDULE 160	0.84
PIPE-BW-0.75in-160	3/4in	SCHEDULE 160	1.05
PIPE-BW-1in-160	1in	SCHEDULE 160	1.315
PIPE-BW-1.25in-160	1 1/4in	SCHEDULE 160	1.66
PIPE-BW-1.5in-160	1 1/2in	SCHEDULE 160	1.9
PIPE-BW-2in-160	2in	SCHEDULE 160	2.375
PIPE-BW-2.5in-160	2 1/2in	SCHEDULE 160	2.875
PIPE-BW-3in-160	3in	SCHEDULE 160	3.5
PIPE-BW-4in-160	4in	SCHEDULE 160	4.5
PIPE-BW-5in-160	5in	SCHEDULE 160	5.563
PIPE-BW-6in-160	6in	SCHEDULE 160	6.625
PIPE-BW-8in-160	8in	SCHEDULE 160	8.625
PIPE-BW-10in-160	10in	SCHEDULE 160	10.75
PIPE-BW-12in-160	12in	SCHEDULE 160	12.75
PIPE-BW-14in-160	14in	SCHEDULE 160	14
PIPE-BW-16in-160	16in	SCHEDULE 160	16
PIPE-BW-18in-160	18in	SCHEDULE 160	18
PIPE-BW-20in-160	20in	SCHEDULE 160	20
PIPE-BW-22in-160	22in	SCHEDULE 160	22
PIPE-BW-24in-160	24in	SCHEDULE 160	24
PIPE-BW-0.125in-STD	1/8in	STANDARD	0.405
PIPE-BW-0.25in-STD	1/4in	STANDARD	0.54
PIPE-BW-0.375in-STD	3/8in	STANDARD	0.675
PIPE-BW-0.5in-STD	1/2in	STANDARD	0.84
PIPE-BW-0.75in-STD	3/4in	STANDARD	1.05
PIPE-BW-1in-STD	1in	STANDARD	1.315
PIPE-BW-1.25in-STD	1 1/4in	STANDARD	1.66
PIPE-BW-1.5in-STD	1 1/2in	STANDARD	1.9
PIPE-BW-2in-STD	2in	STANDARD	2.375
PIPE-BW-2.5in-STD	2 1/2in	STANDARD	2.875
PIPE-BW-3in-STD	3in	STANDARD	3.5
PIPE-BW-3.5in-STD	3 1/2in	STANDARD	4
PIPE-BW-4in-STD	4in	STANDARD	4.5
PIPE-BW-5in-STD	5in	STANDARD	5.563
PIPE-BW-6in-STD	6in	STANDARD	6.625
PIPE-BW-8in-STD	8in	STANDARD	8.625
PIPE-BW-10in-STD	10in	STANDARD	10.75
PIPE-BW-12in-STD	12in	STANDARD	12.75
PIPE-BW-14in-STD	14in	STANDARD	14
PIPE-BW-16in-STD	16in	STANDARD	16
PIPE-BW-18in-STD	18in	STANDARD	18
PIPE-BW-20in-STD	20in	STANDARD	20
PIPE-BW-22in-STD	22in	STANDARD	22
PIPE-BW-24in-STD	24in	STANDARD	24
PIPE-BW-26in-STD	26in	STANDARD	26
PIPE-BW-28in-STD	28in	STANDARD	28
PIPE-BW-30in-STD	30in	STANDARD	30
PIPE-BW-32in-STD	32in	STANDARD	32
PIPE-BW-34in-STD	34in	STANDARD	34
PIPE-BW-36in-STD	36in	STANDARD	36
PIPE-BW-38.00in-STD	38in	STANDARD	38
PIPE-BW-40in-STD	40in	STANDARD	40
PIPE-BW-42in-STD	42in	STANDARD	42
PIPE-BW-44in-STD	44in	STANDARD	44
PIPE-BW-46in-STD	46in	STANDARD	46
PIPE-BW-48in-STD	48in	STANDARD	48
PIPE-BW-0.5in-XXS	1/2in	DOUBLE EXTRA STRONG	0.84
PIPE-BW-0.75in-XXS	3/4in	DOUBLE EXTRA STRONG	1.05
PIPE-BW-1in-XXS	1in	DOUBLE EXTRA STRONG	1.315
PIPE-BW-1.25in-XXS	1 1/4in	DOUBLE EXTRA STRONG	1.66
PIPE-BW-1.5in-XXS	1 1/2in	DOUBLE EXTRA STRONG	1.9
PIPE-BW-2in-XXS	2in	DOUBLE EXTRA STRONG	2.375
PIPE-BW-2.5in-XXS	2 1/2in	DOUBLE EXTRA STRONG	2.875
PIPE-BW-3in-XXS	3in	DOUBLE EXTRA STRONG	3.5
PIPE-BW-4in-XXS	4in	DOUBLE EXTRA STRONG	4.5
PIPE-BW-5in-XXS	5in	DOUBLE EXTRA STRONG	5.563
PIPE-BW-6in-XXS	6in	DOUBLE EXTRA STRONG	6.625
PIPE-BW-8in-XXS	8in	DOUBLE EXTRA STRONG	8.625
PIPE-BW-10in-XXS	10in	DOUBLE EXTRA STRONG	10.75
PIPE-BW-12in-XXS	12in	DOUBLE EXTRA STRONG	12.75
PIPE-BW-0.5in-5S	1/2in	SCHEDULE 5S	0.84
PIPE-BW-0.75in-5S	3/4in	SCHEDULE 5S	1.05
PIPE-BW-1in-5S	1in	SCHEDULE 5S	1.315
PIPE-BW-1.25in-5S	1 1/4in	SCHEDULE 5S	1.66
PIPE-BW-1.5in-5S	1 1/2in	SCHEDULE 5S	1.9
PIPE-BW-2in-5S	2in	SCHEDULE 5S	2.375
PIPE-BW-2.5in-5S	2 1/2in	SCHEDULE 5S	2.875
PIPE-BW-3in-5S	3in	SCHEDULE 5S	3.5
PIPE-BW-3.5in-5S	3 1/2in	SCHEDULE 5S	4
PIPE-BW-4in-5S	4in	SCHEDULE 5S	4.5
PIPE-BW-5in-5S	5in	SCHEDULE 5S	5.563
PIPE-BW-6in-5S	6in	SCHEDULE 5S	6.625
PIPE-BW-8in-5S	8in	SCHEDULE 5S	8.625
PIPE-BW-10in-5S	10in	SCHEDULE 5S	10.75
PIPE-BW-12in-5S	12in	SCHEDULE 5S	12.75
PIPE-BW-14in-5S	14in	SCHEDULE 5S	14
