PartNumber	NominalSize	Rating	OutsideDiameter (in)	FaceToFaceLength (in)	EndDiameter(in)	
V-CHK-WAFER-150-2in	2in	150#	2.375	2.375	6	
V-CHK-WAFER-150-2.5in	2 1/2in	150#	2.875	2.613	7	
V-CHK-WAFER-150-3in	3in	150#	3.5	2.875	7.5	
V-CHK-WAFER-150-4in	4in	150#	4.5	2.875	9	
V-CHK-WAFER-150-6in	6in	150#	6.625	3.875	11	
V-CHK-WAFER-150-8in	8in	150#	8.625	5	13.5	
V-CHK-WAFER-150-10in	10in	150#	10.75	5.75	16	
V-CHK-WAFER-150-12in	12in	150#	12.75	7.125	19	
V-CHK-WAFER-150-14in	14in	150#	14	7.25	21	
V-CHK-WAFER-150-16in	16in	150#	16	7.5	23.5	
V-CHK-WAFER-150-18in	18in	150#	18	8	25	
V-CHK-WAFER-150-20in	20in	150#	20	8.613	27.5	
V-CHK-WAFER-150-24in	24in	150#	24	8.75	32	
V-CHK-WAFER-300-2in	2in	300#	2.375	2.375	6.5	
V-CHK-WAFER-300-2.5in	2 1/2in	300#	2.875	2.613	7.5	
V-CHK-WAFER-300-3in	3in	300#	3.5	2.875	8.252	
V-CHK-WAFER-300-4in	4in	300#	4.5	2.875	10	
V-CHK-WAFER-300-6in	6in	300#	6.625	3.875	12.5	
V-CHK-WAFER-300-8in	8in	300#	8.625	5	15	
V-CHK-WAFER-300-10in	10in	300#	10.75	5.75	17.5	
V-CHK-WAFER-300-12in	12in	300#	12.75	7.125	20.5	
V-CHK-WAFER-300-14in	14in	300#	14	8.75	23	
V-CHK-WAFER-300-16in	16in	300#	16	9.125	25.5	
V-CHK-WAFER-300-18in	18in	300#	18	10.375	28	
V-CHK-WAFER-300-20in	20in	300#	20	11.5	30.5	
V-CHK-WAFER-300-24in	24in	300#	24	12.5	36	
V-CHK-WAFER-400-2in	2in	400#	2.375	2.375	6.5	
V-CHK-WAFER-400-2.5in	2 1/2in	400#	2.875	2.625	7.5	
V-CHK-WAFER-400-3in	3in	400#	3.5	2.875	8.252	
V-CHK-WAFER-400-4in	4in	400#	4.5	3.125	10	
V-CHK-WAFER-400-6in	6in	400#	6.625	5.375	12.5	
V-CHK-WAFER-400-8in	8in	400#	8.625	6.5	15	
V-CHK-WAFER-400-10in	10in	400#	10.75	8.375	17.5	
V-CHK-WAFER-400-12in	12in	400#	12.75	9	20.5	
V-CHK-WAFER-400-14in	14in	400#	14	10.75	23	
V-CHK-WAFER-400-16in	16in	400#	16	12	25.5	
V-CHK-WAFER-400-18in	18in	400#	18	14.25	28	
V-CHK-WAFER-400-20in	20in	400#	20	14.5	30.5	
V-CHK-WAFER-400-24in	24in	400#	24	15.5	36	
V-CHK-WAFER-600-2in	2in	600#	2.375	2.375	6.5	
V-CHK-WAFER-600-2.5in	2 1/2in	600#	2.875	2.613	7.5	
V-CHK-WAFER-600-3in	3in	600#	3.5	2.875	8.252	
V-CHK-WAFER-600-4in	4in	600#	4.5	3.125	10.752	
V-CHK-WAFER-600-6in	6in	600#	6.625	5.375	14	
V-CHK-WAFER-600-8in	8in	600#	8.625	6.5	16.5	
V-CHK-WAFER-600-10in	10in	600#	10.75	8.375	20	
V-CHK-WAFER-600-12in	12in	600#	12.75	9	22	
V-CHK-WAFER-600-14in	14in	600#	14	10.75	23.752	
V-CHK-WAFER-600-16in	16in	600#	16	12	27	
V-CHK-WAFER-600-18in	18in	600#	18	14.25	29.252	
V-CHK-WAFER-600-20in	20in	600#	20	14.5	32	
V-CHK-WAFER-600-24in	24in	600#	24	17.25	37	
V-CHK-WAFER-900-2in	2in	900#	2.375	2.75	8.5	
V-CHK-WAFER-900-2.5in	2 1/2in	900#	2.875	3.25	9.618	
V-CHK-WAFER-900-3in	3in	900#	3.5	3.25	9.5	
V-CHK-WAFER-900-4in	4in	900#	4.5	4	11.5	
V-CHK-WAFER-900-6in	6in	900#	6.625	6.25	15	
V-CHK-WAFER-900-8in	8in	900#	8.625	8.125	18.5	
V-CHK-WAFER-900-10in	10in	900#	10.75	9.5	21.5	
V-CHK-WAFER-900-12in	12in	900#	12.75	11.5	24	
V-CHK-WAFER-900-14in	14in	900#	14	14	25.252	
V-CHK-WAFER-900-16in	16in	900#	16	15.125	27.752	
V-CHK-WAFER-900-18in	18in	900#	18	17.75	31	
V-CHK-WAFER-900-20in	20in	900#	20	17.75	33.752	
V-CHK-WAFER-900-24in	24in	900#	24	19	41	
V-CHK-WAFER-1500-2in	2in	1500#	2.375	2.75	8.5	
V-CHK-WAFER-1500-2.5in	2 1/2in	1500#	2.875	3.25	9.618	
V-CHK-WAFER-1500-3in	3in	1500#	3.5	3.25	10.5	
V-CHK-WAFER-1500-4in	4in	1500#	4.5	4	12.252	
V-CHK-WAFER-1500-6in	6in	1500#	6.625	6.25	15.5	
V-CHK-WAFER-1500-8in	8in	1500#	8.625	8.125	19	
V-CHK-WAFER-1500-10in	10in	1500#	10.75	9.75	23	
V-CHK-WAFER-1500-12in	12in	1500#	12.75	12	26.5	
V-CHK-WAFER-1500-14in	14in	1500#	14	14	29.5	
V-CHK-WAFER-1500-16in	16in	1500#	16	15.125	32.5	
V-CHK-WAFER-1500-18in	18in	1500#	18	18.438	36	
V-CHK-WAFER-1500-20in	20in	1500#	20	21	38.752	
V-CHK-WAFER-1500-24in	24in	1500#	24	22	46	
V-CHK-WAFER-2500-2in	2in	2500#	2.375	2.75	9.252	
V-CHK-WAFER-2500-2.5in	2 1/2in	2500#	2.875	3.25	10.5	
V-CHK-WAFER-2500-3in	3in	2500#	3.5	3.375	12	
V-CHK-WAFER-2500-4in	4in	2500#	4.5	4.125	14	
V-CHK-WAFER-2500-6in	6in	2500#	6.625	6.25	19	
V-CHK-WAFER-2500-8in	8in	2500#	8.625	8.125	21.752	
V-CHK-WAFER-2500-10in	10in	2500#	10.75	10	26.5	
V-CHK-WAFER-2500-12in	12in	2500#	12.75	12	30	
