PartNumber	NominalSize	Rating	OutsideDiameter (in)	FaceToFaceLength (in)	HandWheelDiameter (in)	HandWheelHeight (in)	EndDiameter (in)	EndThickness (in)	
V-GATE-FL-HW-RJ-150-2in	2in	150#	2.375	7.5	8.5	14.68	6	0.75	
V-GATE-FL-HW-RJ-150-2.5in	2 1/2in	150#	2.875	8	8.5	22.25	7	0.88	
V-GATE-FL-HW-RJ-150-3in	3in	150#	3.5	8.5	9	22.25	7.5	0.94	
V-GATE-FL-HW-RJ-150-3.5in	3 1/2in	150#	4	9	9	24	8.5	0.94	
V-GATE-FL-HW-RJ-150-4in	4in	150#	4.5	9.5	10	24	9	0.94	
V-GATE-FL-HW-RJ-150-5in	5in	150#	5.563	10.5	12	36.75	10	0.94	
V-GATE-FL-HW-RJ-150-6in	6in	150#	6.625	11	14	36.75	11	1	
V-GATE-FL-HW-RJ-150-8in	8in	150#	8.625	12	16	42	13.5	1.12	
V-GATE-FL-HW-RJ-150-10in	10in	150#	10.75	13.5	18	49.5	16	1.19	
V-GATE-FL-HW-RJ-150-12in	12in	150#	12.75	14.5	18	60.5	19	1.25	
V-GATE-FL-HW-RJ-150-14in	14in	150#	14	15.5	22	65	21	1.38	
V-GATE-FL-HW-RJ-150-16in	16in	150#	16	16.5	24	70.38	23.5	1.44	
V-GATE-FL-HW-RJ-150-18in	18in	150#	18	17.5	27	71.25	25	1.56	
V-GATE-FL-HW-RJ-150-20in	20in	150#	20	18.5	30	78.63	27.5	1.69	
V-GATE-FL-HW-RJ-150-24in	24in	150#	24	20.5	30	92.5	32	1.88	
V-GATE-FL-HW-RJ-300-1.5in	1 1/2in	300#	1.9	8	8	16.75	6.12	0.81	
V-GATE-FL-HW-RJ-300-2in	2in	300#	2.375	9.125	8	18	6.5	0.88	
V-GATE-FL-HW-RJ-300-2.5in	2 1/2in	300#	2.875	10.125	8	19	7.5	1	
V-GATE-FL-HW-RJ-300-3in	3in	300#	3.5	11.75	9	23.25	8.25	1.12	
V-GATE-FL-HW-RJ-300-4in	4in	300#	4.5	12.625	10	28.25	10	1.25	
V-GATE-FL-HW-RJ-300-5in	5in	300#	5.563	15.625	12	33.5	11	1.38	
V-GATE-FL-HW-RJ-300-6in	6in	300#	6.625	16.5	14	38.5	12.5	1.44	
V-GATE-FL-HW-RJ-300-8in	8in	300#	8.625	17.125	16	47	15	1.62	
V-GATE-FL-HW-RJ-300-10in	10in	300#	10.75	18.625	20	56.5	17.5	1.88	
V-GATE-FL-HW-RJ-300-12in	12in	300#	12.75	20.375	20	64.25	20.5	2	
V-GATE-FL-HW-RJ-300-14in	14in	300#	14	30.625	27	75.25	23	2.12	
V-GATE-FL-HW-RJ-300-16in	16in	300#	16	33.625	27	81	25.5	2.25	
V-GATE-FL-HW-RJ-300-18in	18in	300#	18	36.625	30	91.5	28	2.38	
V-GATE-FL-HW-RJ-300-20in	20in	300#	20	39.75	36	99.75	30.5	2.5	
V-GATE-FL-HW-RJ-300-24in	24in	300#	24	45.875	36	120.5	36	2.75	
V-GATE-FL-HW-RJ-400-4in	4in	400#	4.5	16.125	12	30.75	10	1.38	
