PartNumber	NominalSize	Rating	OutsideDiameter (in)	FaceToFaceLength (in)	HandWheelHeight (in)	HandWheelDiameter (in)	
V-GATE-WM-HW-BW-150-2in	2in	150#	2.375	8.5	14.688	8.5	
V-GATE-WM-HW-BW-150-2.5in	2 1/2in	150#	2.875	9.5	2.25	8.5	
V-GATE-WM-HW-BW-150-3in	3in	150#	3.5	11.125	22.25	9	
V-GATE-WM-HW-BW-150-4in	4in	150#	4.5	12	24	10	
V-GATE-WM-HW-BW-150-5in	5in	150#	5.563	15	27.875	12	
V-GATE-WM-HW-BW-150-6in	6in	150#	6.625	15.875	36.75	14	
V-GATE-WM-HW-BW-150-8in	8in	150#	8.625	16.5	42	16	
V-GATE-WM-HW-BW-150-10in	10in	150#	10.75	18	49.5	18	
V-GATE-WM-HW-BW-150-12in	12in	150#	12.75	19.75	60.5	18	
V-GATE-WM-HW-BW-150-14in	14in	150#	14	22.5	65	22	
V-GATE-WM-HW-BW-150-16in	16in	150#	16	24	70.375	24	
V-GATE-WM-HW-BW-150-18in	18in	150#	18	26	71.25	27	
V-GATE-WM-HW-BW-150-20in	20in	150#	20	28	78.625	30	
V-GATE-WM-HW-BW-150-24in	24in	150#	24	32	92.5	30	
V-GATE-WM-HW-BW-300-2in	2in	300#	2.375	8.5	18	8	
V-GATE-WM-HW-BW-300-2.5in	2 1/2in	300#	2.875	9.5	19	8	
V-GATE-WM-HW-BW-300-3in	3in	300#	3.5	11.125	23.25	9	
V-GATE-WM-HW-BW-300-4in	4in	300#	4.5	12	28.25	10	
V-GATE-WM-HW-BW-300-5in	5in	300#	5.563	15	28.375	12	
V-GATE-WM-HW-BW-300-6in	6in	300#	6.625	15.875	38.5	14	
V-GATE-WM-HW-BW-300-8in	8in	300#	8.625	16.5	47	16	
V-GATE-WM-HW-BW-300-10in	10in	300#	10.75	18	56.5	20	
V-GATE-WM-HW-BW-300-12in	12in	300#	12.75	19.75	64.25	20	
V-GATE-WM-HW-BW-300-14in	14in	300#	14	30	75.25	27	
V-GATE-WM-HW-BW-300-16in	16in	300#	16	33	81	27	
V-GATE-WM-HW-BW-300-18in	18in	300#	18	36	91.5	30	
