FunctionName	MinNominalSize	MaxNominalSize	PhysicalName
PipingBranchFunc	2in	24in	PipingTee
PipingBranchFunc	2in	24in	PipingReducingTee
PipingBranchFunc	2in	24in	PipingLateral
PipingBranchFunc	2in	24in	PipingReducingLateral
PipingBranchFunc	1/2in	6in	PipingOlet
PipingBranchFunc	1/2in	6in	PipingElbowOlet
PipingBranchFunc	1/2in	6in	PipingNippleOlet
PipingBranchFunc	1/2in	6in	PipingBoss
PipingBranchFunc	1/2in	6in	PipingLateralOlet
PipingBranchFunc	1/2in	6in	PipingHalfCoupling
PipingBranchFunc	1 1/2in	2 1/2in	PipingElbowOlet
PipingBranchFunc	2in	24in	PipingCross
PipingBranchFunc	2in	24in	PipingReducingCross
PipingBranchFunc	2in	24in	PipingWye
