FunctionName	MinNominalSize	MaxNominalSize	PhysicalName
Branch_Connection	2in	24in	PipingTee
Branch_Connection	2in	24in	PipingReducingTee
Branch_Connection	2in	24in	PipingLateral
Branch_Connection	2in	24in	PipingReducingLateral
Branch_Connection	1/2in	6in	PipingOlet
Branch_Connection	1/2in	6in	PipingElbowOlet
Branch_Connection	1/2in	6in	PipingNippleOlet
Branch_Connection	1/2in	6in	PipingBoss
Branch_Connection	1/2in	6in	PipingLateralOlet
Branch_Connection	1/2in	6in	PipingHalfCoupling
Branch_Connection	1 1/2in	2 1/2in	PipingElbowOlet
Branch_Connection	2in	24in	PipingCross
Branch_Connection	2in	24in	PipingReducingCross
Branch_Connection	2in	24in	PipingWye
