FunctionName	MinNominalSize	MaxNominalSize	PhysicalName
PipingBlockValveFunc_Sample	2in	4in	PipingBallValve
PipingBlockValveFunc_Sample	6in	8in	PipingGlobeValve
PipingBlockValveFunc_Sample	10in	24in	PipingGateValve
PipingThrotValveFunc_Sample	4in	8in	PipingBallValve
PipingThrotValveFunc_Sample	10in	24in	PipingGlobeValve
PipingContrlValveFunc_Sample	2in	8in	PipingGlobeValve
PipingContrlValveFunc_Sample	10in	24in	PipingGateValve
PipingCheckValveFunc_Sample	2in	24in	PipingCheckValve
PipingSafetyValveFunc_Sample	2in	24in	PipingSafetyValve


