MaterialCategory	NominalSize	Schedule	WallThickness	BendRadius(in)	MinTangentLength(in)	MinGripLength(in)	MachineNumber
Carbon steel	1in	SCHEDULE 40		2	18	6	Machine-1
Carbon steel	1in	SCHEDULE 40		3	18	6	Machine-1
Carbon steel	1in	SCHEDULE 80		4	18	6	Machine-1
Carbon steel	2in	SCHEDULE 40		3	0.01	3	Machine-1
Carbon steel	2in	SCHEDULE 40		4	18	8	Machine-1
Carbon steel	2in	SCHEDULE 80		6	18	8	Machine-1
Carbon steel	2 1/2in	SCHEDULE 40		5	18	8	Machine-1
Carbon steel	3in	SCHEDULE 40		6	18	8	Machine-1
Carbon steel	4in	SCHEDULE 40		8	24	8	Machine-1
Carbon steel	6in	SCHEDULE 40		9	24	8	Machine-1
Carbon steel	8in	SCHEDULE 40		8	24	8	Machine-1

