EndStyle	Rating	NominalSize	EndDiameter(in)	EndThickness(in)	HexBoltCount	HexBoltLength(in)	HexBoltDiamter(in)	StudBoltCount	StudBoltLength(in)	StudBoltDiamter(in) 
THREADED	150#	1/2in	1.311	0.535	0	0	0	0	0	0
THREADED	150#	3/4in	1.5	0.555	0	0	0	0	0	0
THREADED	150#	1in	1.811	0.661	0	0	0	0	0	0
THREADED	150#	1 1/4in	2.189	0.681	0	0	0	0	0	0
THREADED	150#	1 1/2in	2.441	0.681	0	0	0	0	0	0
THREADED	150#	2in	2.969	0.697	0	0	0	0	0	0
THREADED		1/2in	1.311	0.535	0	0	0	0	0	0
THREADED		3/4in	1.5	0.555	0	0	0	0	0	0
THREADED		1in	1.811	0.661	0	0	0	0	0	0
THREADED		1 1/4in	2.189	0.681	0	0	0	0	0	0
THREADED		1 1/2in	2.441	0.681	0	0	0	0	0	0
THREADED		2in	2.969	0.697	0	0	0	0	0	0
THREADED	300#	1/2in	1.311	0.535	0	0	0	0	0	0
THREADED	300#	3/4in	1.5	0.555	0	0	0	0	0	0
THREADED	300#	1in	1.811	0.661	0	0	0	0	0	0
THREADED	300#	1 1/4in	2.189	0.681	0	0	0	0	0	0
THREADED	300#	1 1/2in	2.441	0.681	0	0	0	0	0	0
THREADED	300#	2in	2.969	0.697	0	0	0	0	0	0
THREADED	600#	1/2in	1.311	0.535	0	0	0	0	0	0
THREADED	600#	3/4in	1.5	0.555	0	0	0	0	0	0
THREADED	600#	1in	1.811	0.661	0	0	0	0	0	0
THREADED	600#	1 1/4in	2.189	0.681	0	0	0	0	0	0
THREADED	600#	1 1/2in	2.441	0.681	0	0	0	0	0	0
THREADED	600#	2in	2.969	0.697	0	0	0	0	0	0
THREADED	800#	1/4in	0.882	0.394	0	0	0	0	0	0
THREADED	800#	3/8in	1	0.406	0	0	0	0	0	0
THREADED	800#	1/2in	1.311	0.535	0	0	0	0	0	0
THREADED	800#	3/4in	1.5	0.555	0	0	0	0	0	0
THREADED	800#	1in	1.811	0.661	0	0	0	0	0	0
THREADED	800#	1 1/4in	2.189	0.681	0	0	0	0	0	0
THREADED	800#	1 1/2in	2.441	0.681	0	0	0	0	0	0
THREADED	800#	2in	2.969	0.697	0	0	0	0	0	0
THREADED	1500#	1/2in	1.311	0.535	0	0	0	0	0	0
