NominalSize	Schedule	BendDiameter(in)	OutsideDiameter(in)	WallThickness(in)	ISOGenSize(in)
1/4in		0.25	0.25	0.049	0.25
5/16in		0.313	0.313	0.049	0.313
1/8in		0.125	0.405	0.095	0.125
1/4in		0.25	0.54	0.119	0.25	
3/8in		0.375	0.675	0.126	0.375
1/2in		0.5	0.84	0.147	0.5
3/4in		0.75	1.05	0.154	0.75
1in		1	1.315	0.179	1
1 1/4in		1.25	1.66	0.191	1.25
1 1/2in		1.5	1.9	0.2	1.5
2in		2	2.375	0.218	2
2 1/2in		2.5	2.875	0.276	2.5
3in		3	3.5	0.3	3
3 1/2in		3.5	4	0.318	3.5
4in		4	4.5	0.337	4
5in		5	5.563	0.375	5
6in		6	6.625	0.432	6
8in		8	8.625	0.5	8
10in		10	10.75	0.5	10
12in		12	12.75	0.5	12
14in		14	14	0.5	14
16in		16	16	0.5	16
18in		18	18	0.5	18
20in		20	20	0.5	20
22in		22	22	0.5	22
24in		24	24	0.5	24
26in		26	26	0.5	26
28in		28	28	0.5	28
30in		30	30	0.5	30
32in		32	32	0.5	32
34in		34	34	0.5	34
36in		36	36	0.5	36
38in		38	38	0.5	38
40in		40	40	0.5	40
42in		42	42	0.5	42
44in		44	44	0.5	44
46in		46	46	0.5	46
48in		48	48	0.5	48
1/8in	SCHEDULE 40	0.125	0.405	0.068	0.125
1/4in	SCHEDULE 40	0.25	0.54	0.088	0.25
3/8in	SCHEDULE 40	0.375	0.675	0.091	0.375
1/2in	SCHEDULE 40	0.5	0.84	0.109	0.5
3/4in	SCHEDULE 40	0.75	1.05	0.113	0.75
1in	SCHEDULE 40	1	1.315	0.133	1
1 1/4in	SCHEDULE 40	1.25	1.66	0.14	1.25
1 1/2in	SCHEDULE 40	1.5	1.9	0.145	1.5
2in	SCHEDULE 40	2	2.375	0.154	2
2 1/2in	SCHEDULE 40	2.5	2.875	0.203	2.5
3in	SCHEDULE 40	3	3.5	0.216	3
3 1/2in	SCHEDULE 40	3.5	4	0.226	3.5
4in	SCHEDULE 40	4	4.5	0.237	4
5in	SCHEDULE 40	5	5.563	0.258	5
6in	SCHEDULE 40	6	6.625	0.28	6	
8in	SCHEDULE 40	8	8.625	0.322	8	
10in	SCHEDULE 40	10	10.75	0.365	10
12in	SCHEDULE 40	12	12.75	0.406	12
14in	SCHEDULE 40	14	14	0.438	14
16in	SCHEDULE 40	16	16	0.5	16
18in	SCHEDULE 40	18	18	0.562	18
20in	SCHEDULE 40	20	20	0.594	20
24in	SCHEDULE 40	24	24	0.688	24
32in	SCHEDULE 40	32	32	0.688	32
34in	SCHEDULE 40	34	34	0.688	34
36in	SCHEDULE 40	36	36	0.75	36
1/8in	EXTRA STRONG	0.125	0.405	0.095	0.125
1/4in	EXTRA STRONG	0.25	0.54	0.119	0.25
3/8in	EXTRA STRONG	0.375	0.675	0.126	0.375
1/2in	EXTRA STRONG	0.5	0.84	0.147	0.5
3/4in	EXTRA STRONG	0.75	1.05	0.154	0.75
1in	EXTRA STRONG	1	1.315	0.179	1
1 1/4in	EXTRA STRONG	1.25	1.66	0.191	1.25
1 1/2in	EXTRA STRONG	1.5	1.9	0.2	1.5
2in	EXTRA STRONG	2	2.375	0.218	2
2 1/2in	EXTRA STRONG	2.5	2.875	0.276	2.5
3in	EXTRA STRONG	3	3.5	0.3	3
3 1/2in	EXTRA STRONG	3.5	4	0.318	3.5
4in	EXTRA STRONG	4	4.5	0.337	4
5in	EXTRA STRONG	5	5.563	0.375	5
6in	EXTRA STRONG	6	6.625	0.432	6
8in	EXTRA STRONG	8	8.625	0.5	8
10in	EXTRA STRONG	10	10.75	0.5	10
12in	EXTRA STRONG	12	12.75	0.5	12
14in	EXTRA STRONG	14	14	0.5	14
16in	EXTRA STRONG	16	16	0.5	16
