PartNumber	NominalSize	NominalSize2	OutsideHeight (in)	OutsideWidth (in)	OutsideWidth2 (in)	InsideHeight (in)	InsideWidth (in)	InsideWidth2 (in)	RailFlangeThickness (in)	RailFlangeWidth (in)	RailWallThickness (in)	RungHeight (in)	RungLength (in)	FloorSectionSpacing (in)	Radius (in)	TangentLength (in)	Series
B34AL-06-HT12	B34-06in	B34-06in	4.2	7.5	7.5	3.08	6	6	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-09-HT12	B34-09in	B34-09in	4.2	10.5	10.5	3.08	9	9	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-12-HT12	B34-12in	B34-12in	4.2	13.5	13.5	3.08	12	12	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-18-HT12	B34-18in	B34-18in	4.2	19.5	19.5	3.08	18	18	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-24-HT12	B34-24in	B34-24in	4.2	25.5	25.5	3.08	24	24	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-30-HT12	B34-30in	B34-30in	4.2	31.5	31.5	3.08	30	30	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-36-HT12	B34-36in	B34-36in	4.2	37.5	37.5	3.08	36	36	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-42-HT12	B34-42in	B34-42in	4.2	43.5	43.5	3.08	42	42	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-06-09-HT12	B34-06in	B34-09in	4.2	7.5	10.5	3.08	6	9	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
B34AL-06-12-HT12	B34-06in	B34-12in	4.2	7.5	13.5	3.08	6	12	0.12	1.75	0.1	1	1	9	12	3	B Series 34  Aluminum 4in rails
