PartNumber	NominalSize	NominalSize2	OutsideHeight (in)	OutsideWidth (in)	OutsideWidth2 (in)	InsideHeight (in)	InsideWidth (in)	InsideWidth2 (in)	RailFlangeThickness (in)	RailFlangeWidth (in)	RailWallThickness (in)	RungHeight (in)	RungLength (in)	FloorSectionSpacing (in)	Length (in)	Series
B34AL-09-06-LR	B34-09in	B34-06in	4.2	10.5	7.5	3.08	9	6	0.12	1.75	0.1	1	1	6	9.75	B Series 34  Aluminum 4in rails
B34AL-12-06-LR	B34-12in	B34-06in	4.2	13.5	7.5	3.08	12	6	0.12	1.75	0.1	1	1	6	11.5	B Series 34  Aluminum 4in rails
B34AL-12-09-LR	B34-12in	B34-09in	4.2	13.5	10.5	3.08	12	9	0.12	1.75	0.1	1	1	6	9.75	B Series 34  Aluminum 4in rails
B34AL-18-06-LR	B34-18in	B34-06in	4.2	19.5	7.5	3.08	18	6	0.12	1.75	0.1	1	1	6	14.9375	B Series 34  Aluminum 4in rails
B34AL-18-09-LR	B34-18in	B34-09in	4.2	19.5	10.5	3.08	18	9	0.12	1.75	0.1	1	1	6	13.1875	B Series 34  Aluminum 4in rails
B34AL-18-12-LR	B34-18in	B34-12in	4.2	19.5	13.5	3.08	18	12	0.12	1.75	0.1	1	1	6	11.5	B Series 34  Aluminum 4in rails
B34AL-24-06-LR	B34-24in	B34-06in	4.2	25.5	7.5	3.08	24	6	0.12	1.75	0.1	1	1	6	18.375	B Series 34  Aluminum 4in rails
B34AL-24-09-LR	B34-24in	B34-09in	4.2	25.5	10.5	3.08	24	9	0.12	1.75	0.1	1	1	6	16.6875	B Series 34  Aluminum 4in rails
B34AL-24-12-LR	B34-24in	B34-12in	4.2	25.5	13.5	3.08	24	12	0.12	1.75	0.1	1	1	6	14.9375	B Series 34  Aluminum 4in rails
B34AL-24-18-LR	B34-24in	B34-18in	4.2	25.5	19.5	3.08	24	18	0.12	1.75	0.1	1	1	6	11.5	B Series 34  Aluminum 4in rails
B34AL-30-06-LR	B34-30in	B34-06in	4.2	31.5	7.5	3.08	30	6	0.12	1.75	0.1	1	1	6	21.875	B Series 34  Aluminum 4in rails
B34AL-30-09-LR	B34-30in	B34-09in	4.2	31.5	10.5	3.08	30	9	0.12	1.75	0.1	1	1	6	20.125	B Series 34  Aluminum 4in rails
B34AL-30-12-LR	B34-30in	B34-12in	4.2	31.5	13.5	3.08	30	12	0.12	1.75	0.1	1	1	6	18.375	B Series 34  Aluminum 4in rails
B34AL-30-18-LR	B34-30in	B34-18in	4.2	31.5	19.5	3.08	30	18	0.12	1.75	0.1	1	1	6	14.9375	B Series 34  Aluminum 4in rails
B34AL-30-24-LR	B34-30in	B34-24in	4.2	31.5	25.5	3.08	30	24	0.12	1.75	0.1	1	1	6	11.5	B Series 34  Aluminum 4in rails
B34AL-36-06-LR	B34-36in	B34-06in	4.2	37.5	7.5	3.08	36	6	0.12	1.75	0.1	1	1	6	25.3125	B Series 34  Aluminum 4in rails
B34AL-36-09-LR	B34-36in	B34-09in	4.2	37.5	10.5	3.08	36	9	0.12	1.75	0.1	1	1	6	23.5625	B Series 34  Aluminum 4in rails
