PartNumber	NominalSize	OutsideHeight (in)	OutsideWidth (in)	InsideHeight (in)	InsideWidth (in)	RailFlangeThickness (in)	RailFlangeWidth (in)	RailWallThickness (in)	RungHeight (in)	RungLength (in)	FloorSectionSpacing (in)	Angle (deg)	BendRadius (in)	TangentLength (in)	Series	PartName
B34AL-06-30VI12	B34-06in	4.2	7.5	3.08	6	0.12	1.75	0.1	1	1	9	30	12	3	B Series 34  Aluminum 4in rails	Vertical Inside Bend 30 deg 12in rad
B34AL-09-30VI12	B34-09in	4.2	10.5	3.08	9	0.12	1.75	0.1	1	1	9	30	12	3	B Series 34  Aluminum 4in rails	Vertical Inside Bend 30 deg 12in rad
B34AL-12-30VI12	B34-12in	4.2	13.5	3.08	12	0.12	1.75	0.1	1	1	9	30	12	3	B Series 34  Aluminum 4in rails	Vertical Inside Bend 30 deg 12in rad
B34AL-18-30VI12	B34-18in	4.2	19.5	3.08	18	0.12	1.75	0.1	1	1	9	30	12	3	B Series 34  Aluminum 4in rails	Vertical Inside Bend 30 deg 12in rad
B34AL-24-30VI12	B34-24in	4.2	25.5	3.08	24	0.12	1.75	0.1	1	1	9	30	12	3	B Series 34  Aluminum 4in rails	Vertical Inside Bend 30 deg 12in rad
B34AL-30-30VI12	B34-30in	4.2	31.5	3.08	30	0.12	1.75	0.1	1	1	9	30	12	3	B Series 34  Aluminum 4in rails	Vertical Inside Bend 30 deg 12in rad
B34AL-36-30VI12	B34036in	4.2	37.5	3.08	36	0.12	1.75	0.1	1	1	9	30	12	3	B Series 34  Aluminum 4in rails	Vertical Inside Bend 30 deg 12in rad
B34AL-42-30VI12	B34-42in	4.2	43.5	3.08	42	0.12	1.75	0.1	1	1	9	30	12	3	B Series 34  Aluminum 4in rails	Vertical Inside Bend 30 deg 12in rad
B34AL-06-30VI24	B34-06in	4.2	7.5	3.08	6	0.12	1.75	0.1	1	1	9	30	24	3	B Series 34  Aluminum 4in rails	Vertical Inside Bend 30 deg 24in rad
B34AL-09-30VI24	B34-09in	4.2	10.5	3.08	9	0.12	1.75	0.1	1	1	9	30	24	3	B Series 34  Aluminum 4in rails	Vertical Inside Bend 30 deg 24in rad
B34AL-12-30VI24	B34-12in	4.2	13.5	3.08	12	0.12	1.75	0.1	1	1	9	30	24	3	B Series 34  Aluminum 4in rails	Vertical Inside Bend 30 deg 24in rad
B34AL-18-30VI24	B34-18in	4.2	19.5	3.08	18	0.12	1.75	0.1	1	1	9	30	24	3	B Series 34  Aluminum 4in rails	Vertical Inside Bend 30 deg 24in rad
B34AL-24-30VI24	B34-24in	4.2	25.5	3.08	24	0.12	1.75	0.1	1	1	9	30	24	3	B Series 34  Aluminum 4in rails	Vertical Inside Bend 30 deg 24in rad
B34AL-30-30VI24	B34-30in	4.2	31.5	3.08	30	0.12	1.75	0.1	1	1	9	30	24	3	B Series 34  Aluminum 4in rails	Vertical Inside Bend 30 deg 24in rad
B34AL-36-30VI24	B34036in	4.2	37.5	3.08	36	0.12	1.75	0.1	1	1	9	30	24	3	B Series 34  Aluminum 4in rails	Vertical Inside Bend 30 deg 24in rad
B34AL-42-30VI24	B34-42in	4.2	43.5	3.08	42	0.12	1.75	0.1	1	1	9	30	24	3	B Series 34  Aluminum 4in rails	Vertical Inside Bend 30 deg 24in rad
B34AL-06-45VI12	B34-06in	4.2	7.5	3.08	6	0.12	1.75	0.1	1	1	9	45	12	3	B Series 34  Aluminum 4in rails	Vertical Inside Bend 45 deg 12in rad
B34AL-09-45VI12	B34-09in	4.2	10.5	3.08	9	0.12	1.75	0.1	1	1	9	45	12	3	B Series 34  Aluminum 4in rails	Vertical Inside Bend 45 deg 12in rad
B34AL-12-45VI12	B34-12in	4.2	13.5	3.08	12	0.12	1.75	0.1	1	1	9	45	12	3	B Series 34  Aluminum 4in rails	Vertical Inside Bend 45 deg 12in rad
B34AL-18-45VI12	B34-18in	4.2	19.5	3.08	18	0.12	1.75	0.1	1	1	9	45	12	3	B Series 34  Aluminum 4in rails	Vertical Inside Bend 45 deg 12in rad
B34AL-24-45VI12	B34-24in	4.2	25.5	3.08	24	0.12	1.75	0.1	1	1	9	45	12	3	B Series 34  Aluminum 4in rails	Vertical Inside Bend 45 deg 12in rad
B34AL-30-45VI12	B34-30in	4.2	31.5	3.08	30	0.12	1.75	0.1	1	1	9	45	12	3	B Series 34  Aluminum 4in rails	Vertical Inside Bend 45 deg 12in rad
