NominalSize	OutsideWidth (in)	OutsideHeight (in)
B34-06in	7.5	4.2
B34-09in	10.5	4.2
B34-12in	13.5	4.2
B34-18in	19.5	4.2
B34-24in	25.5	4.2
B34-30in	31.5	4.2
B34-36in	37.5	4.2
B34-42in	43.5	4.2
B35-06in	7.49	5.06
B35-09in	10.49	5.06
B35-12in	13.49	5.06
B35-18in	19.49	5.06
B35-24in	25.49	5.06
B35-30in	31.49	5.06
B35-36in	37.49	5.06
B35-42in	43.49	5.06
B36-06in	7.45	6.17
B36-09in	10.45	6.17
B36-12in	13.45	6.17
B36-18in	19.45	6.17
B36-24in	25.45	6.17
B36-30in	31.45	6.17
B36-36in	37.45	6.17
B36-42in	43.45	6.17
B37-06in	7.5	7.14
B37-09in	10.5	7.14
B37-12in	13.5	7.14
B37-18in	19.5	7.14
B37-24in	25.5	7.14
B37-30in	31.5	7.14
B37-36in	37.5	7.14
B37-42in	43.5	7.14
