PartNumber	Code	D(in)	Bf(in)	Tw(in)	Tf(in)	R1(in)	R2(in)	SLOPE(deg)	Sx(in)	Sy(in)	A(in2)	P(lb_ft)	L(in)	vxm(in)	vxp(in)	vym(in)	vyp(in)	Ix(in4)	Vx(in3)	Gx(in)	Iy(in4)	Vy(in3)	Gy(in)	J(in4)	Ax(in2)	Ay(in2)	Alpha(deg)
C15x50	21	15.000	3.717	0.717	0.650	0.813	0.000	9.45	0	0	14.70	49.98	42.74	0.80	2.92	7.50	7.50	404.00	53.87	5.24	11.00	3.77	0.87	3.07	3.22	10.75	0.00
C15x40	21	15.000	3.520	0.520	0.650	0.813	0.000	9.45	0	0	11.80	40.12	42.34	0.78	2.74	7.50	7.50	349.00	46.53	5.44	9.23	3.36	0.88	1.67	3.05	7.80	0.00
C15x33.9	21	15.000	3.520	0.520	0.650	0.813	0.000	9.45	0	0	9.96	33.86	42.34	0.79	2.73	7.50	7.50	315.00	42.00	5.62	8.13	2.98	0.90	1.67	3.05	7.80	0.00
C12x30	21	12.000	3.169	0.512	0.500	0.625	0.000	9.45	0	0	8.82	29.99	35.12	0.67	2.50	6.00	6.00	162.00	27.00	4.29	5.14	2.06	0.76	0.98	2.11	6.14	0.00
C12x25	21	12.000	3.047	0.386	0.500	0.625	0.000	9.45	0	0	7.35	24.99	34.88	0.67	2.37	6.00	6.00	144.00	24.00	4.43	4.47	1.88	0.78	0.60	2.03	4.63	0.00
C12x20.7	21	12.000	2.941	0.283	0.500	0.625	0.000	9.45	0	0	6.09	20.71	34.66	0.70	2.24	6.00	6.00	129.00	21.50	4.60	3.88	1.73	0.80	0.43	1.96	3.40	0.00
C10x30	21	10.000	3.031	0.673	0.437	0.563	0.000	9.45	0	0	8.82	29.99	30.30	0.65	2.38	5.00	5.00	103.00	20.60	3.42	3.94	1.65	0.67	1.43	1.77	6.73	0.00
C10x25	21	10.000	2.886	0.528	0.437	0.563	0.000	9.45	0	0	7.35	24.99	30.01	0.62	2.27	5.00	5.00	91.20	18.24	3.52	3.36	1.48	0.68	0.79	1.68	5.28	0.00
C10x20	21	10.000	2.740	0.378	0.437	0.563	0.000	9.45	0	0	5.88	19.99	29.72	0.61	2.13	5.00	5.00	78.90	15.78	3.66	2.81	1.32	0.69	0.41	1.60	3.78	0.00
C10x15.3	21	10.000	2.598	0.240	0.437	0.563	0.000	9.45	0	0	4.49	15.27	29.43	0.63	1.96	5.00	5.00	67.40	13.48	3.87	2.28	1.16	0.71	0.24	1.51	2.40	0.00
C9x20	21	9.000	2.650	0.449	0.413	0.500	0.000	9.45	0	0	5.88	19.99	27.27	0.58	2.07	4.50	4.50	60.90	13.53	3.22	2.42	1.17	0.64	0.48	1.46	4.04	0.00
C9x15	21	9.000	2.484	0.283	0.413	0.500	0.000	9.45	0	0	4.41	14.99	26.94	0.59	1.90	4.50	4.50	51.00	11.33	3.40	1.93	1.02	0.66	0.23	1.37	2.55	0.00
C9x13.4	21	9.000	2.433	0.232	0.413	0.500	0.000	9.45	0	0	3.94	13.40	26.84	0.60	1.83	4.50	4.50	47.90	10.64	3.49	1.76	0.96	0.67	0.19	1.34	2.09	0.00
C8x18.75	21	8.000	2.528	0.488	0.390	0.563	0.000	9.45	0	0	5.51	18.73	24.65	0.57	1.96	4.00	4.00	44.00	11.00	2.83	1.98	1.01	0.60	0.49	1.31	3.91	0.00
C8x13.75	21	8.000	2.343	0.303	0.390	0.563	0.000	9.45	0	0	4.04	13.74	24.28	0.55	1.79	4.00	4.00	36.10	9.03	2.99	1.53	0.85	0.62	0.21	1.22	2.43	0.00
C8x11.5	21	8.000	2.260	0.220	0.390	0.563	0.000	9.45	0	0	3.38	11.49	24.12	0.57	1.69	4.00	4.00	32.60	8.15	3.11	1.32	0.78	0.62	0.15	1.17	1.76	0.00
C7x14.75	21	7.000	2.299	0.417	0.366	0.500	0.000	9.45	0	0	4.33	14.72	21.93	0.53	1.77	3.50	3.50	27.20	7.77	2.51	1.38	0.78	0.56	0.30	1.12	2.92	0.00
C7x12.25	21	7.000	2.193	0.315	0.366	0.500	0.000	9.45	0	0	3.60	12.24	21.71	0.53	1.67	3.50	3.50	24.20	6.91	2.59	1.17	0.70	0.57	0.18	1.07	2.20	0.00
C7x9.8	21	7.000	2.091	0.209	0.366	0.500	0.000	9.45	0	0	2.87	9.76	21.52	0.54	1.55	3.50	3.50	21.30	6.09	2.72	0.97	0.62	0.58	0.11	1.02	1.46	0.00
C6x13	21	6.000	2.157	0.437	0.343	0.500	0.000	9.45	0	0	3.83	13.02	19.33	0.51	1.64	3.00	3.00	17.40	5.80	2.13	1.05	0.64	0.52	0.27	0.99	2.62	0.00
C6x10.5	21	6.000	2.035	0.315	0.343	0.500	0.000	9.45	0	0	3.09	10.51	19.08	0.50	1.54	3.00	3.00	15.20	5.07	2.22	0.87	0.56	0.53	0.14	0.93	1.89	0.00
C6x8.2	21	6.000	1.921	0.201	0.343	0.500	0.000	9.45	0	0	2.40	8.16	18.85	0.51	1.41	3.00	3.00	13.10	4.37	2.34	0.69	0.49	0.54	0.09	0.88	1.20	0.00
C5x9	21	5.000	1.886	0.327	0.319	0.438	0.000	9.45	0	0	2.64	8.98	16.51	0.48	1.41	2.50	2.50	8.90	3.56	1.84	0.63	0.45	0.49	0.12	0.80	1.63	0.00
C5x6.7	21	5.000	1.752	0.189	0.319	0.438	0.000	9.45	0	0	1.97	6.70	16.25	0.48	1.27	2.50	2.50	7.49	3.00	1.95	0.48	0.38	0.49	0.06	0.74	0.94	0.00
C4x7.25	21	4.000	1.720	0.323	0.295	0.375	0.000	9.45	0	0	2.13	7.24	13.91	0.46	1.26	2.00	2.00	4.59	2.30	1.47	0.43	0.34	0.45	0.09	0.68	1.29	0.00
C4x5.4	21	4.000	1.583	0.185	0.295	0.375	0.000	9.45	0	0	1.59	5.41	13.64	0.46	1.13	2.00	2.00	3.85	1.93	1.56	0.32	0.28	0.45	0.04	0.62	0.74	0.00
C3x6	21	3.000	1.594	0.354	0.272	0.438	0.000	9.45	0	0	1.76	5.98	11.29	0.46	1.14	1.50	1.50	2.07	1.38	1.08	0.31	0.27	0.42	0.08	0.58	1.06	0.00
C3x5	21	3.000	1.496	0.260	0.272	0.438	0.000	9.45	0	0	1.47	5.00	11.09	0.44	1.06	1.50	1.50	1.85	1.23	1.12	0.25	0.23	0.41	0.04	0.54	0.78	0.00
C3x4.1	21	3.000	1.409	0.169	0.272	0.438	0.000	9.45	0	0	1.21	4.11	10.92	0.44	0.97	1.50	1.50	1.66	1.11	1.17	0.20	0.20	0.40	0.03	0.51	0.51	0.00
																											
