PartNumber	Code	D(in)	Bf(in)	Tw(in)	Tf(in)	R1(in)	R2(in)	SLOPE(deg)	Sx(in)	Sy(in)	A(in2)	P(lb_in)	L(in)	vxm(in)	vxp(in)	vym(in)	vyp(in)	Ix(in4)	Vx(in3)	Gx(in)	Iy(in4)	Vy(in3)	Gy(in)	J(in4)	Ax(in2)	Ay(in2)	Alpha(deg)
L8x8x1.625	30	8.000	8.000	1.125	1.125	0.625	0.313	0	0	0	16.78	57.04	31.46	3.39	2.93	5.66	5.66	154.17	27.25	3.03	40.63	11.97	1.56	7.06	9.00	9.00	45.00
L8x8x1	30	8.000	8.000	1.000	1.000	0.625	0.313	0	0	0	15.04	51.14	31.46	3.33	2.91	5.66	5.66	140.22	24.79	3.05	36.61	11.00	1.56	5.00	8.00	8.00	45.00
L8x8x0.875	30	8.000	8.000	0.875	0.875	0.625	0.313	0	0	0	13.28	45.14	31.46	3.26	2.88	5.66	5.66	125.51	22.19	3.07	32.52	9.97	1.57	3.38	7.00	7.00	45.00
L8x8x0.75	30	8.000	8.000	0.750	0.750	0.625	0.313	0	0	0	11.48	39.03	31.46	3.19	2.86	5.66	5.66	110.00	19.45	3.10	28.35	8.87	1.57	2.14	6.00	6.00	45.00
L8x8x0.625	30	8.000	8.000	0.625	0.625	0.625	0.313	0	0	0	9.65	32.81	31.46	3.13	2.84	5.66	5.66	93.67	16.56	3.12	24.07	7.70	1.58	1.25	5.00	5.00	45.00
L8x8x0.5625	30	8.000	8.000	0.563	0.563	0.625	0.313	0	0	0	8.73	29.67	31.46	3.09	2.84	5.66	5.66	85.18	15.06	3.12	21.88	7.08	1.58	0.92	4.50	4.50	45.00
L8x8x0.5	30	8.000	8.000	0.500	0.500	0.625	0.313	0	0	0	7.79	26.49	31.46	3.05	2.83	5.66	5.66	76.48	13.52	3.13	19.65	6.44	1.59	0.65	4.00	4.00	45.00
L6x6x1	30	6.000	6.000	1.000	1.000	0.500	0.250	0	0	0	11.03	37.49	23.57	2.62	2.22	4.24	4.24	55.58	13.10	2.25	14.93	5.69	1.16	3.67	6.00	6.00	45.00
L6x6x0.875	30	6.000	6.000	0.875	0.875	0.500	0.250	0	0	0	9.76	33.19	23.57	2.56	2.20	4.24	4.24	50.16	11.82	2.27	13.27	5.18	1.17	2.48	5.25	5.25	45.00
L6x6x0.75	30	6.000	6.000	0.750	0.750	0.500	0.250	0	0	0	8.46	28.78	23.57	2.50	2.17	4.24	4.24	44.32	10.45	2.29	11.58	4.64	1.17	1.58	4.50	4.50	45.00
L6x6x0.625	30	6.000	6.000	0.625	0.625	0.500	0.250	0	0	0	7.14	24.26	23.57	2.43	2.15	4.24	4.24	38.06	8.97	2.31	9.85	4.06	1.17	0.93	3.75	3.75	45.00
L6x6x0.5625	30	6.000	6.000	0.563	0.563	0.500	0.250	0	0	0	6.46	21.97	23.57	2.39	2.14	4.24	4.24	34.76	8.19	2.32	8.97	3.75	1.18	0.68	3.38	3.38	45.00
L6x6x0.5	30	6.000	6.000	0.500	0.500	0.500	0.250	0	0	0	5.78	19.64	23.57	2.36	2.13	4.24	4.24	31.34	7.39	2.33	8.07	3.42	1.18	0.48	3.00	3.00	45.00
L6x6x0.4375	30	6.000	6.000	0.438	0.438	0.500	0.250	0	0	0	5.09	17.29	23.57	2.32	2.13	4.24	4.24	27.80	6.55	2.34	7.15	3.08	1.19	0.32	2.63	2.63	45.00
L6x6x0.375	30	6.000	6.000	0.375	0.375	0.500	0.250	0	0	0	4.39	14.91	23.57	2.29	2.12	4.24	4.24	24.15	5.69	2.35	6.22	2.72	1.19	0.20	2.25	2.25	45.00
L6x6x0.3125	30	6.000	6.000	0.313	0.313	0.500	0.250	0	0	0	3.68	12.51	23.57	2.25	2.11	4.24	4.24	20.37	4.80	2.35	5.26	2.34	1.20	0.12	1.88	1.88	45.00
L5x5x0.875	30	5.000	5.000	0.875	0.875	0.500	0.250	0	0	0	8.01	27.24	19.57	2.21	1.85	3.54	3.54	27.73	7.84	1.86	7.50	3.40	0.97	2.04	4.38	4.38	45.00
L5x5x0.75	30	5.000	5.000	0.750	0.750	0.500	0.250	0	0	0	6.96	23.68	19.57	2.14	1.82	3.54	3.54	24.65	6.97	1.88	6.54	3.06	0.97	1.30	3.75	3.75	45.00
L5x5x0.625	30	5.000	5.000	0.625	0.625	0.500	0.250	0	0	0	5.89	20.01	19.57	2.07	1.80	3.54	3.54	21.30	6.02	1.90	5.57	2.69	0.97	0.76	3.13	3.13	45.00
L5x5x0.5	30	5.000	5.000	0.500	0.500	0.500	0.250	0	0	0	4.78	16.24	19.57	2.01	1.78	3.54	3.54	17.64	4.99	1.92	4.57	2.28	0.98	0.40	2.50	2.50	45.00
L5x5x0.4375	30	5.000	5.000	0.438	0.438	0.500	0.250	0	0	0	4.21	14.32	19.57	1.97	1.77	3.54	3.54	15.69	4.44	1.93	4.06	2.06	0.98	0.27	2.19	2.19	45.00
L5x5x0.375	30	5.000	5.000	0.375	0.375	0.500	0.250	0	0	0	3.64	12.36	19.57	1.93	1.76	3.54	3.54	13.67	3.87	1.94	3.54	1.83	0.99	0.17	1.88	1.88	45.00
L5x5x0.3125	30	5.000	5.000	0.313	0.313	0.500	0.250	0	0	0	3.05	10.38	19.57	1.89	1.76	3.54	3.54	11.56	3.27	1.95	3.00	1.58	0.99	0.10	1.56	1.56	45.00
L4x4x0.75	30	4.000	4.000	0.750	0.750	0.375	0.188	0	0	0	5.45	18.54	15.68	1.79	1.49	2.83	2.83	11.96	4.23	1.48	3.27	1.83	0.77	1.02	3.00	3.00	45.00
L4x4x0.625	30	4.000	4.000	0.625	0.625	0.375	0.188	0	0	0	4.62	15.72	15.68	1.73	1.47	2.83	2.83	10.44	3.69	1.50	2.78	1.61	0.78	0.60	2.50	2.50	45.00
L4x4x0.5	30	4.000	4.000	0.500	0.500	0.375	0.188	0	0	0	3.77	12.80	15.68	1.66	1.44	2.83	2.83	8.74	3.09	1.52	2.28	1.38	0.78	0.31	2.00	2.00	45.00
L4x4x0.4375	30	4.000	4.000	0.438	0.438	0.375	0.188	0	0	0	3.32	11.30	15.68	1.63	1.43	2.83	2.83	7.82	2.76	1.53	2.03	1.25	0.78	0.21	1.75	1.75	45.00
L4x4x0.375	30	4.000	4.000	0.375	0.375	0.375	0.188	0	0	0	2.87	9.77	15.68	1.59	1.42	2.83	2.83	6.84	2.42	1.54	1.77	1.11	0.78	0.13	1.50	1.50	45.00
L4x4x0.3125	30	4.000	4.000	0.313	0.313	0.375	0.188	0	0	0	2.42	8.22	15.68	1.56	1.42	2.83	2.83	5.82	2.06	1.55	1.50	0.97	0.79	0.08	1.25	1.25	45.00
L4x4x0.25	30	4.000	4.000	0.250	0.250	0.375	0.188	0	0	0	1.95	6.64	15.68	1.52	1.41	2.83	2.83	4.75	1.68	1.56	1.23	0.81	0.79	0.04	1.00	1.00	45.00
L3.5x3.5x0.5	30	3.500	3.500	0.500	0.500	0.375	0.188	0	0	0	3.27	11.10	13.68	1.48	1.27	2.47	2.47	5.69	2.30	1.32	1.50	1.01	0.68	0.27	1.75	1.75	45.00
L3.5x3.5x0.4375	30	3.500	3.500	0.438	0.438	0.375	0.188	0	0	0	2.89	9.81	13.68	1.45	1.26	2.47	2.47	5.10	2.06	1.33	1.34	0.92	0.68	0.18	1.53	1.53	45.00
L3.5x3.5x0.375	30	3.500	3.500	0.375	0.375	0.375	0.188	0	0	0	2.50	8.50	13.68	1.42	1.25	2.47	2.47	4.48	1.81	1.34	1.17	0.82	0.68	0.12	1.31	1.31	45.00
L3.5x3.5x0.3125	30	3.500	3.500	0.313	0.313	0.375	0.188	0	0	0	2.10	7.16	13.68	1.38	1.24	2.47	2.47	3.83	1.55	1.35	0.99	0.72	0.69	0.07	1.09	1.09	45.00
L3.5x3.5x0.25	30	3.500	3.500	0.250	0.250	0.375	0.188	0	0	0	1.70	5.79	13.68	1.34	1.23	2.47	2.47	3.13	1.26	1.36	0.81	0.61	0.69	0.04	0.88	0.88	45.00
L3x3x0.5	30	3.000	3.000	0.500	0.500	0.313	0.156	0	0	0	2.76	9.39	11.73	1.31	1.10	2.12	2.12	3.46	1.63	1.12	0.93	0.71	0.58	0.23	1.50	1.50	45.00
L3x3x0.4375	30	3.000	3.000	0.438	0.438	0.313	0.156	0	0	0	2.44	8.31	11.73	1.28	1.09	2.12	2.12	3.12	1.47	1.13	0.83	0.65	0.58	0.16	1.31	1.31	45.00
L3x3x0.375	30	3.000	3.000	0.375	0.375	0.313	0.156	0	0	0	2.12	7.21	11.73	1.24	1.08	2.12	2.12	2.76	1.30	1.14	0.72	0.58	0.58	0.10	1.13	1.13	45.00
L3x3x0.3125	30	3.000	3.000	0.313	0.313	0.313	0.156	0	0	0	1.79	6.08	11.73	1.21	1.07	2.12	2.12	2.37	1.11	1.15	0.61	0.51	0.59	0.06	0.94	0.94	45.00
L3x3x0.25	30	3.000	3.000	0.250	0.250	0.313	0.156	0	0	0	1.45	4.92	11.73	1.17	1.06	2.12	2.12	1.94	0.92	1.16	0.50	0.43	0.59	0.03	0.75	0.75	45.00
L3x3x0.1875	30	3.000	3.000	0.188	0.188	0.313	0.156	0	0	0	1.10	3.74	11.73	1.13	1.06	2.12	2.12	1.49	0.70	1.17	0.39	0.34	0.59	0.01	0.56	0.56	45.00
L2.5x2.5x0.5	30	2.500	2.500	0.500	0.500	0.313	0.156	0	0	0	2.26	7.69	9.73	1.13	0.92	1.77	1.77	1.90	1.08	0.92	0.53	0.46	0.48	0.19	1.25	1.25	45.00
L2.5x2.5x0.375	30	2.500	2.500	0.375	0.375	0.313	0.156	0	0	0	1.74	5.93	9.73	1.07	0.90	1.77	1.77	1.53	0.87	0.94	0.41	0.38	0.48	0.08	0.94	0.94	45.00
L2.5x2.5x0.3125	30	2.500	2.500	0.313	0.313	0.313	0.156	0	0	0	1.48	5.02	9.73	1.03	0.89	1.77	1.77	1.32	0.75	0.95	0.35	0.34	0.48	0.05	0.78	0.78	45.00
L2.5x2.5x0.25	30	2.500	2.500	0.250	0.250	0.313	0.156	0	0	0	1.20	4.07	9.73	1.00	0.88	1.77	1.77	1.09	0.62	0.96	0.28	0.29	0.49	0.02	0.63	0.63	45.00
L2.5x2.5x0.1875	30	2.500	2.500	0.188	0.188	0.313	0.156	0	0	0	0.91	3.10	9.73	0.96	0.88	1.77	1.77	0.84	0.48	0.96	0.22	0.23	0.49	0.01	0.47	0.47	45.00
L2x2x0.375	30	2.000	2.000	0.375	0.375	0.250	0.125	0	0	0	1.37	4.64	7.79	0.89	0.73	1.41	1.41	0.74	0.53	0.74	0.20	0.23	0.39	0.06	0.75	0.75	45.00
L2x2x0.3125	30	2.000	2.000	0.313	0.313	0.250	0.125	0	0	0	1.16	3.94	7.79	0.86	0.72	1.41	1.41	0.65	0.46	0.75	0.17	0.20	0.39	0.04	0.63	0.63	45.00
L2x2x0.25	30	2.000	2.000	0.250	0.250	0.250	0.125	0	0	0	0.94	3.21	7.79	0.83	0.71	1.41	1.41	0.54	0.38	0.76	0.14	0.17	0.39	0.02	0.50	0.50	45.00
L2x2x0.1875	30	2.000	2.000	0.188	0.188	0.250	0.125	0	0	0	0.72	2.45	7.79	0.79	0.71	1.41	1.41	0.42	0.30	0.77	0.11	0.14	0.39	0.01	0.38	0.38	45.00
L2x2x0.125	30	2.000	2.000	0.125	0.125	0.250	0.125	0	0	0	0.49	1.67	7.79	0.75	0.70	1.41	1.41	0.29	0.21	0.77	0.08	0.10	0.40	0.00	0.25	0.25	45.00
L1.75x1.75x0.25	30	1.750	1.750	0.250	0.250	0.250	0.125	0	0	0	0.82	2.79	6.79	0.74	0.62	1.24	1.24	0.35	0.28	0.66	0.09	0.13	0.34	0.02	0.44	0.44	45.00
L1.75x1.75x0.1875	30	1.750	1.750	0.188	0.188	0.250	0.125	0	0	0	0.63	2.13	6.79	0.70	0.62	1.24	1.24	0.28	0.22	0.66	0.07	0.10	0.34	0.01	0.33	0.33	45.00
L1.75x1.75x0.125	30	1.750	1.750	0.125	0.125	0.250	0.125	0	0	0	0.43	1.46	6.79	0.66	0.61	1.24	1.24	0.19	0.15	0.67	0.05	0.08	0.34	0.00	0.22	0.22	45.00
L1.5x1.5x0.25	30	1.500	1.500	0.250	0.250	0.188	0.094	0	0	0	0.69	2.35	5.84	0.65	0.55	1.06	1.06	0.22	0.20	0.56	0.06	0.09	0.29	0.01	0.38	0.38	45.00
L1.5x1.5x0.1875	30	1.500	1.500	0.188	0.188	0.188	0.094	0	0	0	0.53	1.81	5.84	0.62	0.53	1.06	1.06	0.17	0.16	0.57	0.04	0.07	0.29	0.01	0.28	0.28	45.00
L1.5x1.5x0.15625	30	1.500	1.500	0.156	0.156	0.188	0.094	0	0	0	0.45	1.52	5.84	0.60	0.53	1.06	1.06	0.15	0.14	0.57	0.04	0.06	0.29	0.00	0.23	0.23	45.00
L1.5x1.5x0.125	30	1.500	1.500	0.125	0.125	0.188	0.094	0	0	0	0.36	1.23	5.84	0.58	0.53	1.06	1.06	0.12	0.11	0.58	0.03	0.05	0.29	0.00	0.19	0.19	45.00
L1.25x1.25x0.25	30	1.250	1.250	0.250	0.250	0.188	0.094	0	0	0	0.57	1.93	4.84	0.56	0.46	0.88	0.88	0.12	0.13	0.46	0.03	0.06	0.24	0.01	0.31	0.31	45.00
L1.25x1.25x0.1875	30	1.250	1.250	0.188	0.188	0.188	0.094	0	0	0	0.44	1.49	4.84	0.53	0.45	0.88	0.88	0.10	0.11	0.47	0.03	0.05	0.24	0.01	0.23	0.23	45.00
