PartNumber	Code	D(in)	Bf(in)	Tw(in)	Tf(in)	R1(in)	R2(in)	SLOPE(deg)	Sx(in)	Sy(in)	A(in2)	P(lb_ft)	L(in)	vxm(in)	vxp(in)	vym(in)	vyp(in)	Ix(in4)	Vx(in3)	Gx(in)	Iy(in4)	Vy(in3)	Gy(in)	J(in4)	Ax(in2)	Ay(in2)	Alpha(deg)
FL_1x0.1875	81	1.0000	0.1875	0.000	0.000	0.000	0.000	0.0000	0.00	0.00	0.187500	0.637500	2.375000	0.093750	0.093750	0.500000	0.500000	0.015625	0.031250	0.288675	0.000549	0.005859	0.054127	0.001964	0.125000	0.125000	0.000000
FL_1x0.25	81	1.0000	0.2500	0.000	0.000	0.000	0.000	0.0000	0.00	0.00	0.250000	0.850000	2.500000	0.125000	0.125000	0.500000	0.500000	0.020833	0.041667	0.288675	0.001302	0.010417	0.072169	0.004391	0.166667	0.166667	0.000000
FL_1x0.3125	81	1.0000	0.3125	0.000	0.000	0.000	0.000	0.0000	0.00	0.00	0.312500	1.062500	2.625000	0.156250	0.156250	0.500000	0.500000	0.026042	0.052083	0.288675	0.002543	0.016276	0.090211	0.008026	0.208333	0.208333	0.000000
FL_1x0.375	81	1.0000	0.3750	0.000	0.000	0.000	0.000	0.0000	0.00	0.00	0.375000	1.275000	2.750000	0.187500	0.187500	0.500000	0.500000	0.031250	0.062500	0.288675	0.004395	0.023438	0.108253	0.013869	0.250000	0.250000	0.000000
FL_1x0.4375	81	1.0000	0.4375	0.000	0.000	0.000	0.000	0.0000	0.00	0.00	0.437500	1.487500	2.875000	0.218750	0.218750	0.500000	0.500000	0.036458	0.072917	0.288675	0.006978	0.031901	0.126295	0.019177	0.291667	0.291667	0.000000
FL_1x0.5	81	1.0000	0.5000	0.000	0.000	0.000	0.000	0.0000	0.00	0.00	0.500000	1.700000	3.000000	0.250000	0.250000	0.500000	0.500000	0.041667	0.083333	0.288675	0.010417	0.041667	0.144338	0.028625	0.333333	0.333333	0.000000
FL_1x0.5625	81	1.0000	0.5625	0.000	0.000	0.000	0.000	0.0000	0.00	0.00	0.562500	1.912500	3.125000	0.281250	0.281250	0.500000	0.500000	0.046875	0.093750	0.288675	0.014832	0.052734	0.162380	0.040757	0.375000	0.375000	0.000000
FL_1x0.625	81	1.0000	0.6250	0.000	0.000	0.000	0.000	0.0000	0.00	0.00	0.625000	2.125000	3.250000	0.312500	0.312500	0.500000	0.500000	0.052083	0.104167	0.288675	0.020345	0.065104	0.180422	0.047852	0.416667	0.416667	0.000000
FL_1x0.6875	81	1.0000	0.6875	0.000	0.000	0.000	0.000	0.0000	0.00	0.00	0.687500	2.337500	3.375000	0.343750	0.343750	0.500000	0.500000	0.057292	0.114583	0.288675	0.027079	0.078776	0.198464	0.063690	0.458333	0.458333	0.000000
FL_1x0.75	81	1.0000	0.7500	0.000	0.000	0.000	0.000	0.0000	0.00	0.00	0.750000	2.550000	3.500000	0.375000	0.375000	0.500000	0.500000	0.062500	0.125000	0.288675	0.035156	0.093750	0.216506	0.082688	0.500000	0.500000	0.000000
